energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-4.45122561,2.26743975,0.96752679,1.70346568,0.00499690,0.12531323,0.58663620,0.00172120
-4.44522261,2.28353590,0.97361913,1.71762284,0.00541550,0.12501821,0.58940720,0.00180430
-4.43921961,2.30562312,0.98259513,1.73637443,0.00586000,0.12509423,0.59343089,0.00188894
-4.43321661,2.33341528,0.99482662,1.75929410,0.00632681,0.12560233,0.59882124,0.00197402
-4.42721361,2.36657019,1.01063281,1.78592524,0.00681217,0.12659764,0.60567343,0.00205846
-4.42121061,2.40471855,1.03027957,1.81580847,0.00731230,0.12812910,0.61406534,0.00214122
-4.41520760,2.44749199,1.05397999,1.84850771,0.00782356,0.13023926,0.62405949,0.00222139
-4.40920460,2.49454856,1.08189546,1.88363328,0.00834258,0.13296401,0.63570479,0.00229818
-4.40320160,2.54559363,1.11413657,1.92086094,0.00886638,0.13633230,0.64903788,0.00237095
-4.39719860,2.60039502,1.15076309,1.95994557,0.00939246,0.14036568,0.66408363,0.00243928
-4.39119560,2.65879098,1.19178266,2.00072877,0.00991890,0.14507757,0.68085463,0.00250290
-4.38519260,2.72069057,1.23714762,2.04313994,0.01044438,0.15047242,0.69934946,0.00256179
-4.37918959,2.78606623,1.28675023,2.08719081,0.01096825,0.15654460,0.71954978,0.00261609
-4.37318659,2.85493900,1.34041607,2.13296379,0.01149043,0.16327711,0.74141634,0.00266614
-4.36718359,2.92735752,1.39789646,2.18059489,0.01201141,0.17064031,0.76488418,0.00271242
-4.36118059,3.00337213,1.45886033,2.23025254,0.01253217,0.17859058,0.78985747,0.00275556
-4.35517759,3.08300625,1.52288661,2.28211358,0.01305403,0.18706924,0.81620444,0.00279626
-4.34917459,3.16622707,1.58945817,2.33633825,0.01357853,0.19600172,0.84375295,0.00283528
-4.34317159,3.25291807,1.65795834,2.39304594,0.01410733,0.20529724,0.87228730,0.00287340
-4.33716858,3.34285558,1.72767120,2.45229337,0.01464200,0.21484905,0.90154685,0.00291137
-4.33116558,3.43569150,1.79778634,2.51405686,0.01518392,0.22453537,0.93122678,0.00294987
