energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
3.65282641,0.02657977,-0.04235984,0.00253313,-0.00014683,0.00202129,-0.01153559,0.00464879,-0.01712454,0.00272503,-0.01200842,0.03031410,-0.00214090,0.00004488,-0.00098570,0.00555252,-0.00960237
3.65882941,0.03090135,-0.03471494,0.00303094,-0.00011259,0.00194767,-0.00947211,0.00485252,-0.01403978,0.00305962,-0.00982865,0.03627144,-0.00177416,0.00005370,-0.00081023,0.00653235,-0.00787605
3.66483242,0.03613168,-0.02840563,0.00360054,-0.00008695,0.00202145,-0.00779122,0.00529012,-0.01153278,0.00350578,-0.00803284,0.04308785,-0.00147128,0.00006379,-0.00066126,0.00768391,-0.00643168
3.67083542,0.04230631,-0.02327951,0.00424646,-0.00006837,0.00224187,-0.00645158,0.00595604,-0.00953927,0.00406563,-0.00657606,0.05081768,-0.00122734,0.00007523,-0.00053584,0.00901463,-0.00523701
3.67683842,0.04946323,-0.01920432,0.00497230,-0.00005570,0.00261455,-0.00541895,0.00685139,-0.00800626,0.00474306,-0.00541951,0.05950382,-0.00103837,0.00008809,-0.00043112,0.01053104,-0.00426274
3.68284142,0.05763966,-0.01606933,0.00578039,-0.00004811,0.00315116,-0.00466657,0.00798309,-0.00689246,0.00554326,-0.00453077,0.06917430,-0.00090164,0.00010241,-0.00034439,0.01223809,-0.00348282
3.68884442,0.06686875,-0.01378641,0.00667156,-0.00004511,0.00386912,-0.00417554,0.00936308,-0.00616870,0.00647249,-0.00388401,0.07983892,-0.00081594,0.00011820,-0.00027316,0.01413851,-0.00287484
3.69484742,0.07717651,-0.01229105,0.00764481,-0.00004647,0.00479124,-0.00393515,0.01100754,-0.00581837,0.00753760,-0.00346028,0.09148597,-0.00078182,0.00013544,-0.00021512,0.01623212,-0.00242021
3.70085043,0.08857883,-0.01154306,0.00869715,-0.00005230,0.00594537,-0.00394324,0.01293615,-0.00583786,0.00874578,-0.00324759,0.10407928,-0.00080193,0.00015408,-0.00016821,0.01851527,-0.00210431
3.70685343,0.10107880,-0.01152739,0.00982328,-0.00006296,0.00736390,-0.00420653,0.01517134,-0.00623696,0.01010417,-0.00324110,0.11755579,-0.00088136,0.00017404,-0.00013060,0.02098032,-0.00191662
3.71285643,0.11466441,-0.01225464,0.01101555,-0.00007913,0.00908321,-0.00474093,0.01773751,-0.00703935,0.01161953,-0.00344322,0.13182378,-0.00102797,0.00019516,-0.00010070,0.02361527,-0.00185080
3.71885943,0.12930662,-0.01376168,0.01226382,-0.00010181,0.01114294,-0.00557184,0.02066021,-0.00828292,0.01329796,-0.00386373,0.14676194,-0.00125281,0.00021727,-0.00007710,0.02640349,-0.00190467
3.72486243,0.14495792,-0.01611199,0.01355550,-0.00013235,0.01358508,-0.00673440,0.02396523,-0.01002018,0.01514451,-0.00451983,0.16221951,-0.00157056,0.00024016,-0.00005864,0.02932362,-0.00208030
3.73086543,0.16155147,-0.01939587,0.01487562,-0.00017246,0.01645285,-0.00827361,0.02767765,-0.01231838,0.01716290,-0.00543613,0.17801750,-0.00199993,0.00026355,-0.00004432,0.03234962,-0.00238393
