energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.33366683,0.98766557,0.01993447,0.06317481,0.63217744,0.55456157,0.33216467,0.00000000,0.18104899,0.01208018
-5.32766383,0.97125179,0.02038805,0.06031010,0.63392846,0.54208482,0.32901782,0.00000000,0.17733041,0.01168926
-5.32166083,0.95420562,0.02071281,0.05749478,0.63340367,0.52957909,0.32544877,0.00000000,0.17390622,0.01132702
-5.31565783,0.93640309,0.02090154,0.05473122,0.63040836,0.51695907,0.32140042,0.00000000,0.17082437,0.01099519
-5.30965483,0.91774066,0.02094989,0.05201947,0.62479665,0.50413889,0.31682879,0.00000000,0.16813768,0.01069517
-5.30365183,0.89815035,0.02085661,0.04935827,0.61648011,0.49104205,0.31170788,0.00000000,0.16590525,0.01042822
-5.29764882,0.87761254,0.02062354,0.04674600,0.60543393,0.47761030,0.30603354,0.00000000,0.16419318,0.01019563
-5.29164582,0.85616520,0.02025561,0.04418145,0.59170039,0.46381109,0.29982604,0.00000000,0.16307447,0.00999883
-5.28564282,0.83390936,0.01976065,0.04166446,0.57538941,0.44964292,0.29313115,0.00000000,0.16262787,0.00983944
-5.27963982,0.81101013,0.01914913,0.03919641,0.55667612,0.43513871,0.28601982,0.00000000,0.16293581,0.00971931
-5.27363682,0.78769351,0.01843377,0.03678042,0.53579563,0.42036663,0.27858617,0.00000000,0.16408136,0.00964048
-5.26763382,0.76423911,0.01762916,0.03442142,0.51303534,0.40542890,0.27094421,0.00000000,0.16614430,0.00960506
-5.26163082,0.74096928,0.01675119,0.03212596,0.48872513,0.39045833,0.26322326,0.00000000,0.16919663,0.00961511
-5.25562781,0.71823550,0.01581660,0.02990195,0.46322600,0.37561334,0.25556247,0.00000000,0.17329749,0.00967243
-5.24962481,0.69640277,0.01484241,0.02775823,0.43691782,0.36107149,0.24810474,0.00000000,0.17848802,0.00977834
-5.24362181,0.67583319,0.01384542,0.02570404,0.41018673,0.34702235,0.24099035,0.00000000,0.18478631,0.00993347
-5.23761881,0.65686958,0.01284174,0.02374848,0.38341290,0.33366005,0.23435073,0.00000000,0.19218280,0.01013755
-5.23161581,0.63982042,0.01184635,0.02190002,0.35695910,0.32117597,0.22830271,0.00000000,0.20063641,0.01038916
-5.22561281,0.62494669,0.01087274,0.02016592,0.33116073,0.30975233,0.22294358,0.00000000,0.21007180,0.01068561
-5.21960980,0.61245181,0.00993268,0.01855188,0.30631751,0.29955674,0.21834727,0.00000000,0.22037778,0.01102282
-5.21360680,0.60247492,0.00903597,0.01706169,0.28268734,0.29073830,0.21456177,0.00000000,0.23140734,0.01139523
-5.20760380,0.59508805,0.00819040,0.01569696,0.26048220,0.28342526,0.21160800,0.00000000,0.24297919,0.01179588
-5.20160080,0.59029727,0.00740167,0.01445711,0.23986643,0.27772447,0.20948019,0.00000000,0.25488094,0.01221648
-5.19559780,0.58804771,0.00667349,0.01333930,0.22095700,0.27372244,0.20814761,0.00000000,0.26687391,0.01264755
-5.18959480,0.58823195,0.00600766,0.01233863,0.20382577,0.27148786,0.20755768,0.00000000,0.27869934,0.01307871
-5.18359180,0.59070148,0.00540431,0.01144831,0.18850341,0.27107545,0.20764012,0.00000000,0.29008586,0.01349895
-5.17758879,0.59528011,0.00486203,0.01066000,0.17498457,0.27253042,0.20831202,0.00000000,0.30075789,0.01389699
-5.17158579,0.60177875,0.00437819,0.00996416,0.16323405,0.27589352,0.20948333,0.00000000,0.31044469,0.01426166
-5.16558279,0.61001037,0.00394917,0.00935042,0.15319344,0.28120582,0.21106268,0.00000000,0.31888947,0.01458230
-5.15957979,0.61980433,0.00357062,0.00880806,0.14478789,0.28851302,0.21296294,0.00000000,0.32585848,0.01484914
-5.15357679,0.63101893,0.00323772,0.00832634,0.13793274,0.29786865,0.21510638,0.00000000,0.33114934,0.01505367
-5.14757379,0.64355151,0.00294539,0.00789494,0.13253951,0.30933583,0.21742904,0.00000000,0.33459844,0.01518898
-5.14157079,0.65734534,0.00268855,0.00750430,0.12852116,0.32298727,0.21988403,0.00000000,0.33608696,0.01525000
-5.13556778,0.67239269,0.00246225,0.00714589,0.12579634,0.33890334,0.22244368,0.00000000,0.33554537,0.01523370
-5.12956478,0.68873403,0.00226183,0.00681250,0.12429259,0.35716807,0.22510035,0.00000000,0.33295605,0.01513924
-5.12356178,0.70645315,0.00208305,0.00649839,0.12394829,0.37786314,0.22786583,0.00000000,0.32835409,0.01496793
-5.11755878,0.72566846,0.00192213,0.00619946,0.12471366,0.40106023,0.23076954,0.00000000,0.32182617,0.01472324
-5.11155578,0.74652112,0.00177582,0.00591332,0.12655059,0.42681180,0.23385546,0.00000000,0.31350775,0.01441061
