energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-4.86543272,1.76812730,0.01271300,0.03370572,0.67558855,0.02089059,1.09349478,0.35957273,0.12205845
-4.85942971,1.81494542,0.01433163,0.03455758,0.68409214,0.02179664,1.12323705,0.36762906,0.12666012
-4.85342671,1.86440836,0.01606593,0.03544312,0.69422390,0.02274728,1.15465862,0.37649513,0.13142697
-4.84742371,1.91657673,0.01790637,0.03635826,0.70615665,0.02374191,1.18780696,0.38621484,0.13635182
-4.84142071,1.97138300,0.01983992,0.03729639,0.72000213,0.02477791,1.22265204,0.39680053,0.14142022
-4.83541771,2.02862934,0.02184995,0.03824850,0.73580770,0.02585058,1.25908473,0.40823209,0.14661040
-4.82941471,2.08799060,0.02391636,0.03920349,0.75355541,0.02695309,1.29691819,0.42045705,0.15189365
-4.82341171,2.14902177,0.02601570,0.04014841,0.77316319,0.02807658,1.33589192,0.43339173,0.15723487
-4.81740870,2.21116980,0.02812152,0.04106895,0.79448811,0.02921030,1.37567848,0.44692335,0.16259339
-4.81140570,2.27378896,0.03020488,0.04194989,0.81733146,0.03034187,1.41589224,0.46091298,0.16792399
-4.80540270,2.33615899,0.03223489,0.04277557,0.84144539,0.03145765,1.45609982,0.47519915,0.17317803
-4.79939970,2.39750526,0.03417946,0.04353045,0.86654081,0.03254309,1.49583179,0.48960205,0.17830471
-4.79339670,2.45701999,0.03600610,0.04419963,0.89229605,0.03358324,1.53459498,0.50392797,0.18325231
-4.78739370,2.51388367,0.03768282,0.04476929,0.91836605,0.03456319,1.57188505,0.51797412,0.18796944
-4.78139070,2.56728590,0.03917904,0.04522716,0.94439158,0.03546855,1.60719865,0.53153336,0.19240616
-4.77538769,2.61644488,0.04046651,0.04556287,0.97000825,0.03628592,1.64004504,0.54439891,0.19651505
-4.76938469,2.66062492,0.04152022,0.04576825,0.99485480,0.03700328,1.66995655,0.55636886,0.20025206
-4.76338169,2.69915159,0.04231917,0.04583746,1.01858060,0.03761036,1.69649778,0.56725034,0.20357723
-4.75737869,2.73142409,0.04284711,0.04576719,1.04085200,0.03809892,1.71927336,0.57686331,0.20645517
-4.75137569,2.75692473,0.04309307,0.04555657,1.06135747,0.03846288,1.73793409,0.58504393,0.20885539
-4.74537269,2.77522552,0.04305176,0.04520712,1.07981147,0.03869844,1.75218152,0.59164734,0.21075246
-4.73936968,2.78599188,0.04272377,0.04472259,1.09595696,0.03880405,1.76177103,0.59655005,0.21212598
-4.73336668,2.78898382,0.04211555,0.04410871,1.10956688,0.03878031,1.76651347,0.59965166,0.21296045
-4.72736368,2.78405487,0.04123923,0.04337288,1.12044441,0.03862979,1.76627561,0.60087614,0.21324501
-4.72136068,2.77114911,0.04011225,0.04252388,1.12842260,0.03835673,1.76097945,0.60017262,0.21297318
-4.71535768,2.75029677,0.03875675,0.04157149,1.13336327,0.03796680,1.75060088,0.59751559,0.21214254
-4.70935468,2.72160889,0.03719894,0.04052614,1.13515576,0.03746674,1.73516757,0.59290483,0.21075438
-4.70335168,2.68527138,0.03546823,0.03939860,1.13371549,0.03686406,1.71475657,0.58636479,0.20881351
-4.69734867,2.64153896,0.03359639,0.03819966,1.12898287,0.03616666,1.68949175,0.57794378,0.20632803
-4.69134567,2.59072923,0.03161660,0.03693984,1.12092248,0.03538265,1.65954113,0.56771277,0.20330923
-4.68534267,2.53321719,0.02956255,0.03562925,1.10952291,0.03452001,1.62511437,0.55576406,0.19977163
-4.67933967,2.46943036,0.02746756,0.03427734,1.09479713,0.03358649,1.58646033,0.54220966,0.19573297
-4.67333667,2.39984447,0.02536379,0.03289289,1.07678350,0.03258945,1.54386487,0.52717963,0.19121445
-4.66733367,2.32497975,0.02328151,0.03148393,1.05554727,0.03153586,1.49764876,0.51082025,0.18624091
-4.66133067,2.24539766,0.02124858,0.03005773,1.03118252,0.03043225,1.44816552,0.49329214,0.18084106
-4.65532766,2.16169785,0.01928992,0.02862090,1.00381409,0.02928481,1.39579934,0.47476826,0.17504769
-4.64932466,2.07451499,0.01742728,0.02717944,0.97359955,0.02809948,1.34096259,0.45543186,0.16889788
-4.64332166,1.98451528,0.01567903,0.02573888,0.94073060,0.02688205,1.28409300,0.43547436,0.16243302
-4.63731866,1.89239228,0.01406010,0.02430436,0.90543390,0.02563833,1.22565028,0.41509305,0.15569882
-4.63131566,1.79886178,0.01258206,0.02288081,0.86797090,0.02437425,1.16611194,0.39448875,0.14874505
-4.62531266,1.70465546,0.01125330,0.02147299,0.82863654,0.02309596,1.10596845,0.37386335,0.14162520
-4.61930965,1.61051338,0.01007920,0.02008564,0.78775668,0.02180993,1.04571743,0.35341713,0.13439585
-4.61330665,1.51717507,0.00906246,0.01872348,0.74568421,0.02052296,0.98585712,0.33334608,0.12711598
-4.60730365,1.42536944,0.00820337,0.01739132,0.70279390,0.01924221,0.92687909,0.31383901,0.11984602
-4.60130065,1.33580385,0.00750012,0.01609402,0.65947608,0.01797510,0.86926046,0.29507472,0.11264677
-4.59529765,1.24915236,0.00694910,0.01483645,0.61612951,0.01672928,0.81345576,0.27721906,0.10557828
-4.58929465,1.16604397,0.00654518,0.01362351,0.57315346,0.01551246,0.75988888,0.26042219,0.09869861
-4.58329165,1.08705105,0.00628194,0.01246002,0.53093969,0.01433229,0.70894519,0.24481587,0.09206267
-4.57728864,1.01267869,0.00615184,0.01135065,0.48986438,0.01319617,0.66096451,0.23051114,0.08572105
-4.57128564,0.94335534,0.00614643,0.01029986,0.45028059,0.01211109,0.61623492,0.21759627,0.07971906
-4.56528264,0.87942543,0.00625642,0.00931183,0.41251145,0.01108349,0.57498801,0.20613522,0.07409581
-4.55927964,0.82114420,0.00647177,0.00839040,0.37684446,0.01011907,0.53739563,0.19616662,0.06888367
-4.55327664,0.76867518,0.00678178,0.00753900,0.34352713,0.00922272,0.50356841,0.18770333,0.06410782
-4.54727364,0.72209047,0.00717513,0.00676069,0.31276401,0.00839839,0.47355623,0.18073273,0.05978612
-4.54127064,0.68137387,0.00763993,0.00605809,0.28471531,0.00764909,0.44735043,0.17521765,0.05592927
-4.53526763,0.64642676,0.00816377,0.00543347,0.25949692,0.00697683,0.42488794,0.17109798,0.05254117
-4.52926463,0.61707646,0.00873384,0.00488877,0.23718188,0.00638269,0.40605695,0.16829289,0.04961949
-4.52326163,0.59308674,0.00933701,0.00442566,0.21780299,0.00586688,0.39070395,0.16670369,0.04715648
-4.51725863,0.57416993,0.00995998,0.00404562,0.20135628,0.00542881,0.37864184,0.16621711,0.04513985
-4.51125563,0.56000010,0.01058947,0.00375003,0.18780529,0.00506723,0.36965856,0.16670891,0.04355376
