energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
0.89744872,1.79682590,0.20801282,0.00000000,0.01791442,0.15639081,0.69981005,1.50305393
0.90345173,1.81835505,0.20613526,0.00000000,0.01763493,0.15321259,0.69012749,1.53227876
0.90945473,1.83600134,0.20432353,0.00000000,0.01726616,0.14945639,0.67734801,1.55879698
0.91545773,1.84988032,0.20262640,0.00000000,0.01681312,0.14516745,0.66166760,1.58261010
0.92146073,1.86015782,0.20108133,0.00000000,0.01628256,0.14039900,0.64333431,1.60375419
0.92746373,1.86704196,0.19971392,0.00000000,0.01568281,0.13521158,0.62264331,1.62229459
0.93346673,1.87077415,0.19853765,0.00000000,0.01502372,0.12967220,0.59993024,1.63831992
0.93946973,1.87161931,0.19755410,0.00000000,0.01431637,0.12385317,0.57556347,1.65193574
0.94547274,1.86985601,0.19675337,0.00000000,0.01357292,0.11783086,0.54993529,1.66325830
0.95147574,1.86576686,0.19611500,0.00000000,0.01280631,0.11168429,0.52345258,1.67240847
0.95747874,1.85962976,0.19560918,0.00000000,0.01202996,0.10549364,0.49652718,1.67950651
0.96348174,1.85171044,0.19519837,0.00000000,0.01125752,0.09933870,0.46956649,1.68466773
0.96948474,1.84225659,0.19483915,0.00000000,0.01050256,0.09329742,0.44296457,1.68799930
0.97548774,1.83149394,0.19448446,0.00000000,0.00977828,0.08744451,0.41709406,1.68959840
0.98149075,1.81962422,0.19408597,0.00000000,0.00909727,0.08185023,0.39229917,1.68955166
0.98749375,1.80682514,0.19359670,0.00000000,0.00847128,0.07657930,0.36889000,1.68793587
0.99349675,1.79325216,0.19297367,0.00000000,0.00791099,0.07169017,0.34713814,1.68481970
0.99949975,1.77904166,0.19218055,0.00000000,0.00742586,0.06723448,0.32727373,1.68026624
1.00550275,1.76431536,0.19119020,0.00000000,0.00702398,0.06325683,0.30948387,1.67433607
1.01150575,1.74918530,0.18998706,0.00000000,0.00671197,0.05979488,0.29391232,1.66709049
1.01750875,1.73375921,0.18856917,0.00000000,0.00649494,0.05687978,0.28066024,1.65859463
1.02351176,1.71814574,0.18694984,0.00000000,0.00637637,0.05453676,0.26978803,1.64892015
1.02951476,1.70245916,0.18515895,0.00000000,0.00635820,0.05278622,0.26131789,1.63814736
1.03551776,1.68682350,0.18324369,0.00000000,0.00644075,0.05164481,0.25523699,1.62636665
1.04152076,1.67137582,0.18126886,0.00000000,0.00662283,0.05112694,0.25150122,1.61367920
1.04752376,1.65626867,0.17931673,0.00000000,0.00690176,0.05124629,0.25003911,1.60019706
1.05352676,1.64167179,0.17748633,0.00000000,0.00727349,0.05201749,0.25075621,1.58604269
1.05952976,1.62777322,0.17589242,0.00000000,0.00773269,0.05345784,0.25353936,1.57134836
1.06553277,1.61477989,0.17466411,0.00000000,0.00827292,0.05558893,0.25826124,1.55625537
1.07153577,1.60291806,0.17394303,0.00000000,0.00888675,0.05843819,0.26478479,1.54091355
1.07753877,1.59243346,0.17388140,0.00000000,0.00956602,0.06204017,0.27296764,1.52548099
1.08354177,1.58359137,0.17463975,0.00000000,0.01030198,0.06643757,0.28266635,1.51012433
1.08954477,1.57667649,0.17638437,0.00000000,0.01108556,0.07168168,0.29374042,1.49501939
1.09554777,1.57199239,0.17928467,0.00000000,0.01190761,0.07783248,0.30605598,1.48035208
1.10155078,1.56986034,0.18351008,0.00000000,0.01275908,0.08495798,0.31948897,1.46631947
1.10755378,1.57061695,0.18922674,0.00000000,0.01363135,0.09313285,0.33392760,1.45313054
1.11355678,1.57461038,0.19659383,0.00000000,0.01451636,0.10243633,0.34927414,1.44100636
1.11955978,1.58219455,0.20575937,0.00000000,0.01540682,0.11294925,0.36544563,1.43017918
1.12556278,1.59372104,0.21685569,0.00000000,0.01629635,0.12475030,0.38237348,1.42089021
1.13156578,1.60952833,0.22999437,0.00000000,0.01717954,0.13791154,0.40000197,1.41338563
1.13756878,1.62992838,0.24526075,0.00000000,0.01805202,0.15249321,0.41828544,1.40791071
1.14357179,1.65519074,0.26270821,0.00000000,0.01891037,0.16853810,0.43718426,1.40470200
