energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
1.38369185,0.94368291,0.00214673,0.03103986,0.48470152,0.02107858,0.00791368,0.07078195,0.05582009,0.66427872
1.38969485,0.94664522,0.00211472,0.03113853,0.48511560,0.02113954,0.00790237,0.07090766,0.05592071,0.66677892
1.39569785,0.94319016,0.00207543,0.03102887,0.48244598,0.02105874,0.00784477,0.07057032,0.05565939,0.66467514
1.40170085,0.93330039,0.00202814,0.03070907,0.47666179,0.02083545,0.00773977,0.06976701,0.05503215,0.65796612
1.40770385,0.91711208,0.00197247,0.03018270,0.46781169,0.02047244,0.00758765,0.06850628,0.05404456,0.64675774
1.41370685,0.89490701,0.00190838,0.02945840,0.45602011,0.01997576,0.00738997,0.06680757,0.05271113,0.63125753
1.41970985,0.86710004,0.00183616,0.02854937,0.44148083,0.01935452,0.00714949,0.06470032,0.05105462,0.61176582
1.42571286,0.83422228,0.00175639,0.02747280,0.42444861,0.01862042,0.00687002,0.06222276,0.04910490,0.58866404
1.43171586,0.79690106,0.00166988,0.02624918,0.40522882,0.01778737,0.00655623,0.05942040,0.04689777,0.56240061
1.43771886,0.75583734,0.00157768,0.02490150,0.38416592,0.01687092,0.00621348,0.05634437,0.04447358,0.53347507
1.44372186,0.71178169,0.00148098,0.02345444,0.36163116,0.01588777,0.00584758,0.05304963,0.04187578,0.50242127
1.44972486,0.66550992,0.00138106,0.02193358,0.33801001,0.01485519,0.00546462,0.04959316,0.03914945,0.46979020
1.45572786,0.61779925,0.00127928,0.02036455,0.31368996,0.01379050,0.00507074,0.04603215,0.03633986,0.43613331
1.46173087,0.56940611,0.00117697,0.01877233,0.28904905,0.01271057,0.00467196,0.04242235,0.03349118,0.40198685
1.46773387,0.52104623,0.00107542,0.01718056,0.26444562,0.01163134,0.00427399,0.03881661,0.03064522,0.36785793
1.47373687,0.47337772,0.00097583,0.01561101,0.24020961,0.01056751,0.00388211,0.03526355,0.02784051,0.33421260
1.47973987,0.42698757,0.00087930,0.01408309,0.21663556,0.00953216,0.00350103,0.03180658,0.02511140,0.30146646
1.48574287,0.38238189,0.00078678,0.01261354,0.19397754,0.00853661,0.00313483,0.02848315,0.02248756,0.26997772
1.49174587,0.33997981,0.00069903,0.01121626,0.17244599,0.00759020,0.00278687,0.02532428,0.01999353,0.24004297
1.49774887,0.30011103,0.00061668,0.00990217,0.15220635,0.00670030,0.00245983,0.02235441,0.01764866,0.21189554
1.50375188,0.26301669,0.00054019,0.00867929,0.13337948,0.00587229,0.00215563,0.01959138,0.01546706,0.18570605
1.50975488,0.22885312,0.00046982,0.00755280,0.11604349,0.00510968,0.00187553,0.01704677,0.01345792,0.16158520
1.51575788,0.19769809,0.00040571,0.00652534,0.10023681,0.00441419,0.00162017,0.01472633,0.01162577,0.13958808
