energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-4.46323162,1.75482829,0.33317756,0.00000000,0.51729876,0.00000000,0.76159595,0.07904557
-4.45722861,1.79446879,0.34508479,0.00000000,0.52801221,0.00000000,0.78211709,0.08024489
-4.45122561,1.83233815,0.35681578,0.00000000,0.53883472,0.00000000,0.80353753,0.08128370
-4.44522261,1.86798228,0.36816003,0.00000000,0.54972465,0.00000000,0.82559876,0.08214716
-4.43921961,1.90102261,0.37891868,0.00000000,0.56066086,0.00000000,0.84806690,0.08282470
-4.43321661,1.93116466,0.38891156,0.00000000,0.57164054,0.00000000,0.87074013,0.08331031
-4.42721361,1.95820385,0.39798378,0.00000000,0.58267625,0.00000000,0.89345427,0.08360262
-4.42121061,1.98202828,0.40601115,0.00000000,0.59379230,0.00000000,0.91608624,0.08370499
-4.41520760,2.00261836,0.41290462,0.00000000,0.60502057,0.00000000,0.93855523,0.08362528
-4.40920460,2.02004318,0.41861316,0.00000000,0.61639607,0.00000000,0.96082129,0.08337559
-4.40320160,2.03445358,0.42312512,0.00000000,0.62795202,0.00000000,0.98288135,0.08297178
-4.39719860,2.04607196,0.42646807,0.00000000,0.63971494,0.00000000,1.00476286,0.08243290
-4.39119560,2.05517918,0.42870691,0.00000000,0.65169971,0.00000000,1.02651511,0.08178046
-4.38519260,2.06209878,0.42994051,0.00000000,0.66390461,0.00000000,1.04819872,0.08103759
-4.37918959,2.06717926,0.43029694,0.00000000,0.67630689,0.00000000,1.06987370,0.08022817
-4.37318659,2.07077486,0.42992760,0.00000000,0.68885860,0.00000000,1.09158682,0.07937583
-4.36718359,2.07322591,0.42900034,0.00000000,0.70148325,0.00000000,1.11335883,0.07850308
-4.36118059,2.07483944,0.42769215,0.00000000,0.71407327,0.00000000,1.13517243,0.07763032
-4.35517759,2.07587116,0.42618150,0.00000000,0.72648864,0.00000000,1.15696170,0.07677502
-4.34917459,2.07650966,0.42464083,0.00000000,0.73855676,0.00000000,1.17860367,0.07595106
-4.34317159,2.07686378,0.42322945,0.00000000,0.75007383,0.00000000,1.19991276,0.07516807
-4.33716858,2.07695384,0.42208717,0.00000000,0.76080778,0.00000000,1.22063861,0.07443113
-4.33116558,2.07670728,0.42132893,0.00000000,0.77050283,0.00000000,1.24046751,0.07374059
-4.32516258,2.07595913,0.42104053,0.00000000,0.77888563,0.00000000,1.25902768,0.07309210
