energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.64182091,7.43193488,0.04713935,0.20081699,0.90411272,3.35176547,1.58360987,1.78944903,0.07118748,1.90818562
-1.63581791,7.37778565,0.04754295,0.19963613,0.91023474,3.29532393,1.58071368,1.78484607,0.07081888,1.91596737
-1.62981491,7.31368703,0.04777958,0.19781503,0.91504854,3.23875306,1.57386393,1.77666869,0.07051866,1.91792521
-1.62381191,7.24012782,0.04784759,0.19538915,0.91871015,3.18211865,1.56327986,1.76497938,0.07028553,1.91441184
-1.61780890,7.15802949,0.04774963,0.19240748,0.92141504,3.12560880,1.54926837,1.74998010,0.07012528,1.90592942
-1.61180590,7.06869177,0.04749253,0.18893057,0.92338686,3.06952123,1.53220898,1.73199498,0.07005051,1.89310710
-1.60580290,6.97372238,0.04708686,0.18502815,0.92486508,3.01424395,1.51253632,1.71144887,0.07008007,1.87667445
-1.59979990,6.87495553,0.04654659,0.18077651,0.92609235,2.96023097,1.49072129,1.68884291,0.07023826,1.85743208
-1.59379690,6.77436450,0.04588851,0.17625586,0.92730229,2.90797490,1.46725209,1.66472867,0.07055379,1.83622130
-1.58779390,6.67397379,0.04513171,0.17154767,0.92870849,2.85797858,1.44261624,1.63968243,0.07105860,1.81389433
-1.58179090,6.57577607,0.04429706,0.16673227,0.93049537,2.81072777,1.41728473,1.61428085,0.07178664,1.79128654
-1.57578789,6.48165855,0.04340667,0.16188679,0.93281148,2.76666683,1.39169902,1.58907943,0.07277253,1.76919216
-1.56978489,6.39334268,0.04248343,0.15708344,0.93576547,2.72617892,1.36626167,1.56459457,0.07405038,1.74834443
-1.56378189,6.31233974,0.04155068,0.15238830,0.93942502,2.68957193,1.34133076,1.54129003,0.07565254,1.72940093
-1.55777889,6.23992380,0.04063182,0.14786055,0.94381872,2.65707087,1.31721816,1.51956805,0.07760862,1.71293448
-1.55177589,6.17712195,0.03975020,0.14355216,0.94894051,2.62881659,1.29419141,1.49976509,0.07994452,1.69942950
-1.54577289,6.12472083,0.03892886,0.13950796,0.95475654,2.60487080,1.27247850,1.48215191,0.08268171,1.68928351
-1.53976988,6.08328685,0.03819053,0.13576600,0.96121366,2.58522623,1.25227488,1.46693727,0.08583665,1.68281305
-1.53376688,6.05319701,0.03755747,0.13235812,0.96824911,2.56982080,1.23375170,1.45427450,0.08942031,1.68026293
-1.52776388,6.03467634,0.03705147,0.12931067,0.97580051,2.55855422,1.21706427,1.44426985,0.09343786,1.68181788
-1.52176088,6.02783779,0.03669367,0.12664510,0.98381561,2.55130543,1.20235973,1.43699158,0.09788848,1.68761508
-1.51575788,6.03272033,0.03650444,0.12437858,0.99226087,2.54794901,1.18978302,1.43247884,0.10276515,1.69775654
-1.50975488,6.04932138,0.03650312,0.12252431,1.00112844,2.54836917,1.17948048,1.43074922,0.10805459,1.71231985
-1.50375188,6.07762041,0.03670762,0.12109172,1.01044089,2.55246980,1.17160037,1.43180440,0.11373715,1.73136664
-1.49774887,6.11759121,0.03713404,0.12008626,1.02025335,2.56017972,1.16629032,1.43563327,0.11978669,1.75494747
-1.49174587,6.16920145,0.03779602,0.11950910,1.03065278,2.57145244,1.16369156,1.44221225,0.12617051,1.78310310
-1.48574287,6.23239926,0.03870418,0.11935651,1.04175440,2.58626035,1.16393035,1.45150279,0.13284926,1.81586141
-1.47973987,6.30708773,0.03986537,0.11961913,1.05369528,2.60458356,1.16710719,1.46344643,0.13977679,1.85323043
-1.47373687,6.39308896,0.04128197,0.12028121,1.06662546,2.62639422,1.17328453,1.47795778,0.14690022,1.89518765
-1.46773387,6.49010064,0.04295116,0.12131987,1.08069699,2.65163731,1.18247415,1.49491628,0.15415991,1.94166639
-1.46173087,6.59764854,0.04486440,0.12270453,1.09605147,2.68020952,1.19462504,1.51415751,0.16148973,1.99254010
