energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
3.86893447,0.43478127,-0.63517868,0.23752486,-0.35388557,0.01214932,-0.01639748,0.06216163,-0.10168274,0.04998916,-0.07590059,0.03541515,-0.04741578,0.00000000,-0.00000000
3.87493747,0.41954290,-0.57592537,0.22593247,-0.32092530,0.01231940,-0.01507736,0.05666586,-0.09120930,0.04704029,-0.06877314,0.03585367,-0.04309467,0.00000000,-0.00000000
3.88094047,0.41549032,-0.52505977,0.21990723,-0.29197021,0.01285741,-0.01403761,0.05240080,-0.08170080,0.04517319,-0.06241550,0.03743514,-0.03969239,0.00000000,-0.00000000
3.88694347,0.42315138,-0.48330483,0.21971977,-0.26743542,0.01378553,-0.01330235,0.04939119,-0.07324411,0.04443494,-0.05691417,0.04020995,-0.03725944,0.00000000,-0.00000000
3.89294647,0.44303377,-0.45132257,0.22562246,-0.24769538,0.01512586,-0.01289525,0.04765370,-0.06590931,0.04486666,-0.05234529,0.04422911,-0.03584458,0.00000000,-0.00000000
3.89894947,0.47562141,-0.42972810,0.23784935,-0.23309022,0.01689993,-0.01283988,0.04719823,-0.05975158,0.04650366,-0.04877583,0.04954293,-0.03549636,0.00000000,-0.00000000
3.90495248,0.52136494,-0.41910185,0.25661347,-0.22393189,0.01912808,-0.01315996,0.04802874,-0.05481329,0.04937511,-0.04626469,0.05619903,-0.03626419,0.00000000,-0.00000000
3.91095548,0.58066587,-0.41999874,0.28210113,-0.22050933,0.02182853,-0.01387946,0.05014356,-0.05112605,0.05350322,-0.04486377,0.06423970,-0.03819889,0.00000000,-0.00000000
3.91695848,0.65385506,-0.43295309,0.31446338,-0.22309195,0.02501639,-0.01502247,0.05353507,-0.04871253,0.05890185,-0.04461872,0.07369867,-0.04135259,0.00000000,-0.00000000
3.92296148,0.74116589,-0.45847822,0.35380491,-0.23193090,0.02870240,-0.01661286,0.05818897,-0.04758800,0.06557475,-0.04556937,0.08459753,-0.04577790,0.00000000,-0.00000000
3.92896448,0.84270346,-0.49706008,0.40017069,-0.24725776,0.03289163,-0.01867380,0.06408300,-0.04776142,0.07351323,-0.04774970,0.09694173,-0.05152643,0.00000000,-0.00000000
3.93496748,0.95841126,-0.54914466,0.45353125,-0.26928023,0.03758210,-0.02122684,0.07118532,-0.04923597,0.08269378,-0.05118723,0.11071666,-0.05864654,0.00000000,-0.00000000
3.94097049,1.08803708,-0.61511908,0.51376718,-0.29817490,0.04276348,-0.02429102,0.07945265,-0.05200906,0.09307542,-0.05590191,0.12588375,-0.06718049,0.00000000,-0.00000000
3.94697349,1.23110016,-0.69528704,0.58065396,-0.33407721,0.04841588,-0.02788155,0.08882842,-0.05607175,0.10459717,-0.06190454,0.14237708,-0.07716102,0.00000000,-0.00000000
3.95297649,1.38686197,-0.78983936,0.65384812,-0.37706892,0.05450876,-0.03200853,0.09924088,-0.06140769,0.11717583,-0.06919465,0.16010051,-0.08860752,0.00000000,-0.00000000
3.95897949,1.55430268,-0.89882108,0.73287583,-0.42716368,0.06100027,-0.03667547,0.11060159,-0.06799158,0.13070416,-0.07775806,0.17892570,-0.10152202,0.00000000,-0.00000000
3.96498249,1.73210552,-1.02209662,0.81712483,-0.48429154,0.06783675,-0.04187778,0.12280432,-0.07578740,0.14504974,-0.08756430,0.19869124,-0.11588506,0.00000000,-0.00000000
3.97098549,1.91865096,-1.15931518,0.90584095,-0.54828310,0.07495284,-0.04760141,0.13572448,-0.08474640,0.16005471,-0.09856390,0.21920302,-0.13165185,0.00000000,-0.00000000
3.97698849,2.11202231,-1.30987836,0.99812958,-0.61885456,0.08227185,-0.05382156,0.14921939,-0.09480515,0.17553645,-0.11068589,0.24023585,-0.14874886,0.00000000,-0.00000000
3.98299150,2.31002362,-1.47291249,1.09296309,-0.69559466,0.08970680,-0.06050163,0.16312923,-0.10588375,0.19128932,-0.12383567,0.26153668,-0.16707110,0.00000000,-0.00000000
3.98899450,2.51021053,-1.64724781,1.18919414,-0.77795456,0.09716185,-0.06759255,0.17727889,-0.11788438,0.20708759,-0.13789340,0.28282905,-0.18648032,0.00000000,-0.00000000
3.99499750,2.70993373,-1.83140668,1.28557500,-0.86524175,0.10453421,-0.07503244,0.19148071,-0.13069044,0.22268943,-0.15271323,0.30381897,-0.20680441,0.00000000,-0.00000000
4.00100050,2.90639417,-2.02360264,1.38078252,-0.95661897,0.11171650,-0.08274680,0.20553792,-0.14416630,0.23784196,-0.16812342,0.32420188,-0.22783801,0.00000000,-0.00000000
4.00700350,3.09670831,-2.22175166,1.47344797,-1.05110859,0.11859946,-0.09064917,0.21924883,-0.15815788,0.25228719,-0.18392749,0.34367052,-0.24934458,0.00000000,-0.00000000
