energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-2.90245123,1.30438876,-2.84213359,0.51450625,-0.80343630,0.72051810,-2.06046877,0.33864057,-0.34340511,0.00086744,-0.00128469,0.35160735,-1.56355000,0.00000000,-0.00000000
-2.89644822,1.35912495,-2.88150085,0.52617884,-0.82853685,0.75819439,-2.07924010,0.34856192,-0.35139012,0.00091706,-0.00129781,0.36173203,-1.58701132,0.00000000,-0.00000000
-2.89044522,1.41313047,-2.91115592,0.53659832,-0.85133113,0.79650453,-2.09070879,0.35733486,-0.35827176,0.00096546,-0.00130465,0.37206590,-1.60526922,0.00000000,-0.00000000
-2.88444222,1.46562738,-2.92995038,0.54566665,-0.87127600,0.83488793,-2.09415672,0.36493077,-0.36386385,0.00101189,-0.00130481,0.38229442,-1.61765195,0.00000000,-0.00000000
-2.87843922,1.51590077,-2.93698390,0.55332801,-0.88787588,0.87280799,-2.08904958,0.37134730,-0.36800252,0.00105564,-0.00129807,0.39212224,-1.62362311,0.00000000,-0.00000000
-2.87243622,1.56331429,-2.93162995,0.55956819,-0.90069615,0.90976375,-2.07505325,0.37660808,-0.37055126,0.00109609,-0.00128438,0.40127913,-1.62279625,0.00000000,-0.00000000
-2.86643322,1.60732289,-2.91355261,0.56441244,-0.90937530,0.94530015,-2.05204351,0.38076130,-0.37140532,0.00113267,-0.00126389,0.40952515,-1.61494486,0.00000000,-0.00000000
-2.86043022,1.64748201,-2.88271394,0.56792185,-0.91363544,0.97901645,-2.02010841,0.38387764,-0.37049505,0.00116495,-0.00123690,0.41665495,-1.60000709,0.00000000,-0.00000000
-2.85442721,1.68345296,-2.83937121,0.57018827,-0.91329050,1.01057244,-1.97954345,0.38604722,-0.36778830,0.00119260,-0.00120387,0.42250080,-1.57808512,0.00000000,-0.00000000
-2.84842421,1.71500421,-2.78406441,0.57132820,-0.90825190,1.03969233,-1.93083957,0.38737590,-0.36329153,0.00121541,-0.00116540,0.42693461,-1.54943905,0.00000000,-0.00000000
-2.84242121,1.74200874,-2.71759437,0.57147566,-0.89853118,1.06616602,-1.87466464,0.38798098,-0.35704988,0.00123330,-0.00112222,0.42986859,-1.51447556,0.00000000,-0.00000000
-2.83641821,1.76443770,-2.64099250,0.57077450,-0.88423957,1.08984805,-1.81183920,0.38798650,-0.34914593,0.00124630,-0.00107511,0.43125477,-1.47373183,0.00000000,-0.00000000
-2.83041521,1.78235082,-2.55548360,0.56937046,-0.86558443,1.11065427,-1.74330753,0.38751839,-0.33969746,0.00125459,-0.00102494,0.43108337,-1.42785534,0.00000000,-0.00000000
-2.82441221,1.79588427,-2.46244325,0.56740344,-0.84286262,1.12855665,-1.67010550,0.38669963,-0.32885420,0.00125841,-0.00097262,0.42938024,-1.37758052,0.00000000,-0.00000000
-2.81840920,1.80523689,-2.36335180,0.56500024,-0.81645114,1.14357669,-1.59332640,0.38564569,-0.31679369,0.00125813,-0.00091903,0.42620346,-1.32370312,0.00000000,-0.00000000
