energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-1.23361681,6.06668132,0.62767459,0.00000000,1.56574460,2.38888586,0.18988529,3.04278026
-1.22761381,6.18655971,0.64636415,0.00000000,1.60283289,2.44226678,0.19551263,3.09374311
-1.22161081,6.27917610,0.66278849,0.00000000,1.63456936,2.48674346,0.20056633,3.12830745
-1.21560780,6.34336648,0.67673035,0.00000000,1.66050274,2.52175352,0.20499454,3.14599485
-1.20960480,6.37847762,0.68801216,0.00000000,1.68025127,2.54687550,0.20875533,3.14666254
-1.20360180,6.38438962,0.69650245,0.00000000,1.69351546,2.56184302,0.21181895,3.13050628
-1.19759880,6.36152581,0.70212143,0.00000000,1.70008982,2.56655616,0.21416998,3.09805423
-1.19159580,6.31084941,0.70484522,0.00000000,1.69987324,2.56108952,0.21580931,3.05015173
-1.18559280,6.23384658,0.70470867,0.00000000,1.69287712,2.54569626,0.21675582,2.98793787
-1.17958979,6.13249615,0.70180633,0.00000000,1.67923086,2.52080770,0.21704765,2.91281461
-1.17358679,6.00922656,0.69629163,0.00000000,1.65918422,2.48702807,0.21674301,2.82640974
-1.16758379,5.86686109,0.68837399,0.00000000,1.63310610,2.44512424,0.21592038,2.73053494
-1.16158079,5.70855290,0.67831411,0.00000000,1.60147965,2.39601052,0.21467813,2.62714050
-1.15557779,5.53771143,0.66641730,0.00000000,1.56489356,2.34072856,0.21313347,2.51826803
-1.14957479,5.35792225,0.65302520,0.00000000,1.52402974,2.28042296,0.21142069,2.40600286
-1.14357179,5.17286263,0.63850601,0.00000000,1.47964758,2.21631312,0.20968872,2.29242730
-1.13756878,4.98621501,0.62324384,0.00000000,1.43256539,2.14966214,0.20809802,2.17957600
-1.13156578,4.80158080,0.60762716,0.00000000,1.38363953,2.08174370,0.20681689,2.06939457
-1.12556278,4.62239693,0.59203721,0.00000000,1.33374203,2.01380826,0.20601728,1.96370214
-1.11955978,4.45185736,0.57683659,0.00000000,1.28373748,1.94704941,0.20587005,1.86415858
-1.11355678,4.29284178,0.56235849,0.00000000,1.23446015,1.88257192,0.20654008,1.77223680
