energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.19559780,1.49113323,0.37742388,0.00000000,0.69202976,0.24505318,0.15139070,0.25336437
-5.18959480,1.41495483,0.36020401,0.00000000,0.67105226,0.23247535,0.14348256,0.24664491
-5.18359180,1.35097029,0.34540372,0.00000000,0.65773077,0.22228329,0.13589829,0.24266582
-5.17758879,1.29813834,0.33287499,0.00000000,0.65114900,0.21424687,0.12865104,0.24103287
-5.17158579,1.25530972,0.32243555,0.00000000,0.65033680,0.20811765,0.12175249,0.24134748
-5.16558279,1.22125178,0.31387293,0.00000000,0.65428783,0.20363427,0.11521150,0.24321287
-5.15957979,1.19467306,0.30694917,0.00000000,0.66197704,0.20052761,0.10903289,0.24623943
-5.15357679,1.17424789,0.30140617,0.00000000,0.67237796,0.19852584,0.10321640,0.25004965
-5.14757379,1.15864123,0.29697161,0.00000000,0.68448002,0.19735931,0.09775611,0.25428275
-5.14157079,1.14653372,0.29336546,0.00000000,0.69730575,0.19676534,0.09264008,0.25859895
-5.13556778,1.13664667,0.29030689,0.00000000,0.70992782,0.19649282,0.08785054,0.26268367
-5.12956478,1.12776657,0.28752129,0.00000000,0.72148551,0.19630658,0.08336441,0.26625142
-5.12356178,1.11876865,0.28474738,0.00000000,0.73120024,0.19599153,0.07915414,0.26904952
-5.11755878,1.10863875,0.28174397,0.00000000,0.73838984,0.19535629,0.07518891,0.27086139
-5.11155578,1.09649275,0.27829621,0.00000000,0.74248077,0.19423637,0.07143596,0.27150943
-5.10555278,1.08159293,0.27422104,0.00000000,0.74301816,0.19249675,0.06786202,0.27085724
-5.09954977,1.06336041,0.26937167,0.00000000,0.73967282,0.19003364,0.06443478,0.26881102
-5.09354677,1.04138332,0.26364082,0.00000000,0.73224530,0.18677551,0.06112428,0.26532019
-5.08754377,1.01542019,0.25696270,0.00000000,0.72066638,0.18268320,0.05790404,0.26037693
-5.08154077,0.98539845,0.24931361,0.00000000,0.70499421,0.17774917,0.05475206,0.25401474
-5.07553777,0.95140813,0.24071122,0.00000000,0.68540809,0.17199587,0.05165147,0.24630600
-5.06953477,0.91369108,0.23121254,0.00000000,0.66219915,0.16547336,0.04859098,0.23735853
-5.06353177,0.87262628,0.22091090,0.00000000,0.63575849,0.15825621,0.04556487,0.22731138
-5.05752876,0.82871192,0.20993186,0.00000000,0.60656312,0.15043978,0.04257285,0.21632989
-5.05152576,0.78254525,0.19842864,0.00000000,0.57516067,0.14213627,0.03961965,0.20460037
-5.04552276,0.73480105,0.18657698,0.00000000,0.54215326,0.13347037,0.03671429,0.19232450
-5.03951976,0.68620983,0.17457007,0.00000000,0.50818154,0.12457502,0.03386938,0.17971370
-5.03351676,0.63753663,0.16261338,0.00000000,0.47390939,0.11558721,0.03110018,0.16698380
-5.02751376,0.58956135,0.15092004,0.00000000,0.44000994,0.10664415,0.02842377,0.15435007
