energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
3.88094047,1.89575448,0.02803964,0.54631500,0.60095942,0.08406943,1.05198479,0.83948440,0.07197490,0.26229750
3.88694347,1.92151152,0.03031120,0.54950854,0.62755339,0.08304064,1.06505987,0.84760625,0.07260290,0.27152596
3.89294647,1.95138487,0.03263732,0.55423341,0.65369716,0.08236362,1.07943230,0.85775699,0.07311290,0.28110852
3.89894947,1.98497599,0.03498465,0.56042691,0.67904107,0.08203079,1.09486044,0.86983077,0.07351625,0.29094740
3.90495248,2.02173039,0.03731912,0.56796902,0.70321929,0.08202640,1.11104521,0.88364839,0.07382458,0.30092786
3.91095548,2.06096174,0.03960722,0.57668919,0.72586049,0.08232756,1.12764532,0.89896540,0.07404953,0.31092121
3.91695848,2.10188124,0.04181720,0.58637482,0.74659966,0.08290570,1.14429411,0.91548272,0.07420256,0.32078858
3.92296148,2.14363100,0.04392048,0.59678093,0.76509028,0.08372813,1.16061730,0.93285890,0.07429476,0.33038533
3.92896448,2.18531961,0.04589300,0.60764065,0.78101653,0.08475976,1.17625082,0.95072387,0.07433687,0.33956593
3.93496748,2.22605859,0.04771652,0.61867594,0.79410483,0.08596488,1.19085772,0.96869315,0.07433926,0.34818899
3.94097049,2.26499767,0.04937982,0.62960819,0.80413422,0.08730882,1.20414365,0.98638234,0.07431204,0.35612228
3.94697349,2.30135769,0.05087975,0.64016805,0.81094496,0.08875957,1.21586987,1.00342087,0.07426514,0.36324750
3.95297649,2.33445944,0.05222193,0.65010436,0.81444506,0.09028918,1.22586347,1.01946477,0.07420850,0.36946449
3.95897949,2.36374728,0.05342123,0.65919166,0.81461423,0.09187482,1.23402415,1.03420781,0.07415208,0.37469478
3.96498249,2.38880656,0.05450185,0.66723610,0.81150511,0.09349963,1.24032742,1.04739062,0.07410604,0.37888417
3.97098549,2.40937425,0.05549701,0.67407966,0.80524168,0.09515315,1.24482390,1.05880755,0.07408062,0.38200442
3.97698849,2.42534234,0.05644824,0.67960248,0.79601489,0.09683139,1.24763504,1.06831093,0.07408610,0.38405373
3.98299150,2.43675403,0.05740423,0.68372344,0.78407567,0.09853651,1.24894520,1.07581277,0.07413260,0.38505623
3.98899450,2.44379304,0.05841926,0.68639906,0.76972578,0.10027610,1.24899072,1.08128386,0.07422976,0.38506028
3.99499750,2.44676669,0.05955133,0.68762084,0.75330672,0.10206217,1.24804631,1.08475030,0.07438634,0.38413591
4.00100050,2.44608356,0.06085988,0.68741132,0.73518740,0.10390982,1.24640957,1.08628786,0.07460974,0.38237125
4.00700350,2.44222693,0.06240337,0.68581907,0.71575104,0.10583562,1.24438424,1.08601429,0.07490547,0.37986840
4.01300650,2.43572522,0.06423662,0.68291306,0.69538193,0.10785594,1.24226299,1.08408010,0.07527663,0.37673871
4.01900950,2.42712094,0.06640819,0.67877649,0.67445271,0.10998504,1.24031068,1.08065821,0.07572332,0.37309787
4.02501251,2.41693960,0.06895773,0.67350067,0.65331257,0.11223334,1.23874871,1.07593287,0.07624222,0.36906086
4.03101551,2.40566006,0.07191358,0.66717904,0.63227703,0.11460567,1.23774136,1.07008865,0.07682618,0.36473723
4.03701851,2.39368779,0.07529065,0.65990175,0.61161961,0.11709980,1.23738479,1.06329966,0.07746406,0.36022670
4.04302151,2.38133240,0.07908869,0.65175104,0.59156578,0.11970520,1.23769918,1.05571991,0.07814069,0.35561542
4.04902451,2.36879051,0.08329110,0.64279760,0.57228929,0.12240219,1.23862471,1.04747497,0.07883705,0.35097311
4.05502751,2.35613497,0.08786433,0.63309802,0.55391109,0.12516161,1.24002140,1.03865566,0.07953070,0.34635104
4.06103052,2.34331104,0.09275793,0.62269361,0.53650069,0.12794480,1.24167316,1.02931391,0.08019646,0.34178121
4.06703352,2.33013987,0.09790531,0.61161039,0.52007989,0.13070429,1.24329594,1.01946118,0.08080730,0.33727646
4.07303652,2.31632930,0.10322523,0.59986041,0.50462865,0.13338484,1.24454972,1.00906958,0.08133548,0.33283188
4.07903952,2.30149160,0.10862394,0.58744421,0.49009269,0.13592509,1.24505395,0.99807560,0.08175383,0.32842712
4.08504252,2.28516743,0.11399799,0.57435427,0.47639250,0.13825954,1.24440587,0.98638643,0.08203713,0.32402970
4.09104552,2.26685501,0.11923760,0.56057930,0.46343329,0.14032101,1.24220085,0.97388862,0.08216367,0.31959910
4.09704852,2.24604316,0.12423039,0.54610904,0.45111541,0.14204325,1.23805399,0.96045848,0.08211670,0.31509143
