energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-1.89394697,3.62512434,0.00057984,0.11115868,0.13178841,0.00000000,0.34941312,2.85418919,0.00322072,1.01548079
-1.88794397,3.53408649,0.00050058,0.10574395,0.12725793,0.00000000,0.33367269,2.79135875,0.00278591,0.98863658
-1.88194097,3.44452265,0.00042917,0.10052477,0.12285515,0.00000000,0.31954270,2.72909675,0.00239388,0.96200504
-1.87593797,3.35606538,0.00036545,0.09548483,0.11860321,0.00000000,0.30695597,2.66712438,0.00204390,0.93549912
-1.86993497,3.26841593,0.00030909,0.09060694,0.11452320,0.00000000,0.29583450,2.60521980,0.00173467,0.90905773
-1.86393197,3.18136646,0.00025972,0.08587462,0.11063337,0.00000000,0.28609394,2.54323359,0.00146447,0.88265193
-1.85792896,3.09481351,0.00021688,0.08127338,0.10694840,0.00000000,0.27764711,2.48109734,0.00123130,0.85628859
-1.85192596,3.00876268,0.00018008,0.07679179,0.10347883,0.00000000,0.27040663,2.41882566,0.00103305,0.83001124
-1.84592296,2.92332502,0.00014882,0.07242221,0.10023068,0.00000000,0.26428652,2.35651182,0.00086767,0.80389845
-1.83991996,2.83870596,0.00012259,0.06816119,0.09720535,0.00000000,0.25920299,2.29431788,0.00073330,0.77805994
-1.83391696,2.75518852,0.00010092,0.06400968,0.09439965,0.00000000,0.25507443,2.23246057,0.00062839,0.75263086
-1.82791396,2.67311233,0.00008335,0.05997285,0.09180613,0.00000000,0.25182091,2.17119402,0.00055191,0.72776496
-1.82191096,2.59285051,0.00006950,0.05605987,0.08941365,0.00000000,0.24936334,2.11079122,0.00050344,0.70362700
-1.81590795,2.51478647,0.00005903,0.05228337,0.08720811,0.00000000,0.24762252,2.05152549,0.00048331,0.68038519
-1.80990495,2.43929245,0.00005168,0.04865892,0.08517341,0.00000000,0.24651832,1.99365347,0.00049278,0.65820421
-1.80390195,2.36671156,0.00004726,0.04520447,0.08329244,0.00000000,0.24596914,1.93740109,0.00053413,0.63723932
-1.79789895,2.29734463,0.00004567,0.04193973,0.08154831,0.00000000,0.24589188,1.88295334,0.00061082,0.61763186
-1.79189595,2.23144280,0.00004688,0.03888564,0.07992549,0.00000000,0.24620245,1.83044873,0.00072762,0.59950669
-1.78589295,2.16920641,0.00005095,0.03606394,0.07841098,0.00000000,0.24681692,1.77997871,0.00089077,0.58297133
-1.77988994,2.11078990,0.00005805,0.03349682,0.07699547,0.00000000,0.24765327,1.73159195,0.00110804,0.56811714
-1.77388694,2.05631243,0.00006841,0.03120664,0.07567427,0.00000000,0.24863366,1.68530323,0.00138889,0.55502209
-1.76788394,2.00587307,0.00008235,0.02921583,0.07444822,0.00000000,0.24968717,1.64110607,0.00174454,0.54375492
-1.76188094,1.95956930,0.00010030,0.02754672,0.07332426,0.00000000,0.25075271,1.59898812,0.00218801,0.53438026
-1.75587794,1.91751701,0.00012272,0.02622161,0.07231590,0.00000000,0.25178198,1.55894800,0.00273413,0.52696418
-1.74987494,1.87987043,0.00015019,0.02526267,0.07144328,0.00000000,0.25274230,1.52101236,0.00339948,0.52157958
-1.74387194,1.84683995,0.00018330,0.02469193,0.07073309,0.00000000,0.25361890,1.48525155,0.00420227,0.51831096
-1.73786893,1.81870616,0.00022272,0.02453120,0.07021810,0.00000000,0.25441668,1.45179278,0.00516212,0.51725789
-1.73186593,1.79582851,0.00026913,0.02480185,0.06993648,0.00000000,0.25516110,1.42082933,0.00629975,0.51853693
-1.72586293,1.77864748,0.00032321,0.02552453,0.06993075,0.00000000,0.25589811,1.39262505,0.00763658,0.52228147
-1.71985993,1.76767925,0.00038563,0.02671869,0.07024660,0.00000000,0.25669309,1.36751325,0.00919420,0.52863951
-1.71385693,1.76350266,0.00045699,0.02840204,0.07093136,0.00000000,0.25762865,1.34588984,0.01099370,0.53776905
