energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-1.69584792,2.26686758,2.10385825,0.46645652,1.48917247,0.00094223,0.03829315,0.70853199
-1.68984492,2.39371900,2.26353387,0.49243415,1.56528243,0.00097423,0.03984887,0.75799261
-1.68384192,2.52134064,2.42940764,0.51920081,1.63992936,0.00100343,0.04127532,0.80882618
-1.67783892,2.64845012,2.60026379,0.54636972,1.71243821,0.00102948,0.04255275,0.86050544
-1.67183592,2.77378329,2.77472333,0.57357672,1.78215703,0.00105210,0.04366353,0.91247997
-1.66583292,2.89610106,2.95123993,0.60048553,1.84845959,0.00107107,0.04459239,0.96418000
-1.65982991,3.01419747,3.12810229,0.62679293,1.91074812,0.00108624,0.04532665,1.01502142
-1.65382691,3.12690938,3.30344416,0.65223385,1.96845674,0.00109750,0.04585639,1.06441199
-1.64782391,3.23312853,3.47526329,0.67658609,2.02105580,0.00110483,0.04617460,1.11175894
-1.64182091,3.33181577,3.64144959,0.69967462,2.06805753,0.00110827,0.04627720,1.15647795
-1.63581791,3.42201759,3.79982259,0.72137507,2.10902293,0.00110789,0.04616312,1.19800336
-1.62981491,3.50288430,3.94817734,0.74161625,2.14356991,0.00110384,0.04583428,1.23579939
-1.62381191,3.57368917,4.08433763,0.76038136,2.17138236,0.00109631,0.04529552,1.26937205
-1.61780890,3.63384732,4.20621441,0.77770758,2.19221957,0.00108554,0.04455450,1.29828117
-1.61180590,3.68293323,4.31186695,0.79368386,2.20592547,0.00107181,0.04362158,1.32215213
-1.60580290,3.72069529,4.39956402,0.80844668,2.21243685,0.00105544,0.04250957,1.34068662
-1.59979990,3.74706602,4.46784179,0.82217363,2.21178983,0.00103678,0.04123355,1.35367182
-1.59379690,3.76216669,4.51555548,0.83507487,2.20412362,0.00101621,0.03981056,1.36098738
-1.58779390,3.76630511,4.54192169,0.84738259,2.18968116,0.00099414,0.03825927,1.36260980
-1.58179090,3.75996603,4.54654903,0.85933863,2.16880583,0.00097095,0.03659964,1.35861359
-1.57578789,3.74379380,4.52945478,0.87118083,2.14193412,0.00094705,0.03485252,1.34916920
-1.56978489,3.71856751,4.49106659,0.88312850,2.10958411,0.00092283,0.03303923,1.33453738
-1.56378189,3.68516951,4.43220870,0.89536763,2.07234016,0.00089866,0.03118115,1.31506039
-1.55777889,3.64454849,4.35407305,0.90803676,2.03083424,0.00087488,0.02929930,1.29115002
-1.55177589,3.59767912,4.25817669,0.92121411,1.98572480,0.00085176,0.02741390,1.26327331
-1.54577289,3.54552010,4.14630765,0.93490674,1.93767424,0.00082955,0.02554403,1.23193629
-1.53976988,3.48897326,4.02046190,0.94904268,1.88732618,0.00080842,0.02370724,1.19766679
-1.53376688,3.42884599,3.88277471,0.96346639,1.83528370,0.00078849,0.02191928,1.16099692
-1.52776388,3.36581926,3.73544989,0.97793823,1.78209001,0.00076978,0.02019388,1.12244642
-1.52176088,3.30042338,3.58069045,0.99213813,1.72821241,0.00075228,0.01854251,1.08250735
-1.51575788,3.23302293,3.42063397,1.00567361,1.67403070,0.00073587,0.01697439,1.04163112
-1.50975488,3.16381187,3.25729550,1.01809187,1.61983055,0.00072042,0.01549636,1.00021830
-1.50375188,3.09281922,3.09252058,1.02889560,1.56580217,0.00070570,0.01411299,0.95861167
-1.49774887,3.01992495,2.92794960,1.03756186,1.51204436,0.00069146,0.01282668,0.91709267
-1.49174587,2.94488497,2.76499480,1.04356312,1.45857351,0.00067743,0.01163783,0.87588128
-1.48574287,2.86736377,2.60482958,1.04638956,1.40533682,0.00066330,0.01054503,0.83513901
-1.47973987,2.78697244,2.44838964,1.04557138,1.35222898,0.00064879,0.00954537,0.79497469
