energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-3.07053527,1.46836650,0.00028421,0.03832181,0.19104938,1.09753777,0.00000438,0.35489692
-3.06453227,1.41573509,0.00031577,0.03595301,0.18086216,1.06664038,0.00000357,0.33323781
-3.05852926,1.36255760,0.00035259,0.03367393,0.17099490,1.03507833,0.00000291,0.31146805
-3.05252626,1.30956177,0.00039513,0.03149554,0.16148706,1.00341968,0.00000238,0.28976994
-3.04652326,1.25756009,0.00044384,0.02943029,0.15238890,0.97230302,0.00000197,0.26833676
-3.04052026,1.20741589,0.00049910,0.02749166,0.14375886,0.94241017,0.00000168,0.24736601
-3.03451726,1.16000771,0.00056124,0.02569355,0.13566050,0.91443708,0.00000151,0.22705308
-3.02851426,1.11619382,0.00063047,0.02404980,0.12815946,0.88906456,0.00000145,0.20758542
-3.02251126,1.07677858,0.00070688,0.02257368,0.12132039,0.86693007,0.00000151,0.18913766
-3.01650825,1.04248214,0.00079039,0.02127752,0.11520419,0.84860201,0.00000171,0.17186766
-3.01050525,1.01391513,0.00088077,0.02017235,0.10986569,0.83455771,0.00000208,0.15591389
-3.00450225,0.99155924,0.00097755,0.01926771,0.10535184,0.82516622,0.00000266,0.14139389
-2.99849925,0.97575472,0.00108011,0.01857161,0.10170058,0.82067664,0.00000349,0.12840403
-2.99249625,0.96669539,0.00118756,0.01809054,0.09894044,0.82121274,0.00000465,0.11702035
-2.98649325,0.96443119,0.00129884,0.01782969,0.09709085,0.82677404,0.00000624,0.10730027
-2.98049025,0.96887844,0.00141268,0.01779318,0.09616313,0.83724349,0.00000837,0.09928519
-2.97448724,0.97983709,0.00152764,0.01798446,0.09616215,0.85240152,0.00001120,0.09300354
-2.96848424,0.99701431,0.00164215,0.01840679,0.09708860,0.87194570,0.00001491,0.08847418
-2.96248124,1.02005338,0.00175454,0.01906364,0.09894154,0.89551554,0.00001974,0.08570983
-2.95647824,1.04856638,0.00186308,0.01995928,0.10172137,0.92272093,0.00002599,0.08472040
-2.95047524,1.08216929,0.00196607,0.02109917,0.10543278,0.95317329,0.00003401,0.08551583
-2.94447224,1.12051762,0.00206185,0.02249041,0.11008766,0.98651774,0.00004422,0.08810847
-2.93846923,1.16334095,0.00214892,0.02414209,0.11570769,1.02246475,0.00005712,0.09251466
-2.93246623,1.21047435,0.00222594,0.02606547,0.12232644,1.06081968,0.00007332,0.09875548
-2.92646323,1.26188502,0.00229183,0.02827404,0.12999084,1.10150855,0.00009350,0.10685664
-2.92046023,1.31769250,0.00234580,0.03078349,0.13876176,1.14459855,0.00011848,0.11684733
-2.91445723,1.37818104,0.00238737,0.03361138,0.14871376,1.19031186,0.00014916,0.12875823
-2.90845423,1.44380292,0.00241644,0.03677672,0.15993366,1.23903176,0.00018659,0.14261866
-2.90245123,1.51517208,0.00243326,0.04029935,0.17251816,1.29130012,0.00023192,0.15845291
-2.89644822,1.59304759,0.00243846,0.04419912,0.18657030,1.34780583,0.00028641,0.17627608
-2.89044522,1.67830711,0.00243301,0.04849497,0.20219504,1.40936412,0.00035145,0.19608941
-2.88444222,1.77191089,0.00241820,0.05320382,0.21949382,1.47688705,0.00042851,0.21787551
-2.87843922,1.87485734,0.00239557,0.05833948,0.23855861,1.55134597,0.00051913,0.24159354
-2.87243622,1.98813161,0.00236691,0.06391139,0.25946528,1.63372710,0.00062492,0.26717479
-2.86643322,2.11264916,0.00233413,0.06992348,0.28226702,1.72498181,0.00074748,0.29451871
-2.86043022,2.24919637,0.00229920,0.07637300,0.30698765,1.82597341,0.00088841,0.32348981
-2.85442721,2.39837080,0.00226412,0.08324957,0.33361555,1.93742264,0.00104922,0.35391552
