energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-4.76938469,2.18798666,1.05336261,0.95515998,0.04871400,0.09587983,0.68258491,0.37256766,0.70780445,0.00000000
-4.76338169,2.14638052,1.03938619,0.93278022,0.04656751,0.09512834,0.67785709,0.36451499,0.70036678,0.00000000
-4.75737869,2.10086363,1.02243814,0.90981130,0.04449942,0.09398173,0.67045399,0.35572564,0.69036240,0.00000000
-4.75137569,2.05113116,1.00232766,0.88607464,0.04251873,0.09241052,0.66032383,0.34619488,0.67774602,0.00000000
-4.74537269,1.99702447,0.97895495,0.86142299,0.04062906,0.09040158,0.64749277,0.33595033,0.66253689,0.00000000
-4.73936968,1.93854055,0.95231380,0.83574802,0.03882922,0.08795783,0.63206322,0.32505291,0.64481887,0.00000000
-4.73336668,1.87583608,0.92249103,0.80898664,0.03711407,0.08509733,0.61420970,0.31359669,0.62473833,0.00000000
-4.72736368,1.80922584,0.88966305,0.78112552,0.03547541,0.08185194,0.59417251,0.30170740,0.60250013,0.00000000
-4.72136068,1.73917575,0.85408968,0.75220384,0.03390298,0.07826553,0.57224938,0.28953995,0.57836173,0.00000000
-4.71535768,1.66629090,0.81610558,0.72231394,0.03238546,0.07439204,0.54878559,0.27727489,0.55262579,0.00000000
-4.70935468,1.59129902,0.77610968,0.69159994,0.03091137,0.07029316,0.52416291,0.26511403,0.52563160,0.00000000
-4.70335168,1.51503016,0.73455311,0.66025439,0.02946996,0.06603608,0.49878777,0.25327548,0.49774566,0.00000000
-4.69734867,1.43839348,0.69192610,0.62851298,0.02805187,0.06169112,0.47307922,0.24198813,0.46935186,0.00000000
-4.69134567,1.36235183,0.64874448,0.59664773,0.02664969,0.05732956,0.44745701,0.23148589,0.44084151,0.00000000
-4.68534267,1.28789531,0.60553618,0.56495874,0.02525834,0.05302153,0.42233031,0.22200186,0.41260378,0.00000000
-4.67933967,1.21601466,0.56282824,0.53376504,0.02387525,0.04883425,0.39808738,0.21376246,0.38501664,0.00000000
-4.67333667,1.14767530,0.52113482,0.50339484,0.02250036,0.04483047,0.37508658,0.20698191,0.35843875,0.00000000
-4.66733367,1.08379297,0.48094644,0.47417552,0.02113603,0.04106723,0.35364886,0.20185696,0.33320239,0.00000000
