energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.88944472,5.43088530,0.01074568,0.10443157,0.12221895,1.00034654,1.95145506,3.65878801,1.09635455,0.00000000
-4.88344172,5.26943743,0.00991724,0.09641610,0.11379305,0.93383330,1.84661090,3.60479432,1.04445346,0.00000000
-4.87743872,5.11369583,0.00922163,0.08863612,0.10575157,0.86817653,1.74400532,3.55429051,0.99422657,0.00000000
-4.87143572,4.96402884,0.00866219,0.08114874,0.09815065,0.80392987,1.64445779,3.50683522,0.94593162,0.00000000
-4.86543272,4.82043738,0.00823985,0.07400078,0.09103432,0.74157942,1.54863432,3.46175059,0.89974322,0.00000000
-4.85942971,4.68258824,0.00795329,0.06722880,0.08443452,0.68153947,1.45704630,3.41815834,0.85575729,0.00000000
-4.85342671,4.54985953,0.00779904,0.06085939,0.07837132,0.62415045,1.37005422,3.37502405,0.81399780,0.00000000
-4.84742371,4.42139578,0.00777161,0.05490966,0.07285340,0.56967901,1.28787566,3.33120747,0.77442548,0.00000000
-4.84142071,4.29616996,0.00786365,0.04938801,0.06787879,0.51831994,1.21059703,3.28551661,0.73694794,0.00000000
-4.83541771,4.17304916,0.00806604,0.04429500,0.06343567,0.47019986,1.13818819,3.23676290,0.70143067,0.00000000
-4.82941471,4.05086099,0.00836806,0.03962436,0.05950344,0.42538230,1.07051927,3.18381517,0.66770854,0.00000000
-4.82341171,3.92845764,0.00875755,0.03536397,0.05605380,0.38387384,1.00737869,3.12564977,0.63559706,0.00000000
-4.81740870,3.80477481,0.00922104,0.03149704,0.05305196,0.34563120,0.94849177,3.06139493,0.60490322,0.00000000
-4.81140570,3.67888322,0.00974398,0.02800307,0.05045792,0.31056862,0.89353911,2.99036741,0.57543534,0.00000000
-4.80540270,3.55003077,0.01031094,0.02485893,0.04822770,0.27856566,0.84217406,2.91210019,0.54701168,0.00000000
-4.79939970,3.41767407,0.01090587,0.02203975,0.04631470,0.24947470,0.79403877,2.82636026,0.51946752,0.00000000
-4.79339670,3.28149853,0.01151239,0.01951976,0.04467087,0.22312829,0.74877842,2.73315621,0.49266069,0.00000000
-4.78739370,3.14142698,0.01211407,0.01727305,0.04324798,0.19934590,0.70605322,2.63273574,0.46647531,0.00000000
-4.78139070,2.99761720,0.01269480,0.01527415,0.04199877,0.17793994,0.66554811,2.52557373,0.44082391,0.00000000
-4.77538769,2.85044931,0.01323913,0.01349854,0.04087793,0.15872113,0.62698009,2.41235195,0.41564796,0.00000000
-4.76938469,2.70050431,0.01373259,0.01192302,0.03984312,0.14150291,0.59010315,2.29393169,0.39091699,0.00000000
-4.76338169,2.54853557,0.01416212,0.01052595,0.03885574,0.12610502,0.55471103,2.17132099,0.36662649,0.00000000
-4.75737869,2.39543494,0.01451628,0.00928746,0.03788159,0.11235629,0.52063801,2.04563825,0.34279484,0.00000000
-4.75137569,2.24219562,0.01478564,0.00818951,0.03689142,0.10009654,0.48775794,1.91807386,0.31945958,0.00000000
-4.74537269,2.08987350,0.01496294,0.00721589,0.03586123,0.08917787,0.45598185,1.78985173,0.29667319,0.00000000
-4.73936968,1.93954894,0.01504332,0.00635215,0.03477250,0.07946526,0.42525444,1.66219217,0.27449870,0.00000000
-4.73336668,1.79229039,0.01502439,0.00558555,0.03361219,0.07083661,0.39554981,1.53627755,0.25300533,0.00000000
-4.72736368,1.64912133,0.01490624,0.00490490,0.03237260,0.06318249,0.36686660,1.41322182,0.23226436,0.00000000
-4.72136068,1.51099142,0.01469142,0.00430042,0.03105110,0.05640538,0.33922286,1.29404468,0.21234541,0.00000000
-4.71535768,1.37875257,0.01438475,0.00376356,0.02964969,0.05041882,0.31265100,1.17965094,0.19331316,0.00000000
-4.70935468,1.25314040,0.01399314,0.00328690,0.02817451,0.04514635,0.28719276,1.07081531,0.17522472,0.00000000
-4.70335168,1.13476110,0.01352532,0.00286395,0.02663520,0.04052032,0.26289460,0.96817253,0.15812755,0.00000000
-4.69734867,1.02408355,0.01299145,0.00248904,0.02504423,0.03648078,0.23980349,0.87221269,0.14205809,0.00000000
-4.69134567,0.92143648,0.01240278,0.00215716,0.02341620,0.03297430,0.21796325,0.78328115,0.12704087,0.00000000
-4.68534267,0.82700998,0.01177127,0.00186391,0.02176711,0.02995292,0.19741146,0.70158263,0.11308829,0.00000000
-4.67933967,0.74086088,0.01110917,0.00160537,0.02011366,0.02737318,0.17817697,0.62718882,0.10020078,0.00000000
-4.67333667,0.66292137,0.01042860,0.00137800,0.01847263,0.02519525,0.16027808,0.56004868,0.08836745,0.00000000
-4.66733367,0.59301012,0.00974126,0.00117864,0.01686021,0.02338225,0.14372130,0.50000091,0.07756706,0.00000000
