energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-1.26963482,2.08055673,0.03735084,0.08755097,0.45845231,1.08067265,0.13504052,0.61903152,0.77142501,0.00058217
-1.26363182,2.15910468,0.03752014,0.09032874,0.47484157,1.13021637,0.14220694,0.63350730,0.78638335,0.00061612
-1.25762881,2.23406728,0.03743169,0.09301699,0.48991452,1.17902455,0.14919713,0.64546334,0.79963371,0.00065008
-1.25162581,2.30500802,0.03708806,0.09562435,0.50352132,1.22685687,0.15594940,0.65482561,0.81110939,0.00068381
-1.24562281,2.37153210,0.03649715,0.09816234,0.51552826,1.27347186,0.16240176,0.66156393,0.82076797,0.00071707
-1.23961981,2.43329147,0.03567185,0.10064484,0.52582000,1.31862922,0.16849324,0.66569102,0.82859250,0.00074963
-1.23361681,2.48998976,0.03462962,0.10308738,0.53430160,1.36209310,0.17416533,0.66726068,0.83459197,0.00078124
-1.22761381,2.54138726,0.03339190,0.10550643,0.54090037,1.40363590,0.17936356,0.66636498,0.83880124,0.00081167
-1.22161081,2.58730539,0.03198333,0.10791868,0.54556742,1.44304276,0.18403910,0.66313081,0.84128013,0.00084072
-1.21560780,2.62763049,0.03043099,0.11034020,0.54827891,1.48011621,0.18815033,0.65771573,0.84211198,0.00086819
-1.20960480,2.66231650,0.02876355,0.11278567,0.54903681,1.51468077,0.19166427,0.65030328,0.84140146,0.00089392
-1.20360180,2.69138596,0.02701038,0.11526764,0.54786925,1.54658701,0.19455784,0.64109796,0.83927173,0.00091779
-1.19759880,2.71492888,0.02520072,0.11779571,0.54483027,1.57571470,0.19681867,0.63031993,0.83586106,0.00093970
-1.19159580,2.73309921,0.02336290,0.12037590,0.53999893,1.60197460,0.19844569,0.61819945,0.83131872,0.00095959
-1.18559280,2.74610840,0.02152365,0.12300993,0.53347780,1.62530862,0.19944914,0.60497141,0.82580047,0.00097745
-1.17958979,2.75421610,0.01970751,0.12569468,0.52539071,1.64568803,0.19985020,0.59086981,0.81946354,0.00099329
-1.17358679,2.75771805,0.01793636,0.12842167,0.51587993,1.66310981,0.19968005,0.57612252,0.81246133,0.00100713
-1.16758379,2.75693150,0.01622910,0.13117668,0.50510264,1.67759103,0.19897854,0.56094624,0.80493794,0.00101905
-1.16158079,2.75217882,0.01460139,0.13393952,0.49322694,1.68916176,0.19779248,0.54554204,0.79702280,0.00102913
-1.15557779,2.74377003,0.01306566,0.13668391,0.48042753,1.69785672,0.19617352,0.53009134,0.78882551,0.00103743
-1.14957479,2.73198535,0.01163107,0.13937761,0.46688108,1.70370649,0.19417600,0.51475274,0.78043128,0.00104405
-1.14357179,2.71705895,0.01030368,0.14198274,0.45276166,1.70672885,0.19185454,0.49965963,0.77189717,0.00104904
-1.13756878,2.69916499,0.00908668,0.14445633,0.43823634,1.70692099,0.18926189,0.48491873,0.76324939,0.00105246
-1.13156578,2.67840710,0.00798065,0.14675110,0.42346114,1.70425344,0.18644682,0.47060974,0.75448195,0.00105433
-1.12556278,2.65481245,0.00698394,0.14881659,0.40857762,1.69866629,0.18345243,0.45678606,0.74555669,0.00105465
-1.11955978,2.62833083,0.00609296,0.15060041,0.39371015,1.69006824,0.18031488,0.44347655,0.73640503,0.00105340
-1.11355678,2.59883956,0.00530263,0.15204981,0.37896411,1.67833890,0.17706257,0.43068839,0.72693129,0.00105051
-1.10755378,2.56615384,0.00460666,0.15311338,0.36442501,1.66333436,0.17371592,0.41841083,0.71701760,0.00104590
-1.10155078,2.53004262,0.00399796,0.15374289,0.35015854,1.64489590,0.17028767,0.40661966,0.70653020,0.00103949
-1.09554777,2.49024887,0.00346895,0.15389522,0.33621162,1.62286152,0.16678368,0.39528231,0.69532692,0.00103117
-1.08954477,2.44651336,0.00301178,0.15353418,0.32261423,1.59707951,0.16320424,0.38436307,0.68326538,0.00102083
-1.08354177,2.39860049,0.00261866,0.15263228,0.30938196,1.56742341,0.15954564,0.37382842,0.67021169,0.00100840
-1.07753877,2.34632450,0.00228199,0.15117227,0.29651904,1.53380725,0.15580205,0.36365193,0.65604893,0.00099382
