energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-5.84392196,2.86598769,0.92407946,0.02350491,2.62387525,0.50100924,0.16477213,0.63280602
-5.83791896,2.83879728,0.92016965,0.02319785,2.61301904,0.49433240,0.16065854,0.62613881
-5.83191596,2.79529835,0.91024111,0.02276799,2.58521452,0.48503243,0.15607810,0.61597140
-5.82591296,2.73578686,0.89443384,0.02221757,2.54082141,0.47316102,0.15100735,0.60236336
-5.81990995,2.66093573,0.87301318,0.02155180,2.48055608,0.45883340,0.14544337,0.58545716
-5.81390695,2.57176830,0.84636030,0.02077866,2.40546596,0.44222362,0.13940306,0.56547235
-5.80790395,2.46961963,0.81495889,0.01990857,2.31689283,0.42355778,0.13292174,0.54269710
-5.80190095,2.35608761,0.77937867,0.01895406,2.21642677,0.40310560,0.12605098,0.51747742
-5.79589795,2.23297645,0.74025642,0.01792924,2.10585298,0.38117060,0.11885584,0.49020479
-5.78989495,2.10223524,0.69827552,0.01684935,1.98709396,0.35807959,0.11141181,0.46130260
-5.78389195,1.96589444,0.65414484,0.01573027,1.86214956,0.33417186,0.10380148,0.43121225
-5.77788894,1.82600307,0.60857781,0.01458798,1.73303757,0.30978853,0.09611116,0.40037929
-5.77188594,1.68456916,0.56227263,0.01343812,1.60173713,0.28526251,0.08842764,0.36924041
-5.76588294,1.54350575,0.51589433,0.01229553,1.47013725,0.26090952,0.08083520,0.33821155
-5.75987994,1.40458414,0.47005917,0.01117392,1.33999197,0.23702033,0.07341291,0.30767769
-5.75387694,1.26939594,0.42532191,0.01008557,1.21288364,0.21385457,0.06623250,0.27798452
-5.74787394,1.13932443,0.38216632,0.00904107,1.09019502,0.19163614,0.05935659,0.24943218
-5.74187094,1.01552584,0.34099875,0.00804921,0.97309067,0.17055030,0.05283750,0.22227119
-5.73586793,0.89892010,0.30214508,0.00711693,0.86250734,0.15074236,0.04671660,0.19670046
-5.72986493,0.79019056,0.26585052,0.00624929,0.75915299,0.13231787,0.04102409,0.17286721
-5.72386193,0.68979175,0.23228215,0.00544954,0.66351346,0.11534416,0.03577924,0.15086875
-5.71785893,0.59796388,0.20153376,0.00471927,0.57586573,0.09985298,0.03099100,0.13075562
-5.71185593,0.51475262,0.17363243,0.00405855,0.49629642,0.08584397,0.02665887,0.11253598
-5.70585293,0.44003293,0.14854654,0.00346611,0.42472418,0.07328880,0.02277409,0.09618081
-5.69984992,0.37353525,0.12619455,0.00293959,0.36092462,0.06213565,0.01932084,0.08162964
-5.69384692,0.31487276,0.10645421,0.00247571,0.30455633,0.05231385,0.01627763,0.06879656
-5.68784392,0.26356854,0.08917175,0.00207052,0.25518700,0.04373844,0.01361860,0.05757611
-5.68184092,0.21908156,0.07417063,0.00171959,0.21231850,0.03631452,0.01131484,0.04784900
-5.67583792,0.18083065,0.06125975,0.00141819,0.17541014,0.02994127,0.00933557,0.03948730
-5.66983492,0.14821590,0.05024072,0.00116149,0.14389952,0.02451543,0.00764921,0.03235913
-5.66383192,0.12063707,0.04091410,0.00094465,0.11722057,0.01993437,0.00622435,0.02633264
-5.65782891,0.09750883,0.03308468,0.00076300,0.09481856,0.01609854,0.00503044,0.02127939
-5.65182591,0.07827285,0.02656564,0.00061207,0.07616213,0.01291348,0.00403846,0.01707687
-5.64582291,0.06240688,0.02118159,0.00048772,0.06075227,0.01029120,0.00322136,0.01361057
-5.63981991,0.04943102,0.01677084,0.00038613,0.04812875,0.00815125,0.00255437,0.01077525
-5.63381691,0.03891154,0.01318665,0.00030388,0.03787397,0.00642125,0.00201519,0.00847578
-5.62781391,0.03046264,0.01029787,0.00023792,0.02961491,0.00503719,0.00158411,0.00662751
-5.62181091,0.02374653,0.00798893,0.00018560,0.02302328,0.00394341,0.00124401,0.00515628
-5.61580790,0.01847225,0.00615941,0.00014464,0.01781445,0.00309241,0.00098030,0.00399811
-5.60980490,0.01439348,0.00472322,0.00011310,0.01374538,0.00244446,0.00078082,0.00309874
-5.60380190,0.01130596,0.00360761,0.00008942,0.01061194,0.00196722,0.00063576,0.00241303
-5.59779890,0.00904440,0.00275204,0.00007233,0.00824590,0.00163529,0.00053748,0.00190434
-5.59179590,0.00747960,0.00210700,0.00006083,0.00651182,0.00142971,0.00048040,0.00154382
-5.58579290,0.00651554,0.00163283,0.00005424,0.00530408,0.00133757,0.00046088,0.00130986
-5.57978989,0.00608688,0.00129869,0.00005209,0.00454411,0.00135168,0.00047714,0.00118757
-5.57378689,0.00615693,0.00108160,0.00005417,0.00417806,0.00147027,0.00052911,0.00116833
-5.56778389,0.00671597,0.00096563,0.00006048,0.00417486,0.00169678,0.00061846,0.00124958
-5.56178089,0.00778024,0.00094126,0.00007125,0.00452486,0.00203976,0.00074845,0.00143462
-5.55577789,0.00939129,0.00100494,0.00008693,0.00523887,0.00251282,0.00092402,0.00173265
-5.54977489,0.01161590,0.00115875,0.00010817,0.00634778,0.00313463,0.00115166,0.00215889
-5.54377189,0.01454633,0.00141029,0.00013586,0.00790257,0.00392900,0.00143948,0.00273484
-5.53776888,0.01830093,0.00177268,0.00017109,0.00997480,0.00492492,0.00179718,0.00348867
-5.53176588,0.02302484,0.00226466,0.00021521,0.01265734,0.00615665,0.00223598,0.00445566
-5.52576288,0.02889088,0.00291087,0.00026979,0.01606534,0.00766374,0.00276860,0.00567868
-5.51975988,0.03610015,0.00374210,0.00033664,0.02033732,0.00949094,0.00340917,0.00720877
-5.51375688,0.04488250,0.00479560,0.00041780,0.02563620,0.01168813,0.00417310,0.00910552
-5.50775388,0.05549643,0.00611544,0.00051556,0.03215014,0.01430994,0.00507685,0.01143757
-5.50175088,0.06822836,0.00775270,0.00063241,0.04009300,0.01741534,0.00613774,0.01428275
-5.49574787,0.08339097,0.00976563,0.00077104,0.04970430,0.02106695,0.00737358,0.01772819
-5.48974487,0.10132055,0.01221956,0.00093430,0.06124837,0.02533015,0.00880231,0.02187003
-5.48374187,0.12237302,0.01518672,0.00112513,0.07501267,0.03027189,0.01044147,0.02681284
-5.47773887,0.14691863,0.01874562,0.00134655,0.09130495,0.03595931,0.01230773,0.03266863
-5.47173587,0.17533506,0.02298023,0.00160152,0.11044920,0.04245805,0.01441623,0.03955538
-5.46573287,0.20799903,0.02797873,0.00189290,0.13278023,0.04983028,0.01677994,0.04759505
-5.45972986,0.24527633,0.03383190,0.00222333,0.15863686,0.05813256,0.01940893,0.05691112
-5.45372686,0.28751028,0.04063110,0.00259509,0.18835361,0.06741342,0.02230968,0.06762549
-5.44772386,0.33500907,0.04846584,0.00301002,0.22225109,0.07771091,0.02548433,0.07985497
-5.44172086,0.38803185,0.05742099,0.00346934,0.26062511,0.08904997,0.02893003,0.09370721
-5.43571786,0.44677436,0.06757369,0.00397355,0.30373485,0.10143984,0.03263833,0.10927634
-5.42971486,0.51135419,0.07899004,0.00452228,0.35179033,0.11487165,0.03659462,0.12663826
-5.42371186,0.58179644,0.09172162,0.00511417,0.40493967,0.12931610,0.04077780,0.14584592
-5.41770885,0.65802040,0.10580207,0.00574679,0.46325650,0.14472155,0.04516004,0.16692456
-5.41170585,0.73982772,0.12124381,0.00641651,0.52672822,0.16101256,0.04970674,0.18986730
-5.40570285,0.82689297,0.13803502,0.00711850,0.59524554,0.17808887,0.05437675,0.21463121
-5.39969985,0.91875710,0.15613714,0.00784668,0.66859401,0.19582519,0.05912277,0.24113408
-5.39369685,1.01482444,0.17548302,0.00859375,0.74644797,0.21407157,0.06389201,0.26925206
-5.38769385,1.11436381,0.19597571,0.00935130,0.82836750,0.23265469,0.06862707,0.29881855
-5.38169085,1.21651397,0.21748830,0.01010986,0.91379874,0.25137990,0.07326710,0.32962420
-5.37568784,1.32029372,0.23986455,0.01085913,1.00207788,0.27003412,0.07774906,0.36141839
-5.36968484,1.42461667,0.26292067,0.01158816,1.09243882,0.28838959,0.08200923,0.39391215
-5.36368184,1.52831029,0.28644793,0.01228563,1.18402467,0.30620826,0.08598479,0.42678246
-5.35767884,1.63013902,0.31021637,0.01294008,1.27590257,0.32324690,0.08961547,0.45967788
-5.35167584,1.72883069,0.33397916,0.01354030,1.36708168,0.33926260,0.09284522,0.49222546
-5.34567284,1.82310537,0.35747776,0.01407559,1.45653360,0.35401867,0.09562375,0.52403858
-5.33966983,1.91170572,0.38044748,0.01453610,1.54321449,0.36729058,0.09790804,0.55472546
-5.33366683,1.99342773,0.40262332,0.01491316,1.62608825,0.37887183,0.09966358,0.58389821
-5.32766383,2.06715058,0.42374587,0.01519951,1.70414966,0.38857948,0.10086538,0.61118183
-5.32166083,2.13186463,0.44356696,0.01538961,1.77644679,0.39625919,0.10149869,0.63622298
-5.31565783,2.18669631,0.46185493,0.01547978,1.84210172,0.40178943,0.10155938,0.65869822
-5.30965483,2.23092901,0.47839926,0.01546832,1.90032890,0.40508492,0.10105402,0.67832124
-5.30365183,2.26401914,0.49301448,0.01535564,1.95045055,0.40609889,0.09999950,0.69484899
-5.29764882,2.28560700,0.50554315,0.01514417,1.99190853,0.40482429,0.09842244,0.70808653
-5.29164582,2.29552183,0.51585800,0.01483833,2.02427261,0.40129378,0.09635817,0.71789024
-5.28564282,2.29378137,0.52386308,0.01444438,2.04724499,0.39557858,0.09384955,0.72416966
-5.27963982,2.28058591,0.52949408,0.01397022,2.06066110,0.38778613,0.09094553,0.72688778
-5.27363682,2.25630743,0.53271781,0.01342512,2.06448713,0.37805682,0.08769953,0.72605986
-5.26763382,2.22147447,0.53353108,0.01281946,2.05881461,0.36655980,0.08416783,0.72175104
-5.26163082,2.17675357,0.53195903,0.01216440,2.04385257,0.35348810,0.08040792,0.71407288
-5.25562781,2.12292820,0.52805302,0.01147156,2.01991783,0.33905327,0.07647689,0.70317899
-5.24962481,2.06087612,0.52188843,0.01075271,1.98742408,0.32347973,0.07243000,0.68926009
-5.24362181,1.99154629,0.51356221,0.01001948,1.94687012,0.30699912,0.06831944,0.67253864
-5.23761881,1.91593593,0.50319052,0.00928306,1.89882795,0.28984472,0.06419322,0.65326336
-5.23161581,1.83506878,0.49090643,0.00855403,1.84393091,0.27224626,0.06009446,0.63170366
-5.22561281,1.74997501,0.47685773,0.00784212,1.78286224,0.25442522,0.05606078,0.60814436
-5.21960980,1.66167334,0.46120486,0.00715610,1.71634422,0.23659072,0.05212410,0.58288061
-5.21360680,1.57115557,0.44411898,0.00650371,1.64512791,0.21893618,0.04831056,0.55621320
-5.20760380,1.47937371,0.42578007,0.00589159,1.56998360,0.20163669,0.04464071,0.52844428
-5.20160080,1.38722969,0.40637509,0.00532534,1.49169172,0.18484719,0.04112987,0.49987345
