energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-1.91795898,2.23550085,0.00746821,0.36769600,0.11123606,0.01892145,1.44455055,0.83324461,0.53184601
-1.91195598,2.10090362,0.00684214,0.34371622,0.10251377,0.01752202,1.35722563,0.78792360,0.50329698
-1.90595298,1.97251501,0.00624677,0.32035460,0.09417641,0.01618807,1.27361456,0.74372229,0.47709282
-1.89994997,1.85128868,0.00568677,0.29779002,0.08627056,0.01492777,1.19437023,0.70096904,0.45345323
-1.89394697,1.73801774,0.00516598,0.27617005,0.07883486,0.01374802,1.12005421,0.65995625,0.43254903
-1.88794397,1.63333995,0.00468744,0.25561221,0.07190035,0.01265454,1.05113641,0.62094006,0.41450428
-1.88194097,1.53774791,0.00425346,0.23620635,0.06549093,0.01165204,0.98799746,0.58414134,0.39939988
-1.87593797,1.45160317,0.00386570,0.21801786,0.05962411,0.01074439,0.93093333,0.54974757,0.38727850
-1.86993497,1.37515293,0.00352532,0.20109131,0.05431193,0.00993479,0.88016135,0.51791531,0.37815044
-1.86393197,1.30854803,0.00323306,0.18545445,0.04956191,0.00922593,0.83582740,0.48877314,0.37199994
-1.85792896,1.25186107,0.00298940,0.17112214,0.04537809,0.00862015,0.79801338,0.46242471,0.36879166
-1.85192596,1.20510353,0.00279466,0.15810009,0.04176199,0.00811955,0.76674468,0.43895171,0.36847684
-1.84592296,1.16824086,0.00264916,0.14638823,0.03871352,0.00772611,0.74199711,0.41841656,0.37099887
-1.83991996,1.14120485,0.00255330,0.13598342,0.03623168,0.00744167,0.72370303,0.40086467,0.37629790
-1.83391696,1.12390259,0.00250764,0.12688160,0.03431516,0.00726798,0.71175637,0.38632614,0.38431424
-1.82791396,1.11622169,0.00251301,0.11907917,0.03296262,0.00720663,0.70601642,0.37481676,0.39499037
-1.82191096,1.11803160,0.00257048,0.11257359,0.03217286,0.00725892,0.70631026,0.36633840,0.40827135
-1.81590795,1.12918102,0.00268143,0.10736339,0.03194463,0.00742579,0.71243386,0.36087860,0.42410373
-1.80990495,1.14949172,0.00284749,0.10344736,0.03227627,0.00770754,0.72415196,0.35840952,0.44243280
-1.80390195,1.17874919,0.00307049,0.10082333,0.03316515,0.00810371,0.74119680,0.35888626,0.46319846
-1.79789895,1.21669075,0.00335239,0.09948641,0.03460688,0.00861280,0.76326595,0.36224465,0.48632986
-1.79189595,1.26299188,0.00369515,0.09942698,0.03659444,0.00923204,0.79001954,0.36839872,0.51173904
-1.78589295,1.31725182,0.00410062,0.10062845,0.03911718,0.00995717,0.82107718,0.37723790,0.53931412
-1.77988994,1.37897938,0.00457037,0.10306508,0.04215983,0.01078225,0.85601495,0.38862426,0.56891229
-1.77388694,1.44758011,0.00510552,0.10669987,0.04570157,0.01169947,0.89436295,0.40239000,0.60035318
-1.76788394,1.52234595,0.00570664,0.11148280,0.04971520,0.01269908,0.93560373,0.41833536,0.63341314
-1.76188094,1.60244851,0.00637352,0.11734945,0.05416651,0.01376930,0.97917209,0.43622731,0.66782082
-1.75587794,1.68693685,0.00710510,0.12422025,0.05901392,0.01489640,1.02445669,0.45579917,0.70325472
-1.74987494,1.77474070,0.00789934,0.13200023,0.06420838,0.01606482,1.07080374,0.47675137,0.73934285
-1.74387194,1.86467963,0.00875312,0.14057968,0.06969368,0.01725736,1.11752314,0.49875363,0.77566503
-1.73786893,1.95547857,0.00966226,0.14983540,0.07540706,0.01845551,1.16389712,0.52144846,0.81175789
-1.73186593,2.04578951,0.01062147,0.15963284,0.08128027,0.01963984,1.20919147,0.54445625,0.84712261
-1.72586293,2.13421918,0.01162447,0.16982886,0.08724087,0.02079045,1.25266920,0.56738175,0.88123530
-1.71985993,2.21936173,0.01266405,0.18027520,0.09321396,0.02188750,1.29360631,0.58982188,0.91355976
-1.71385693,2.29983542,0.01373223,0.19082245,0.09912399,0.02291178,1.33130916,0.61137464,0.94356199
-1.70785393,2.37432189,0.01482046,0.20132437,0.10489688,0.02384524,1.36513293,0.63164872,0.97072613
-1.70185093,2.44160612,0.01591985,0.21164239,0.11046209,0.02467161,1.39450016,0.65027366,0.99457085
-1.69584792,2.50061537,0.01702133,0.22165010,0.11575462,0.02537688,1.41891882,0.66690983,1.01466557
-1.68984492,2.55045502,0.01811597,0.23123742,0.12071695,0.02594979,1.43799862,0.68125804,1.03064563
-1.68384192,2.59043943,0.01919516,0.24031429,0.12530055,0.02638218,1.45146504,0.69306806,1.04222566
-1.67783892,2.62011608,0.02025081,0.24881367,0.12946714,0.02666928,1.45916985,0.70214582,1.04921032
-1.67183592,2.63928144,0.02127552,0.25669362,0.13318943,0.02680986,1.46109770,0.70835875,1.05150195
-1.66583292,2.64798758,0.02226271,0.26393833,0.13645137,0.02680621,1.45736809,0.71163896,1.04910453
-1.65982991,2.64653889,0.02320666,0.27055794,0.13924791,0.02666405,1.44823232,0.71198420,1.04212378
-1.65382691,2.63547868,0.02410251,0.27658727,0.14158420,0.02639229,1.43406562,0.70945620,1.03076333
-1.64782391,2.61556637,0.02494624,0.28208330,0.14347435,0.02600262,1.41535426,0.70417683,1.01531706
-1.64182091,2.58774604,0.02573453,0.28712153,0.14493977,0.02550909,1.39267853,0.69632188,0.99615815
-1.63581791,2.55310791,0.02646464,0.29179157,0.14600728,0.02492752,1.36669199,0.68611303,0.97372515
