energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-4.80540270,8.47932162,0.07717073,0.55227821,0.45302327,2.54928029,5.70507965,3.20012827,0.00000000
-4.79939970,8.36980227,0.07374447,0.52615397,0.43642134,2.50199731,5.66377858,3.18058101,0.00000000
-4.79339670,8.23868535,0.07015165,0.49882489,0.41848655,2.44638773,5.60743230,3.15207742,0.00000000
-4.78739370,8.08616772,0.06644864,0.47054809,0.39944880,2.38302737,5.53573364,3.11444962,0.00000000
-4.78139070,7.91280162,0.06269201,0.44160280,0.37955713,2.31262552,5.44861296,3.06767807,0.00000000
-4.77538769,7.71948119,0.05893739,0.41228113,0.35907258,2.23600319,5.34624423,3.01189191,0.00000000
-4.76938469,7.50742584,0.05523838,0.38287893,0.33826109,2.15407057,5.22904839,2.94736835,0.00000000
-4.76338169,7.27816098,0.05164556,0.35368707,0.31738640,2.06780435,5.09769361,2.87453089,0.00000000
-4.75737869,7.03349602,0.04820554,0.32498354,0.29670352,1.97822584,4.95309198,2.79394639,0.00000000
-4.75137569,6.77549970,0.04496025,0.29702670,0.27645273,1.88638020,4.79639197,2.70632036,0.00000000
-4.74537269,6.50647232,0.04194621,0.27004980,0.25685432,1.79331734,4.62896624,2.61249035,0.00000000
-4.73936968,6.22891464,0.03919404,0.24425707,0.23810430,1.70007466,4.45239420,2.51341705,0.00000000
-4.73336668,5.94549338,0.03672807,0.21982121,0.22037094,1.60766183,4.26843923,2.41017294,0.00000000
-4.72736368,5.65900313,0.03456610,0.19688255,0.20379237,1.51704756,4.07902062,2.30392830,0.00000000
-4.72136068,5.37232528,0.03271923,0.17554949,0.18847508,1.42914843,3.88618063,2.19593471,0.00000000
-4.71535768,5.08838436,0.03119197,0.15590030,0.17449339,1.34481964,3.69204751,2.08750643,0.00000000
-4.70935468,4.81010312,0.02998232,0.13798593,0.16188971,1.26484758,3.49879555,1.97999984,0.00000000
-4.70335168,4.54035740,0.02908207,0.12183376,0.15067562,1.18994424,3.30860368,1.87479183,0.00000000
-4.69734867,4.28193251,0.02847720,0.10745189,0.14083361,1.12074316,3.12361409,1.77325765,0.00000000
-4.69134567,4.03748265,0.02814840,0.09483382,0.13231940,1.05779705,2.94589278,1.67674901,0.00000000
-4.68534267,3.80949498,0.02807170,0.08396329,0.12506481,1.00157675,2.77739348,1.58657329,0.00000000
-4.67933967,3.60025982,0.02821919,0.07481897,0.11898091,0.95247168,2.61992666,1.50397444,0.00000000
-4.67333667,3.41184784,0.02855981,0.06737889,0.11396158,0.91079142,2.47513464,1.43011616,0.00000000
-4.66733367,3.24609506,0.02906027,0.06162439,0.10988724,0.87676833,2.34447381,1.36606772,0.00000000
-4.66133067,3.10459565,0.02968595,0.05754340,0.10662866,0.85056110,2.22920419,1.31279263,0.00000000
-4.65532766,2.98870195,0.03040191,0.05513300,0.10405084,0.83225879,2.13038622,1.27114006,0.00000000
-4.64932466,2.89953087,0.03117379,0.05440106,0.10201685,0.82188522,2.04888431,1.24183874,0.00000000
-4.64332166,2.83797498,0.03196882,0.05536701,0.10039145,0.81940332,1.98537582,1.22549298,0.00000000
-4.63731866,2.80471645,0.03275665,0.05806154,0.09904453,0.82471916,1.94036438,1.22258016,0.00000000
-4.63131566,2.80024168,0.03351017,0.06252541,0.09785426,0.83768536,1.91419550,1.23344901,0.00000000
-4.62531266,2.82485445,0.03420617,0.06880716,0.09670975,0.85810354,1.90707297,1.25831812,0.00000000
-4.61930965,2.87868545,0.03482587,0.07696004,0.09551334,0.88572583,1.91907403,1.29727405,0.00000000
-4.61330665,2.96169648,0.03535525,0.08703793,0.09418237,0.92025514,1.95016166,1.35026860,0.00000000
-4.60730365,3.07367797,0.03578526,0.09909072,0.09265031,0.96134433,2.00019272,1.41711487,0.00000000
-4.60130065,3.21423911,0.03611174,0.11315898,0.09086743,1.00859453,2.06892074,1.49748227,0.00000000
-4.59529765,3.38279062,0.03633523,0.12926843,0.08880079,1.06155262,2.15599296,1.59089047,0.00000000
-4.58929465,3.57852084,0.03646056,0.14742414,0.08643375,1.11970865,2.26094141,1.69670291,0.00000000
-4.58329165,3.80036654,0.03649627,0.16760504,0.08376496,1.18249328,2.38316874,1.81412042,0.00000000
-4.57728864,4.04698064,0.03645390,0.18975867,0.08080680,1.24927611,2.52192957,1.94217590,0.00000000
-4.57128564,4.31669923,0.03634721,0.21379682,0.07758363,1.31936522,2.67630892,2.07973097,0.00000000
-4.56528264,4.60751120,0.03619132,0.23959202,0.07412958,1.39200862,2.84519952,2.22547563,0.00000000
-4.55927964,4.91703323,0.03600178,0.26697535,0.07048629,1.46639792,3.02728006,2.37793187,0.00000000
-4.55327664,5.24249357,0.03579380,0.29573565,0.06670053,1.54167466,3.22099648,2.53546218,0.00000000
-4.54727364,5.58072727,0.03558141,0.32562038,0.06282186,1.61693943,3.42454859,2.69628342,0.00000000
-4.54127064,5.92818527,0.03537681,0.35633819,0.05890044,1.69126381,3.63588387,2.85848669,0.00000000
-4.53526763,6.28095905,0.03518984,0.38756315,0.05498499,1.76370489,3.85270025,3.02006298,0.00000000
-4.52926463,6.63482178,0.03502758,0.41894060,0.05112116,1.83332213,4.07245916,3.17893449,0.00000000
-4.52326163,6.98528596,0.03489414,0.45009451,0.04735003,1.89919579,4.29240951,3.33299092,0.00000000
-4.51725863,7.32767658,0.03479062,0.48063600,0.04370722,1.96044645,4.50962292,3.48012972,0.00000000
-4.51125563,7.65721800,0.03471520,0.51017268,0.04022211,2.01625465,4.72103971,3.61829895,0.00000000
