energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.33366683,4.80968098,0.02488281,0.43895498,1.18062976,2.12971675,0.79492333,0.39501822,0.04352536,1.89654888
-5.32766383,4.93544962,0.02495916,0.45349563,1.21180816,2.19164751,0.82198918,0.40537883,0.04515901,1.93963518
-5.32166083,5.05846254,0.02510044,0.46837078,1.24173598,2.25250051,0.84916899,0.41533114,0.04702453,1.98046456
-5.31565783,5.17854319,0.02531488,0.48356957,1.27021511,2.31230968,0.87629408,0.42482239,0.04911772,2.01888047
-5.30965483,5.29562518,0.02560927,0.49908252,1.29708130,2.37115421,0.90319699,0.43381204,0.05143195,2.05478649
-5.30365183,5.40973643,0.02598872,0.51490029,1.32220623,2.42914763,0.92971336,0.44227206,0.05395783,2.08814258
-5.29764882,5.52097712,0.02645650,0.53101206,1.34549783,2.48642459,0.95568325,0.45018656,0.05668296,2.11895850
-5.29164582,5.62949228,0.02701378,0.54740349,1.36689898,2.54312556,0.98095183,0.45755095,0.05959160,2.14728469
-5.28564282,5.73544066,0.02765950,0.56405457,1.38638447,2.59938065,1.00536941,0.46437036,0.06266438,2.17320112
-5.27963982,5.83896153,0.02839025,0.58093734,1.40395667,2.65529303,1.02879098,0.47065779,0.06587811,2.19680474
-5.27363682,5.94014154,0.02920019,0.59801369,1.41964004,2.71092326,1.05107526,0.47643176,0.06920557,2.21819639
-5.26763382,6.03898375,0.03008110,0.61523353,1.43347502,2.76627520,1.07208353,0.48171375,0.07261556,2.23746772
-5.26163082,6.13538099,0.03102235,0.63253326,1.44551161,2.82128467,1.09167833,0.48652570,0.07607297,2.25468925
-5.25562781,6.22909542,0.03201115,0.64983500,1.45580319,2.87581145,1.10972238,0.49088752,0.07953908,2.26990018
-5.24962481,6.31974620,0.03303267,0.66704647,1.46440097,2.92963556,1.12607784,0.49481495,0.08297206,2.28310065
-5.24362181,6.40680633,0.03407041,0.68406177,1.47134956,2.98245796,1.14060615,0.49831788,0.08632763,2.29424713
-5.23761881,6.48960957,0.03510652,0.70076307,1.47668389,3.03390623,1.15316866,0.50139928,0.08955991,2.30325130
-5.23161581,6.56736768,0.03612224,0.71702322,1.48042780,3.08354499,1.16362813,0.50405478,0.09262243,2.30998248
-5.22561281,6.63919748,0.03709841,0.73270927,1.48259438,3.13089084,1.17185121,0.50627301,0.09546931,2.31427386
-5.21960980,6.70415699,0.03801595,0.74768665,1.48318816,3.17543136,1.17771184,0.50803668,0.09805645,2.31593197
-5.21360680,6.76128883,0.03885645,0.76182412,1.48220889,3.21664734,1.18109566,0.50932436,0.10034288,2.31474920
-5.20760380,6.80966917,0.03960271,0.77499900,1.47965683,3.25403722,1.18190500,0.51011280,0.10229201,2.31051856
-5.20160080,6.84845973,0.04023924,0.78710266,1.47553907,3.28714286,1.18006450,0.51037974,0.10387285,2.30304994
-5.19559780,6.87696018,0.04075277,0.79804591,1.46987657,3.31557518,1.17552699,0.51010695,0.10506107,2.29218700
-5.18959480,6.89465845,0.04113267,0.80776403,1.46271140,3.33903871,1.16827927,0.50928340,0.10583994,2.27782372
-5.18359180,6.90127602,0.04137131,0.81622126,1.45411373,3.35735357,1.15834748,0.50790820,0.10620096,2.25991962
-5.17758879,6.89680608,0.04146428,0.82341442,1.44418796,3.37047411,1.14580186,0.50599326,0.10614433,2.23851288
-5.17158579,6.88154208,0.04141053,0.82937546,1.43307772,3.37850291,1.13076027,0.50356540,0.10567901,2.21373050
-5.16558279,6.85609531,0.04121244,0.83417291,1.42096928,3.38169962,1.11339062,0.50066778,0.10482254,2.18579490
-5.15957979,6.82140020,0.04087567,0.83791195,1.40809300,3.38048395,1.09391157,0.49736050,0.10360059,2.15502656
-5.15357679,6.77870673,0.04040902,0.84073314,1.39472289,3.37543252,1.07259166,0.49372042,0.10204618,2.12184247
-5.14757379,6.72956017,0.03982408,0.84280990,1.38117387,3.36726963,1.04974666,0.48983998,0.10019863,2.08675031
-5.14157079,6.67576849,0.03913484,0.84434457,1.36779718,3.35685195,1.02573519,0.48582528,0.09810237,2.05033871
-5.13556778,6.61935893,0.03835723,0.84556348,1.35497376,3.34514788,1.00095271,0.48179338,0.09580554,2.01326379
