energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-1.86993497,1.04750859,0.02623263,0.05237136,0.24906277,0.74066762,0.00000000,0.46698827,0.27012618
-1.86393197,0.98039361,0.02462949,0.04730780,0.23282080,0.69430874,0.00000000,0.43214485,0.25369951
-1.85792896,0.91542503,0.02311930,0.04263561,0.21681595,0.64961813,0.00000000,0.39950705,0.23745740
-1.85192596,0.85320004,0.02171486,0.03836024,0.20116036,0.60705695,0.00000000,0.36926659,0.22154811
-1.84592296,0.79428178,0.02042791,0.03448441,0.18596090,0.56705761,0.00000000,0.34159047,0.20611737
-1.83991996,0.73919218,0.01926891,0.03100930,0.17131796,0.53001670,0.00000000,0.31662182,0.19130626
-1.83391696,0.68840515,0.01824695,0.02793587,0.15732430,0.49628822,0.00000000,0.29448057,0.17724915
-1.82791396,0.64234035,0.01736949,0.02526604,0.14406380,0.46617733,0.00000000,0.27526415,0.16407185
-1.82191096,0.60135795,0.01664216,0.02300397,0.13161041,0.43993492,0.00000000,0.25904809,0.15188999
-1.81590795,0.56575462,0.01606852,0.02115730,0.12002714,0.41775312,0.00000000,0.24588684,0.14080784
-1.80990495,0.53576107,0.01564981,0.01973838,0.10936538,0.39976206,0.00000000,0.23581475,0.13091755
-1.80390195,0.51154139,0.01538477,0.01876547,0.09966447,0.38602808,0.00000000,0.22884747,0.12229888
-1.79789895,0.49319440,0.01526948,0.01826395,0.09095157,0.37655353,0.00000000,0.22498385,0.11501958
-1.79189595,0.48075706,0.01529725,0.01826749,0.08324201,0.37127832,0.00000000,0.22420841,0.10913611
-1.78589295,0.47421001,0.01545859,0.01881913,0.07653984,0.37008319,0.00000000,0.22649452,0.10469510
-1.77988994,0.47348509,0.01574128,0.01997233,0.07083885,0.37279488,0.00000000,0.23180816,0.10173504
-1.77388694,0.47847469,0.01613051,0.02179178,0.06612380,0.37919289,0.00000000,0.24011236,0.10028843
-1.76788394,0.48904253,0.01660911,0.02435416,0.06237195,0.38901793,0.00000000,0.25137209,0.10038413
-1.76188094,0.50503547,0.01715793,0.02774851,0.05955474,0.40198152,0.00000000,0.26555943,0.10204979
-1.75587794,0.52629584,0.01775620,0.03207629,0.05763946,0.41777672,0.00000000,0.28265879,0.10531414
-1.74987494,0.55267353,0.01838208,0.03745112,0.05659108,0.43608934,0.00000000,0.30267185,0.11020906
-1.74387194,0.58403741,0.01901320,0.04399789,0.05637381,0.45660931,0.00000000,0.32562189,0.11677127
-1.73786893,0.62028505,0.01962724,0.05185141,0.05695252,0.47904165,0.00000000,0.35155702,0.12504334
-1.73186593,0.66135038,0.02020257,0.06115438,0.05829394,0.50311652,0.00000000,0.38055211,0.13507402
-1.72586293,0.70720840,0.02071886,0.07205477,0.06036744,0.52859782,0.00000000,0.41270892,0.14691775
-1.71985993,0.75787660,0.02115765,0.08470242,0.06314545,0.55528986,0.00000000,0.44815424,0.16063323
-1.71385693,0.81341263,0.02150286,0.09924516,0.06660343,0.58304175,0.00000000,0.48703573,0.17628105
-1.70785393,0.87390805,0.02174124,0.11582418,0.07071949,0.61174913,0.00000000,0.52951555,0.19392050
-1.70185093,0.93947825,0.02186276,0.13456907,0.07547349,0.64135305,0.00000000,0.57576155,0.21360548
-1.69584792,1.01024883,0.02186076,0.15559243,0.08084588,0.67183618,0.00000000,0.62593660,0.23537990
-1.68984492,1.08633893,0.02173215,0.17898439,0.08681616,0.70321631,0.00000000,0.68018604,0.25927249
-1.68384192,1.16784243,0.02147731,0.20480724,0.09336117,0.73553748,0.00000000,0.73862400,0.28529165
-1.67783892,1.25480787,0.02110001,0.23309027,0.10045328,0.76885949,0.00000000,0.80131921,0.31342021
-1.67183592,1.34721834,0.02060713,0.26382535,0.10805861,0.80324606,0.00000000,0.86828090,0.34361088
-1.66583292,1.44497269,0.02000830,0.29696319,0.11613532,0.83875272,0.00000000,0.93944579,0.37578230
-1.65982991,1.54786907,0.01931546,0.33241077,0.12463225,0.87541500,0.00000000,1.01466684,0.40981630
-1.65382691,1.65559232,0.01854232,0.37003002,0.13348789,0.91323785,0.00000000,1.09370462,0.44555645
-1.64782391,1.76770608,0.01770388,0.40963790,0.14262983,0.95218705,0.00000000,1.17622188,0.48280817
-1.64182091,1.88365034,0.01681578,0.45100799,0.15197480,0.99218319,0.00000000,1.26178203,0.52134055
-1.63581791,2.00274520,0.01589385,0.49387354,0.16142921,1.03309872,0.00000000,1.34985157,0.56088981
-1.62981491,2.12420057,0.01495350,0.53793199,0.17089040,1.07475852,0.00000000,1.43980682,0.60116434
-1.62381191,2.24713181,0.01400933,0.58285067,0.18024839,1.11694368,0.00000000,1.53094467,0.64185122
-1.61780890,2.37058048,0.01307471,0.62827358,0.18938816,1.15939873,0.00000000,1.62249690,0.68262375
-1.61180590,2.49353918,0.01216148,0.67382872,0.19819238,1.20184147,0.00000000,1.71364753,0.72314974
-1.60580290,2.61497903,0.01127972,0.71913593,0.20654438,1.24397503,0.00000000,1.80355230,0.76310012
-1.59979990,2.73387833,0.01043761,0.76381453,0.21433132,1.28550113,0.00000000,1.89135929,0.80215725
-1.59379690,2.84925064,0.00964144,0.80749063,0.22144728,1.32613367,0.00000000,1.97622973,0.84002259
-1.58779390,2.96017058,0.00889556,0.84980369,0.22779631,1.36561164,0.00000000,2.05735782,0.87642328
-1.58179090,3.06579591,0.00820254,0.89041199,0.23329500,1.40371024,0.00000000,2.13398869,0.91111711
-1.57578789,3.16538446,0.00756334,0.92899691,0.23787474,1.44024948,0.00000000,2.20543366,0.94389581
-1.56978489,3.25830520,0.00697745,0.96526589,0.24148336,1.47509947,0.00000000,2.27108216,0.97458629
-1.56378189,3.34404278,0.00644318,0.99895404,0.24408618,1.50818188,0.00000000,2.33040990,1.00304998
-1.55777889,3.42219560,0.00595786,1.02982455,0.24566641,1.53946739,0.00000000,2.38298329,1.02918032
-1.55177589,3.49246798,0.00551812,1.05766806,0.24622489,1.56896928,0.00000000,2.42846020,1.05289862
-1.54577289,3.55465707,0.00512010,1.08230136,0.24577923,1.59673341,0.00000000,2.46658735,1.07414879
-1.53976988,3.60863610,0.00475967,1.10356566,0.24436249,1.62282536,0.00000000,2.49719523,1.09289122
-1.53376688,3.65433525,0.00443263,1.12132479,0.24202139,1.64731564,0.00000000,2.52019091,1.10909656
-1.52776388,3.69172194,0.00413483,1.13546378,0.23881425,1.67026387,0.00000000,2.53554989,1.12273974
-1.52176088,3.72078225,0.00386238,1.14588791,0.23480878,1.69170333,0.00000000,2.54330757,1.13379479
-1.51575788,3.74150497,0.00361164,1.15252271,0.23007984,1.71162682,0.00000000,2.54355116,1.14223104
-1.50975488,3.75386965,0.00337938,1.15531472,0.22470727,1.72997506,0.00000000,2.53641273,1.14801077
-1.50375188,3.75783962,0.00316276,1.15423335,0.21877396,1.74662856,0.00000000,2.52206363,1.15108883
-1.49774887,3.75336045,0.00295936,1.14927347,0.21236408,1.76140362,0.00000000,2.50071068,1.15141400
-1.49174587,3.74036405,0.00276719,1.14045864,0.20556169,1.77405287,0.00000000,2.47259406,1.14893226
-1.48574287,3.71877796,0.00258465,1.12784471,0.19844961,1.78427068,0.00000000,2.43798676,1.14359154
-1.47973987,3.68853899,0.00241050,1.11152336,0.19110864,1.79170291,0.00000000,2.39719510,1.13534771
-1.47373687,3.64961017,0.00224381,1.09162520,0.18361695,1.79596087,0.00000000,2.35056010,1.12417132
-1.46773387,3.60199956,0.00208396,1.06832209,0.17604972,1.79663845,0.00000000,2.29845887,1.11005458
-1.46173087,3.54577921,0.00193054,1.04182823,0.16847889,1.79333158,0.00000000,2.24130564,1.09301804
-1.45572786,3.48110307,0.00178334,1.01239987,0.16097295,1.78565883,0.00000000,2.17955185,1.07311638
-1.44972486,3.40822193,0.00164228,0.98033331,0.15359673,1.77328198,0.00000000,2.11368494,1.05044305
-1.44372186,3.32749455,0.00150740,0.94596120,0.14641108,1.75592538,0.00000000,2.04422552,1.02513307
-1.43771886,3.23939374,0.00137880,0.90964718,0.13947247,1.73339287,0.00000000,1.97172277,0.99736405
-1.43171586,3.14450689,0.00125663,0.87177896,0.13283244,1.70558152,0.00000000,1.89674823,0.96735506
-1.42571286,3.04353083,0.00114103,0.83276018,0.12653692,1.67249120,0.00000000,1.81988806,0.93536351
-1.41970985,2.93726103,0.00103216,0.79300141,0.12062540,1.63422974,0.00000000,1.74173426,0.90168010
-1.41370685,2.82657595,0.00093013,0.75291069,0.11513015,1.59101328,0.00000000,1.66287512,0.86662214
-1.40770385,2.71241722,0.00083502,0.71288406,0.11007529,1.54316197,0.00000000,1.58388564,0.83052565
-1.40170085,2.59576688,0.00074686,0.67329661,0.10547602,1.49109132,0.00000000,1.50531822,0.79373663
-1.39569785,2.47762310,0.00066560,0.63449444,0.10133802,1.43529990,0.00000000,1.42769442,0.75660198
-1.38969485,2.35897547,0.00059117,0.59678792,0.09765695,1.37635386,0.00000000,1.35149800,0.71946061
-1.38369185,2.24078157,0.00052340,0.56044660,0.09441836,1.31486950,0.00000000,1.27716978,0.68263521
-1.37768884,2.12394572,0.00046210,0.52569590,0.09159783,1.25149461,0.00000000,1.20510458,0.64642510
-1.37168584,2.00930121,0.00040699,0.49271574,0.08916152,1.18688967,0.00000000,1.13565021,0.61110039
-1.36568284,1.89759670,0.00035776,0.46164117,0.08706710,1.12170974,0.00000000,1.06910872,0.57689795
-1.35967984,1.78948729,0.00031406,0.43256469,0.08526497,1.05658797,0.00000000,1.00573969,0.54401903
-1.35367684,1.68553050,0.00027551,0.40554028,0.08369991,0.99212129,0.00000000,0.94576515,0.51262876
-1.34767384,1.58618707,0.00024170,0.38058875,0.08231285,0.92885886,0.00000000,0.88937609,0.48285739
-1.34167084,1.49182610,0.00021222,0.35770399,0.08104298,0.86729346,0.00000000,0.83673977,0.45480303
-1.33566783,1.40273399,0.00018663,0.33685992,0.07982985,0.80785613,0.00000000,0.78800755,0.42853570
-1.32966483,1.31912620,0.00016452,0.31801754,0.07861548,0.75091371,0.00000000,0.74332269,0.40410225
-1.32366183,1.24116100,0.00014547,0.30113185,0.07734646,0.69676926,0.00000000,0.70282743,0.38153192
-1.31765883,1.16895394,0.00012910,0.28615811,0.07597579,0.64566486,0.00000000,0.66666903,0.36084195
-1.31165583,1.10259216,0.00011504,0.27305723,0.07446442,0.59778630,0.00000000,0.63500420,0.34204303
-1.30565283,1.04214742,0.00010295,0.26179995,0.07278256,0.55326917,0.00000000,0.60800157,0.32514404
-1.29964982,0.98768696,0.00009253,0.25236964,0.07091049,0.51220573,0.00000000,0.58584189,0.31015598
-1.29364682,0.93928160,0.00008350,0.24476356,0.06883896,0.47465207,0.00000000,0.56871574,0.29709465
-1.28764382,0.89701031,0.00007562,0.23899257,0.06656926,0.44063499,0.00000000,0.55681881,0.28598201
-1.28164082,0.86096135,0.00006869,0.23507936,0.06411272,0.41015826,0.00000000,0.55034467,0.27684618
-1.27563782,0.83122957,0.00006255,0.23305524,0.06148988,0.38320783,0.00000000,0.54947530,0.26971994
-1.26963482,0.80791036,0.00005705,0.23295575,0.05872941,0.35975598,0.00000000,0.55436981,0.26463806
-1.26363182,0.79109059,0.00005210,0.23481537,0.05586661,0.33976398,0.00000000,0.56515161,0.26163343
-1.25762881,0.78083708,0.00004760,0.23866152,0.05294180,0.32318365,0.00000000,0.58189483,0.26073235
-1.25162581,0.77718359,0.00004351,0.24450839,0.04999857,0.30995757,0.00000000,0.60461051,0.26194927
-1.24562281,0.78011699,0.00003980,0.25235072,0.04708200,0.30001831,0.00000000,0.63323339,0.26528138
-1.23961981,0.78956365,0.00003648,0.26215818,0.04423690,0.29328681,0.00000000,0.66760997,0.27070320
-1.23361681,0.80537701,0.00003355,0.27387037,0.04150621,0.28967031,0.00000000,0.70748875,0.27816186
