energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
0.43521761,2.51551001,0.07732075,0.06302914,1.85039402,0.69572998,0.04569398,1.59869286,0.17192085,0.00006279
0.44122061,2.58274993,0.07471150,0.06153916,1.90780011,0.70987660,0.04276534,1.67858942,0.17154240,0.00006673
0.44722361,2.65537538,0.07262128,0.06076770,1.96938769,0.72545594,0.03981158,1.75989947,0.17141723,0.00007104
0.45322661,2.73258673,0.07111893,0.06079882,2.03430627,0.74228296,0.03687927,1.84156617,0.17159264,0.00007573
0.45922961,2.81362111,0.07027062,0.06172546,2.10172062,0.76017664,0.03401448,1.92255281,0.17211685,0.00008082
0.46523262,2.89776309,0.07013714,0.06364787,2.17082224,0.77896152,0.03126186,2.00186628,0.17303688,0.00008630
0.47123562,2.98435475,0.07077111,0.06667183,2.24084003,0.79846938,0.02866386,2.07857970,0.17439677,0.00009219
0.47723862,3.07280439,0.07221444,0.07090686,2.31104962,0.81854065,0.02626014,2.15185327,0.17623581,0.00009850
0.48324162,3.16259313,0.07449584,0.07646423,2.38078100,0.83902548,0.02408717,2.22095244,0.17858710,0.00010521
0.48924462,3.25327899,0.07762870,0.08345493,2.44942424,0.85978452,0.02217799,2.28526256,0.18147624,0.00011235
0.49524762,3.34449797,0.08160935,0.09198762,2.51643300,0.88068911,0.02056217,2.34429950,0.18492020,0.00011991
