energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-5.10555278,4.17804240,-4.17804248,0.00266437,-0.00266437,0.63531536,-0.63531539,0.75438855,-0.75438858,1.45139573,-1.45139578,0.02557319,-0.02557320,1.74632995,-1.74632996,0.81634640,-0.81634640,0.57021432,-0.57021432
-5.09954977,4.24060921,-4.24060928,0.00250384,-0.00250384,0.65428912,-0.65428914,0.78014688,-0.78014691,1.48357996,-1.48358000,0.02554597,-0.02554597,1.75835001,-1.75835001,0.82183511,-0.82183511,0.57114244,-0.57114244
-5.09354677,4.29162199,-4.29162204,0.00234231,-0.00234231,0.67236833,-0.67236835,0.80512946,-0.80512949,1.51307449,-1.51307453,0.02541229,-0.02541229,1.76406034,-1.76406034,0.82441217,-0.82441217,0.56995480,-0.56995480
-5.08754377,4.33115836,-4.33115839,0.00218243,-0.00218243,0.68945581,-0.68945583,0.82924891,-0.82924893,1.53970631,-1.53970635,0.02518348,-0.02518348,1.76366846,-1.76366845,0.82419525,-0.82419525,0.56675983,-0.56675983
-5.08154077,4.35949178,-4.35949180,0.00202667,-0.00202667,0.70547268,-0.70547270,0.85243321,-0.85243323,1.56335051,-1.56335054,0.02487373,-0.02487373,1.75748243,-1.75748241,0.82134714,-0.82134714,0.56170273,-0.56170272
-5.07553777,4.37708438,-4.37708440,0.00187734,-0.00187734,0.72036104,-0.72036106,0.87462725,-0.87462728,1.58393593,-1.58393596,0.02449965,-0.02449965,1.74590147,-1.74590145,0.81607123,-0.81607123,0.55496128,-0.55496127
-5.06953477,4.38457610,-4.38457611,0.00173653,-0.00173653,0.73408601,-0.73408603,0.89579414,-0.89579417,1.60144922,-1.60144924,0.02407977,-0.02407977,1.72940515,-1.72940512,0.80860641,-0.80860640,0.54674115,-0.54674114
-5.06353177,4.38277017,-4.38277016,0.00160611,-0.00160611,0.74663683,-0.74663684,0.91591626,-0.91591628,1.61593687,-1.61593688,0.02363407,-0.02363407,1.70854170,-1.70854166,0.79922167,-0.79922166,0.53727063,-0.53727062
-5.05752876,4.37261527,-4.37261525,0.00148769,-0.00148769,0.75802706,-0.75802708,0.93499583,-0.93499585,1.62750501,-1.62750502,0.02318335,-0.02318335,1.68391568,-1.68391564,0.78821051,-0.78821050,0.52679508,-0.52679507
-5.05152576,4.35518447,-4.35518445,0.00138263,-0.00138263,0.76829379,-0.76829380,0.95305502,-0.95305504,1.63631684,-1.63631685,0.02274871,-0.02274871,1.65617536,-1.65617532,0.77588528,-0.77588527,0.51557120,-0.51557119
-5.04552276,4.33165134,-4.33165132,0.00129204,-0.00129204,0.77749569,-0.77749570,0.97013527,-0.97013529,1.64258767,-1.64258767,0.02235095,-0.02235095,1.62599997,-1.62599993,0.76257155,-0.76257154,0.50386130,-0.50386129
-5.03951976,4.30326345,-4.30326341,0.00121679,-0.00121679,0.78571021,-0.78571022,0.98629589,-0.98629591,1.64657772,-1.64657772,0.02201002,-0.02201002,1.59408700,-1.59408696,0.74860251,-0.74860250,0.49192759,-0.49192758
-5.03351676,4.27131374,-4.27131370,0.00115748,-0.00115748,0.79302974,-0.79302975,1.00161179,-1.00161181,1.64858292,-1.64858292,0.02174447,-0.02174447,1.56113966,-1.56113962,0.73431346,-0.73431345,0.48002671,-0.48002670
-5.02751376,4.23711023,-4.23711020,0.00111449,-0.00111449,0.79955713,-0.79955714,1.01617034,-1.01617036,1.64892407,-1.64892407,0.02157097,-0.02157097,1.52785452,-1.52785449,0.72003633,-0.72003632,0.46840449,-0.46840448
-5.02151076,4.20194455,-4.20194452,0.00108792,-0.00108792,0.80540060,-0.80540061,1.03006737,-1.03006739,1.64793489,-1.64793488,0.02150382,-0.02150382,1.49490936,-1.49490933,0.70609431,-0.70609430,0.45729099,-0.45729098
-5.01550775,4.16705990,-4.16705987,0.00107767,-0.00107767,0.81066836,-0.81066836,1.04340245,-1.04340247,1.64594943,-1.64594942,0.02155459,-0.02155459,1.46295119,-1.46295116,0.69279631,-0.69279630,0.44689597,-0.44689596
-5.00950475,4.13361927,-4.13361924,0.00108338,-0.00108338,0.81546318,-0.81546319,1.05627352,-1.05627354,1.64328958,-1.64328957,0.02173175,-0.02173175,1.43258455,-1.43258452,0.68043160,-0.68043159,0.43740468,-0.43740467
-5.00350175,4.10267467,-4.10267464,0.00110446,-0.00110446,0.81987719,-0.81987720,1.06877111,-1.06877113,1.64025306,-1.64025305,0.02204035,-0.02204035,1.40436004,-1.40436002,0.66926424,-0.66926423,0.42897418,-0.42897418
-4.99749875,4.07513823,-4.07513820,0.00114007,-0.00114007,0.82398719,-0.82398719,1.08097248,-1.08097250,1.63710276,-1.63710275,0.02248188,-0.02248188,1.37876324,-1.37876322,0.65952764,-0.65952764,0.42173006,-0.42173005
-4.99149575,4.05175623,-4.05175621,0.00118917,-0.00118917,0.82785069,-0.82785069,1.09293582,-1.09293584,1.63405771,-1.63405770,0.02305403,-0.02305403,1.35620424,-1.35620422,0.65141918,-0.65141918,0.41576373,-0.41576373
-4.98549275,4.03308700,-4.03308698,0.00125047,-0.00125047,0.83150301,-0.83150301,1.10469501,-1.10469503,1.63128640,-1.63128639,0.02375073,-0.02375073,1.33700792,-1.33700791,0.64509506,-0.64509506,0.41113038,-0.41113038
-4.97948974,4.01948370,-4.01948369,0.00132247,-0.00132247,0.83495551,-0.83495551,1.11625519,-1.11625521,1.62890252,-1.62890251,0.02456209,-0.02456209,1.32140552,-1.32140551,0.64066558,-0.64066558,0.40784754,-0.40784754
-4.97348674,4.01108297,-4.01108296,0.00140347,-0.00140347,0.83819517,-0.83819517,1.12758945,-1.12758947,1.62696367,-1.62696366,0.02547459,-0.02547459,1.30952759,-1.30952758,0.63819105,-0.63819106,0.40589443,-0.40589443
-4.96748374,4.00780028,-4.00780028,0.00149157,-0.00149157,0.84118556,-0.84118556,1.13863710,-1.13863712,1.62547285,-1.62547284,0.02647127,-0.02647127,1.30139906,-1.30139906,0.63767865,-0.63767866,0.40521221,-0.40521222
