energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
5.05152576,2.34665025,4.16154298,0.01085668,0.02467120,0.16419627,1.23416233,0.12195737,0.12428994,0.40301535
5.05752876,2.27677607,4.02493488,0.01047892,0.02431134,0.15995298,1.21262459,0.11834259,0.12056270,0.39266783
5.06353177,2.19592479,3.87058091,0.01005909,0.02379093,0.15483867,1.18330977,0.11415610,0.11622546,0.38021063
5.06953477,2.10513227,3.70031206,0.00960166,0.02311973,0.14892952,1.14675826,0.10945150,0.11134055,0.36582212
5.07553777,2.00563508,3.51628341,0.00911188,0.02231058,0.14231717,1.10365367,0.10429281,0.10598074,0.34971913
5.08154077,1.89883294,3.32091049,0.00859566,0.02137894,0.13510587,1.05480015,0.09875252,0.10022707,0.33215014
5.08754377,1.78624584,3.11679678,0.00805938,0.02034240,0.12740918,1.00109621,0.09290937,0.09416634,0.31338747
5.09354677,1.66946789,2.90665573,0.00750969,0.01922006,0.11934650,0.94350631,0.08684598,0.08788852,0.29371885
5.09954977,1.55012011,2.69323120,0.00695334,0.01803199,0.11103951,0.88303145,0.08064638,0.08148414,0.27343874
5.10555278,1.42980433,2.47921990,0.00639696,0.01679859,0.10260864,0.82068015,0.07439361,0.07504186,0.25283980
5.11155578,1.31006028,2.26719938,0.00584690,0.01554005,0.09416987,0.75744110,0.06816748,0.06864615,0.23220492
5.11755878,1.19232743,2.05956449,0.00530903,0.01427580,0.08583180,0.69425848,0.06204256,0.06237534,0.21180007
5.12356178,1.07791326,1.85847451,0.00478868,0.01302408,0.07769320,0.63201089,0.05608651,0.05630008,0.19186823
5.12956478,0.96796858,1.66581287,0.00429045,0.01180159,0.06984116,0.57149455,0.05035877,0.05048212,0.17262466
5.13556778,0.86347078,1.48316005,0.00381817,0.01062317,0.06234973,0.51341117,0.04490963,0.04497360,0.15425345
5.14157079,0.76521488,1.31177992,0.00337491,0.00950167,0.05527918,0.45836062,0.03977979,0.03981676,0.13690562
5.14757379,0.67381217,1.15261904,0.00296286,0.00844786,0.04867581,0.40683823,0.03500018,0.03504404,0.12069847
5.15357679,0.58969582,1.00631765,0.00258346,0.00747044,0.04257232,0.35923650,0.03059226,0.03067855,0.10571622
5.15957979,0.51313246,0.87323084,0.00223739,0.00657612,0.03698850,0.31585063,0.02656859,0.02673485,0.09201180
5.16558279,0.44423871,0.75345800,0.00192465,0.00576985,0.03193246,0.27688717,0.02293363,0.02322001,0.07960945
5.17158579,0.38300130,0.64687833,0.00164464,0.00505497,0.02740198,0.24247515,0.01968477,0.02013473,0.06850810
5.17758879,0.32929961,0.55319029,0.00139624,0.00443354,0.02338615,0.21267878,0.01681350,0.01747469,0.05868516
