energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-3.72486243,0.44818100,0.22975696,0.18514058,0.00023678,0.02763247,0.00003966,0.24925164,0.06611966,0.04688641
-3.71885943,0.42609792,0.21495941,0.17333790,0.00027111,0.02541797,0.00004541,0.23051338,0.06418799,0.04967969
-3.71285643,0.40501835,0.20043899,0.16201330,0.00030818,0.02322833,0.00005161,0.21186638,0.06246664,0.05279262
-3.70685343,0.38526104,0.18639536,0.15130797,0.00034782,0.02108696,0.00005825,0.19354949,0.06098519,0.05622133
-3.70085043,0.36708247,0.17299961,0.14133657,0.00038973,0.01901508,0.00006527,0.17577600,0.05976488,0.05995016
-3.69484742,0.35067118,0.16039123,0.13218591,0.00043357,0.01703115,0.00007260,0.15872963,0.05881736,0.06395102
-3.68884442,0.33614500,0.14867646,0.12391467,0.00047888,0.01515060,0.00008019,0.14256198,0.05814396,0.06818321
-3.68284142,0.32355119,0.13792793,0.11655424,0.00052515,0.01338556,0.00008793,0.12739132,0.05773539,0.07259382
-3.67683842,0.31286943,0.12818565,0.11011057,0.00057176,0.01174490,0.00009573,0.11330260,0.05757201,0.07711856
-3.67083542,0.30401733,0.11945912,0.10456686,0.00061806,0.01023422,0.00010348,0.10034881,0.05762452,0.08168319
-3.66483242,0.29685825,0.11173040,0.09988703,0.00066335,0.00885612,0.00011107,0.08855309,0.05785516,0.08620539
-3.65882941,0.29121099,0.10495807,0.09601971,0.00070687,0.00761042,0.00011836,0.07791177,0.05821922,0.09059708
-3.65282641,0.28686083,0.09908168,0.09290267,0.00074789,0.00649450,0.00012524,0.06839797,0.05866687,0.09476710
-3.64682341,0.28357148,0.09402665,0.09046740,0.00078567,0.00550372,0.00013159,0.05996550,0.05914522,0.09862413
-3.64082041,0.28109742,0.08970927,0.08864376,0.00081951,0.00463178,0.00013731,0.05255293,0.05960049,0.10207973
-3.63481741,0.27919615,0.08604174,0.08736447,0.00084877,0.00387114,0.00014230,0.04608769,0.05998020,0.10505144
-3.62881441,0.27763975,0.08293688,0.08656919,0.00087288,0.00321338,0.00014647,0.04048997,0.06023527,0.10746570
-3.62281141,0.27622546,0.08031263,0.08620834,0.00089139,0.00264961,0.00014979,0.03567626,0.06032203,0.10926056
-3.61680840,0.27478482,0.07809587,0.08624610,0.00090395,0.00217073,0.00015221,0.03156254,0.06020394,0.11038798
-3.61080540,0.27319119,0.07622586,0.08666296,0.00091035,0.00176773,0.00015376,0.02806705,0.05985304,0.11081569
-3.60480240,0.27136524,0.07465694,0.08745742,0.00091050,0.00143196,0.00015446,0.02511246,0.05925108,0.11052848
-3.59879940,0.26927859,0.07336060,0.08864699,0.00090448,0.00115523,0.00015442,0.02262766,0.05839031,0.10952891
-3.59279640,0.26695537,0.07232702,0.09026844,0.00089250,0.00093004,0.00015375,0.02054901,0.05727383,0.10783737
-3.58679340,0.26447187,0.07156597,0.09237734,0.00087488,0.00074964,0.00015264,0.01882111,0.05591572,0.10549154
-3.58079040,0.26195450,0.07110726,0.09504705,0.00085211,0.00060812,0.00015133,0.01739730,0.05434076,0.10254531
-3.57478739,0.25957619,0.07100077,0.09836702,0.00082474,0.00050042,0.00015009,0.01623973,0.05258387,0.09906715
