energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
1.20960480,2.75934548,0.75817137,0.89233087,0.02025681,0.10675402,0.14544356,0.00000000,0.68058970,1.64061370
1.21560780,2.73017129,0.74397994,0.88415060,0.02087011,0.10018746,0.13636002,0.00000000,0.67698322,1.63209942
1.22161081,2.69625449,0.72740984,0.87447270,0.02155016,0.09386995,0.12791603,0.00000000,0.67111675,1.61940922
1.22761381,2.65798964,0.70871479,0.86330000,0.02232131,0.08782184,0.12015892,0.00000000,0.66308821,1.60286764
1.23361681,2.61597437,0.68822550,0.85074299,0.02320943,0.08206113,0.11312387,0.00000000,0.65304540,1.58289875
1.23961981,2.57099194,0.66634224,0.83701501,0.02424089,0.07660417,0.10683486,0.00000000,0.64118229,1.56001313
1.24562281,2.52398736,0.64352505,0.82242443,0.02544149,0.07146620,0.10130589,0.00000000,0.62773366,1.53479170
1.25162581,2.47603813,0.62028213,0.80736405,0.02683527,0.06666175,0.09654203,0.00000000,0.61296873,1.50786725
1.25762881,2.42832060,0.59715660,0.79229832,0.02844335,0.06220486,0.09254064,0.00000000,0.59718370,1.47990421
1.26363182,2.38207334,0.57471236,0.77774870,0.03028265,0.05810905,0.08929245,0.00000000,0.58069371,1.45157765
1.26963482,2.33855871,0.55351924,0.76427764,0.03236481,0.05438720,0.08678252,0.00000000,0.56382444,1.42355202
1.27563782,2.29902401,0.53413815,0.75247171,0.03469509,0.05105119,0.08499118,0.00000000,0.54690371,1.39646068
1.28164082,2.26466345,0.51710648,0.74292422,0.03727149,0.04811154,0.08389473,0.00000000,0.53025328,1.37088687
1.28764382,2.23658210,0.50292429,0.73621784,0.04008409,0.04557680,0.08346611,0.00000000,0.51418112,1.34734658
1.29364682,2.21576265,0.49204144,0.73290753,0.04311453,0.04345309,0.08367536,0.00000000,0.49897437,1.32627413
1.29964982,2.20303601,0.48484618,0.73350405,0.04633593,0.04174351,0.08449002,0.00000000,0.48489313,1.30801068
1.30565283,2.19905626,0.48165517,0.73845852,0.04971295,0.04044764,0.08587531,0.00000000,0.47216509,1.29279587
1.31165583,2.20428034,0.48270527,0.74814806,0.05320236,0.03956112,0.08779429,0.00000000,0.46098124,1.28076301
1.31765883,2.21895309,0.48814707,0.76286297,0.05675374,0.03907532,0.09020786,0.00000000,0.45149254,1.27193752
1.32366183,2.24309750,0.49804044,0.78279548,0.06031068,0.03897717,0.09307473,0.00000000,0.44380758,1.26623872
