energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.75987994,2.15631076,-0.97353703,0.50341496,-0.21312924,0.00000000,-0.00000000,1.06504081,-0.30207756,0.65577362,-0.25326302,0.89092777,-0.43970558,0.00000000,-0.00000000
-5.75387694,2.17864157,-1.00927031,0.52272268,-0.21855556,0.00000000,-0.00000000,1.09474196,-0.32500549,0.65638338,-0.26121432,0.88733652,-0.45995682,0.00000000,-0.00000000
-5.74787394,2.19739025,-1.04595548,0.54134101,-0.22404200,0.00000000,-0.00000000,1.12328389,-0.34947948,0.65586020,-0.26931150,0.88215224,-0.48095982,0.00000000,-0.00000000
-5.74187094,2.21253199,-1.08365058,0.55911117,-0.22971344,0.00000000,-0.00000000,1.15048366,-0.37549182,0.65428139,-0.27761062,0.87550089,-0.50260264,0.00000000,-0.00000000
-5.73586793,2.22403363,-1.12247184,0.57587839,-0.23571675,0.00000000,-0.00000000,1.17615169,-0.40304300,0.65172132,-0.28618357,0.86749872,-0.52478819,0.00000000,-0.00000000
-5.72986493,2.23185968,-1.16258495,0.59149586,-0.24221568,0.00000000,-0.00000000,1.20009720,-0.43213953,0.64825157,-0.29511477,0.85825255,-0.54743440,0.00000000,-0.00000000
-5.72386193,2.23597943,-1.20419349,0.60582840,-0.24938460,0.00000000,-0.00000000,1.22213382,-0.46279083,0.64394131,-0.30449713,0.84786110,-0.57047345,0.00000000,-0.00000000
-5.71785893,2.23637459,-1.24752484,0.61875573,-0.25740156,0.00000000,-0.00000000,1.24208524,-0.49500535,0.63885800,-0.31442713,0.83641705,-0.59385014,0.00000000,-0.00000000
-5.71185593,2.23304664,-1.29281380,0.63017511,-0.26644068,0.00000000,-0.00000000,1.25979044,-0.52878581,0.63306812,-0.32499946,0.82400947,-0.61751932,0.00000000,-0.00000000
-5.70585293,2.22602320,-1.34028482,0.64000319,-0.27666430,0.00000000,-0.00000000,1.27510820,-0.56412381,0.62663776,-0.33630118,0.81072642,-0.64144253,0.00000000,-0.00000000
-5.69984992,2.21536293,-1.39013305,0.64817708,-0.28821503,0.00000000,-0.00000000,1.28792057,-0.60099384,0.61963299,-0.34840580,0.79665730,-0.66558396,0.00000000,-0.00000000
-5.69384692,2.20115839,-1.44250544,0.65465455,-0.30120808,0.00000000,-0.00000000,1.29813532,-0.63934703,0.61211987,-0.36136742,0.78189479,-0.68990580,0.00000000,-0.00000000
-5.68784392,2.18353669,-1.49748224,0.65941337,-0.31572424,0.00000000,-0.00000000,1.30568701,-0.67910485,0.60416397,-0.37521529,0.76653607,-0.71436335,0.00000000,-0.00000000
-5.68184092,2.16265769,-1.55506014,0.66244987,-0.33180367,0.00000000,-0.00000000,1.31053686,-0.72015318,0.59582953,-0.38994898,0.75068323,-0.73890002,0.00000000,-0.00000000
-5.67583792,2.13871001,-1.61513765,0.66377688,-0.34944090,0.00000000,-0.00000000,1.31267133,-0.76233706,0.58717814,-0.40553447,0.73444282,-0.76344256,0.00000000,-0.00000000
-5.66983492,2.11190494,-1.67750364,0.66342118,-0.36858126,0.00000000,-0.00000000,1.31209979,-0.80545649,0.57826718,-0.42190139,0.71792444,-0.78789680,0.00000000,-0.00000000
-5.66383192,2.08246880,-1.74182973,0.66142069,-0.38911896,0.00000000,-0.00000000,1.30885125,-0.84926367,0.56914794,-0.43894156,0.70123856,-0.81214419,0.00000000,-0.00000000
-5.65782891,2.05063414,-1.80766711,0.65782147,-0.41089700,0.00000000,-0.00000000,1.30297054,-0.89346210,0.55986381,-0.45650901,0.68449365,-0.83603939,0.00000000,-0.00000000
-5.65182591,2.01663062,-1.87444827,0.65267497,-0.43370887,0.00000000,-0.00000000,1.29451423,-0.93770758,0.55044844,-0.47442164,0.66779282,-0.85940918,0.00000000,-0.00000000
-5.64582291,1.98067590,-1.94149379,0.64603546,-0.45730234,0.00000000,-0.00000000,1.28354665,-0.98161157,0.54092427,-0.49246440,0.65123026,-0.88205273,0.00000000,-0.00000000
-5.63981991,1.94296749,-2.00802431,0.63795799,-0.48138490,0.00000000,-0.00000000,1.27013614,-1.02474673,0.53130138,-0.51039400,0.63488761,-0.90374360,0.00000000,-0.00000000
-5.63381691,1.90367599,-2.07317738,0.62849693,-0.50563111,0.00000000,-0.00000000,1.25435198,-1.06665485,0.52157701,-0.52794513,0.61883069,-0.92423310,0.00000000,-0.00000000
-5.62781391,1.86294012,-2.13602870,0.61770520,-0.52969131,0.00000000,-0.00000000,1.23626211,-1.10685673,0.51173562,-0.54483775,0.60310674,-0.94325541,0.00000000,-0.00000000
-5.62181091,1.82086418,-2.19561719,0.60563411,-0.55320160,0.00000000,-0.00000000,1.21593187,-1.14486401,0.50174969,-0.56078547,0.58774234,-0.96053384,0.00000000,-0.00000000
-5.61580790,1.77751782,-2.25097284,0.59233402,-0.57579463,0.00000000,-0.00000000,1.19342380,-1.18019234,0.49158134,-0.57550446,0.57274235,-0.97578843,0.00000000,-0.00000000
-5.60980490,1.73293847,-2.30114645,0.57785550,-0.59711092,0.00000000,-0.00000000,1.16879847,-1.21237543,0.48118449,-0.58872271,0.55808981,-0.98874430,0.00000000,-0.00000000
-5.60380190,1.68713615,-2.34523991,0.56225108,-0.61681009,0.00000000,-0.00000000,1.14211647,-1.24097951,0.47050779,-0.60018912,0.54374699,-0.99914060,0.00000000,-0.00000000
-5.59779890,1.64010044,-2.38243595,0.54557730,-0.63458176,0.00000000,-0.00000000,1.11344113,-1.26561750,0.45949795,-0.60968214,0.52965753,-1.00673952,0.00000000,-0.00000000
-5.59179590,1.59180925,-2.41202601,0.52789696,-0.65015548,0.00000000,-0.00000000,1.08284208,-1.28596217,0.44810350,-0.61701751,0.51574960,-1.01133513,0.00000000,-0.00000000
-5.58579290,1.54223891,-2.43343512,0.50928140,-0.66330942,0.00000000,-0.00000000,1.05039914,-1.30175793,0.43627870,-0.62205487,0.50193998,-1.01276155,0.00000000,-0.00000000
