energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-2.66833417,7.92946747,0.06563965,0.22903740,0.52711533,7.63739812,0.26802343,0.00000000
-2.66233117,7.89260243,0.06516590,0.22686984,0.52291554,7.60383394,0.26602243,0.00000000
-2.65632816,7.84585457,0.06446695,0.22409976,0.51836603,7.56078980,0.26400044,0.00000000
-2.65032516,7.79145536,0.06356805,0.22081051,0.51361138,7.51045833,0.26198004,0.00000000
-2.64432216,7.73163507,0.06249754,0.21709467,0.50878764,7.45502954,0.25997572,0.00000000
-2.63831916,7.66854788,0.06128591,0.21305133,0.50401847,7.39661655,0.25799381,0.00000000
-2.63231616,7.60420063,0.05996473,0.20878334,0.49941166,7.33718477,0.25603276,0.00000000
-2.62631316,7.54038884,0.05856563,0.20439434,0.49505644,7.27848831,0.25408360,0.00000000
-2.62031016,7.47864343,0.05711942,0.19998608,0.49102151,7.22201691,0.25213086,0.00000000
-2.61430715,7.42019110,0.05565521,0.19565591,0.48735416,7.16895621,0.25015369,0.00000000
-2.60830415,7.36593036,0.05419974,0.19149462,0.48408048,7.12016346,0.24812746,0.00000000
-2.60230115,7.31642473,0.05277690,0.18758477,0.48120655,7.07616007,0.24602552,0.00000000
-2.59629815,7.27191312,0.05140737,0.18399948,0.47872078,7.03714105,0.24382131,0.00000000
-2.59029515,7.23233674,0.05010856,0.18080169,0.47659715,7.00300092,0.24149056,0.00000000
-2.58429215,7.19738080,0.04889458,0.17804398,0.47479915,6.97337420,0.23901359,0.00000000
-2.57828914,7.16652830,0.04777650,0.17576876,0.47328437,6.94768804,0.23637760,0.00000000
-2.57228614,7.13912237,0.04676260,0.17400886,0.47200918,6.92522373,0.23357863,0.00000000
-2.56628314,7.11443354,0.04585883,0.17278839,0.47093349,6.90518320,0.23062343,0.00000000
-2.56028014,7.09172734,0.04506920,0.17212374,0.47002512,6.88675651,0.22753069,0.00000000
-2.55427714,7.07032827,0.04439622,0.17202466,0.46926356,6.86918613,0.22433193,0.00000000
-2.54827414,7.04967598,0.04384129,0.17249523,0.46864287,6.85182411,0.22107157,0.00000000
-2.54227114,7.02937019,0.04340504,0.17353475,0.46817350,6.83417854,0.21780654,0.00000000
-2.53626813,7.00920155,0.04308754,0.17513831,0.46788291,6.81594672,0.21460506,0.00000000
-2.53026513,6.98916646,0.04288841,0.17729712,0.46781492,6.79703274,0.21154485,0.00000000
-2.52426213,6.96946503,0.04280686,0.17999854,0.46802786,6.77754872,0.20871065,0.00000000
-2.51825913,6.95048221,0.04284158,0.18322573,0.46859151,6.75779959,0.20619130,0.00000000
-2.51225613,6.93275339,0.04299052,0.18695709,0.46958305,6.73825240,0.20407639,0.00000000
-2.50625313,6.91691658,0.04325069,0.19116538,0.47108234,6.71949227,0.20245271,0.00000000
-2.50025013,6.90365424,0.04361780,0.19581682,0.47316657,6.70216774,0.20140053,0.00000000
-2.49424712,6.89362849,0.04408598,0.20087002,0.47590488,6.68692911,0.20099005,0.00000000
-2.48824412,6.88741383,0.04464749,0.20627505,0.47935302,6.67436363,0.20127805,0.00000000
-2.48224112,6.88543175,0.04529244,0.21197269,0.48354851,6.66493188,0.20230498,0.00000000
