energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-2.83041521,1.48011036,1.40175145,0.08283029,0.32079107,0.00000000,0.81538407,0.00000000
-2.82441221,1.48287835,1.41125567,0.08435493,0.32455037,0.00000000,0.80892613,0.00000000
-2.81840920,1.48222947,1.41943420,0.08581035,0.32810430,0.00000000,0.79969110,0.00000000
-2.81240620,1.47849388,1.42638971,0.08721876,0.33148712,0.00000000,0.78776561,0.00000000
-2.80640320,1.47215770,1.43236750,0.08861153,0.33476212,0.00000000,0.77332641,0.00000000
-2.80040020,1.46384725,1.43774780,0.09002827,0.33801930,0.00000000,0.75663434,0.00000000
-2.79439720,1.45430680,1.44303116,0.09151553,0.34137172,0.00000000,0.73802497,0.00000000
-2.78839420,1.44437064,1.44881760,0.09312503,0.34495033,0.00000000,0.71789634,0.00000000
-2.78239120,1.43493065,1.45578031,0.09491155,0.34889771,0.00000000,0.69669436,0.00000000
-2.77638819,1.42690069,1.46463498,0.09693052,0.35336096,0.00000000,0.67489656,0.00000000
-2.77038519,1.42117912,1.47610607,0.09923549,0.35848394,0.00000000,0.65299484,0.00000000
-2.76438219,1.41861110,1.49089135,0.10187534,0.36439928,0.00000000,0.63147791,0.00000000
-2.75837919,1.41995203,1.50962616,0.10489167,0.37122055,0.00000000,0.61081415,0.00000000
-2.75237619,1.42583374,1.53284892,0.10831621,0.37903482,0.00000000,0.59143548,0.00000000
-2.74637319,1.43673460,1.56096930,0.11216846,0.38789607,0.00000000,0.57372291,0.00000000
-2.74037019,1.45295494,1.59424042,0.11645373,0.39781971,0.00000000,0.55799418,0.00000000
-2.73436718,1.47459876,1.63273632,0.12116155,0.40877843,0.00000000,0.54449396,0.00000000
-2.72836418,1.50156241,1.67633569,0.12626472,0.42069975,0.00000000,0.53338695,0.00000000
-2.72236118,1.53353098,1.72471280,0.13171880,0.43346519,0.00000000,0.52475401,0.00000000
-2.71635818,1.56998250,1.77733601,0.13746239,0.44691146,0.00000000,0.51859155,0.00000000
-2.71035518,1.61020003,1.83347437,0.14341797,0.46083333,0.00000000,0.51481395,0.00000000
-2.70435218,1.65329122,1.89221209,0.14949351,0.47498839,0.00000000,0.51325917,0.00000000
-2.69834917,1.69821489,1.95247071,0.15558452,0.48910347,0.00000000,0.51369707,0.00000000
-2.69234617,1.74381363,2.01303833,0.16157689,0.50288248,0.00000000,0.51584033,0.00000000
-2.68634317,1.78885136,2.07260501,0.16735002,0.51601545,0.00000000,0.51935738,0.00000000
-2.68034017,1.83205467,2.12980316,0.17278041,0.52818844,0.00000000,0.52388708,0.00000000
-2.67433717,1.87215623,2.18325174,0.17774544,0.53909404,0.00000000,0.52905445,0.00000000
-2.66833417,1.90793909,2.23160250,0.18212729,0.54844189,0.00000000,0.53448703,0.00000000
-2.66233117,1.93827988,2.27358687,0.18581675,0.55596910,0.00000000,0.53983122,0.00000000
-2.65632816,1.96218966,2.30806159,0.18871689,0.56144996,0.00000000,0.54476791,0.00000000
-2.65032516,1.97885070,2.33405163,0.19074632,0.56470471,0.00000000,0.54902715,0.00000000
-2.64432216,1.98764801,2.35078847,0.19184204,0.56560699,0.00000000,0.55240086,0.00000000
-2.63831916,1.98819419,2.35774248,0.19196163,0.56408968,0.00000000,0.55475356,0.00000000
-2.63231616,1.98034693,2.35464802,0.19108485,0.56014900,0.00000000,0.55603023,0.00000000
-2.62631316,1.96421823,2.34152013,0.18921444,0.55384650,0.00000000,0.55626139,0.00000000
-2.62031016,1.94017513,2.31866203,0.18637616,0.54530912,0.00000000,0.55556475,0.00000000
-2.61430715,1.90883162,2.28666307,0.18261813,0.53472701,0.00000000,0.55414352,0.00000000
-2.60830415,1.87103232,2.24638688,0.17800935,0.52234947,0.00000000,0.55228128,0.00000000
-2.60230115,1.82782797,2.19895002,0.17263761,0.50847878,0.00000000,0.55033337,0.00000000
-2.59629815,1.78044401,2.14569164,0.16660676,0.49346248,0.00000000,0.54871511,0.00000000
-2.59029515,1.73024292,2.08813522,0.16003357,0.47768399,0.00000000,0.54788713,0.00000000
-2.58429215,1.67868174,2.02794343,0.15304418,0.46155218,0.00000000,0.54833814,0.00000000
