energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.85192596,0.58435977,0.53737456,0.01710983,0.03955203,0.02106625,0.21219452,0.18077167,0.02509943,0.12318205
1.85792896,0.56902757,0.52810979,0.01733151,0.03611753,0.02205256,0.20600394,0.17188185,0.02625325,0.11883584
1.86393197,0.55454145,0.51830962,0.01748104,0.03280169,0.02327671,0.19984979,0.16398919,0.02747397,0.11442692
1.86993497,0.54131663,0.50824934,0.01756073,0.02963669,0.02477550,0.19387347,0.15729498,0.02877335,0.11003602
1.87593797,0.52978167,0.49821568,0.01757522,0.02665125,0.02658774,0.18821572,0.15199566,0.03016566,0.10574845
1.88194097,0.52036977,0.48849922,0.01753129,0.02387016,0.02875346,0.18301362,0.14827966,0.03166707,0.10165288
1.88794397,0.51350962,0.47938659,0.01743756,0.02131405,0.03131310,0.17839765,0.14632446,0.03329491,0.09783996
1.89394697,0.50961614,0.47115229,0.01730421,0.01899929,0.03430643,0.17448890,0.14629393,0.03506673,0.09440096
1.89994997,0.50908087,0.46405066,0.01714254,0.01693803,0.03777146,0.17139630,0.14833568,0.03699936,0.09142621
1.90595298,0.51226226,0.45830804,0.01696454,0.01513843,0.04174315,0.16921412,0.15257857,0.03910793,0.08900358
1.91195598,0.51947589,0.45411548,0.01678246,0.01360494,0.04625206,0.16801963,0.15913006,0.04140479,0.08721671
1.91795898,0.53098475,0.45162219,0.01660828,0.01233862,0.05132289,0.16787099,0.16807347,0.04389860,0.08614322
1.92396198,0.54698970,0.45093005,0.01645332,0.01133755,0.05697301,0.16880549,0.17946515,0.04659341,0.08585282
1.92996498,0.56762037,0.45208928,0.01632779,0.01059717,0.06321088,0.17083809,0.19333133,0.04948787,0.08640528
1.93596798,0.59292664,0.45509566,0.01624042,0.01011062,0.07003464,0.17396034,0.20966499,0.05257463,0.08784846
1.94197099,0.62287109,0.45988925,0.01619815,0.00986901,0.07743069,0.17813978,0.22842256,0.05583989,0.09021632
