energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.29364682,9.85358473,0.30705347,1.96557063,2.40200744,1.99496423,1.36462913,0.00000000,0.72115829,4.29419651
1.29964982,9.94316916,0.32051803,1.95391007,2.38627184,2.02950490,1.36910137,0.00000000,0.75495619,4.31039537
1.30565283,10.01227857,0.33259423,1.93766459,2.36375455,2.05869876,1.37193966,0.00000000,0.78729338,4.31733392
1.31165583,10.06070098,0.34307442,1.91700938,2.33496723,2.08217400,1.37307769,0.00000000,0.81773392,4.31553657
1.31765883,10.08834742,0.35177852,1.89210228,2.30047141,2.09961142,1.37245088,0.00000000,0.84585714,4.30561311
1.32366183,10.09525881,0.35856003,1.86308424,2.26086505,2.11075609,1.37000350,0.00000000,0.87126947,4.28823860
1.32966483,10.08161541,0.36331120,1.83008247,2.21676941,2.11542818,1.36569562,0.00000000,0.89361581,4.26413412
1.33566783,10.04774709,0.36596696,1.79321595,2.16881635,2.11353274,1.35950906,0.00000000,0.91258998,4.23404815
1.34167084,9.99414278,0.36650766,1.75260274,2.11763626,2.10506745,1.35145212,0.00000000,0.92794378,4.19873885
1.34767384,9.92145755,0.36496023,1.70836853,2.06384694,2.09012818,1.34156261,0.00000000,0.93949422,4.15895713
1.35367684,9.83051591,0.36139796,1.66065565,2.00804341,2.06891161,1.32990911,0.00000000,0.94712884,4.11543080
1.35967984,9.72231058,0.35593869,1.60963188,1.95078902,2.04171507,1.31659037,0.00000000,0.95080868,4.06884990
1.36568284,9.59799602,0.34874166,1.55549843,1.89260784,2.00893309,1.30173293,0.00000000,0.95056901,4.01985360
1.37168584,9.45887690,0.34000300,1.49849637,1.83397862,1.97105105,1.28548722,0.00000000,0.94651772,3.96901905
1.37768884,9.30639171,0.32995021,1.43891115,1.77533039,1.92863605,1.26802245,0.00000000,0.93883155,3.91685257
1.38369185,9.14209247,0.31883563,1.37707477,1.71703981,1.88232519,1.24952067,0.00000000,0.92775040,3.86378376
1.38969485,8.96762142,0.30692943,1.31336543,1.65943024,1.83281202,1.23017045,0.00000000,0.91356987,3.81016279
1.39569785,8.78468617,0.29451208,1.24820464,1.60277274,1.78083148,1.21016064,0.00000000,0.89663247,3.75626145
1.40170085,8.59503436,0.28186683,1.18205185,1.54728871,1.72714386,1.18967464,0.00000000,0.87731786,3.70227782
