energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.06353177,2.48234313,0.25801736,0.00000000,1.61126717,0.42748695,0.01646467,1.22452640
-5.05752876,2.66460563,0.27628558,0.00000000,1.71225707,0.46529101,0.01826069,1.30885642
-5.05152576,2.85198231,0.29463896,0.00000000,1.81358584,0.50482018,0.02011051,1.39632278
-5.04552276,3.04278408,0.31287213,0.00000000,1.91417295,0.54578149,0.02199246,1.48619495
-5.03951976,3.23509254,0.33076564,0.00000000,2.01286346,0.58782578,0.02388222,1.57761283
-5.03351676,3.42679377,0.34809071,0.00000000,2.10845327,0.63055235,0.02575323,1.66960131
-5.02751376,3.61562062,0.36461441,0.00000000,2.19971736,0.67351559,0.02757736,1.76108979
-5.02151076,3.79920235,0.38010541,0.00000000,2.28543996,0.71623337,0.02932554,1.85093583
-5.01550775,3.97511991,0.39433986,0.00000000,2.36444566,0.75819708,0.03096863,1.93795230
-5.00950475,4.14096504,0.40710735,0.00000000,2.43563033,0.79888289,0.03247818,2.02093701
-5.00350175,4.29440116,0.41821652,0.00000000,2.49799053,0.83776385,0.03382737,2.09870379
-4.99749875,4.43322369,0.42750043,0.00000000,2.55065051,0.87432260,0.03499179,2.17011390
-4.99149575,4.55541780,0.43482115,0.00000000,2.59288564,0.90806397,0.03595029,2.23410643
-4.98549275,4.65921127,0.44007355,0.00000000,2.62414147,0.93852724,0.03668563,2.28972687
-4.97948974,4.74312070,0.44318823,0.00000000,2.64404764,0.96529747,0.03718510,2.33615253
-4.97348674,4.80598933,0.44413328,0.00000000,2.65242636,0.98801567,0.03744093,2.37271397
-4.96748374,4.84701522,0.44291496,0.00000000,2.64929499,1.00638730,0.03745058,2.39891183
-4.96148074,4.86576902,0.43957720,0.00000000,2.63486291,1.02018893,0.03721677,2.41442839
-4.95547774,4.86220072,0.43420012,0.00000000,2.60952294,1.02927285,0.03674744,2.41913368
-4.94947474,4.83663565,0.42689735,0.00000000,2.57383756,1.03356956,0.03605539,2.41308599
-4.94347174,4.78976006,0.41781259,0.00000000,2.52852101,1.03308803,0.03515790,2.39652709
-4.93746873,4.72259714,0.40711538,0.00000000,2.47441762,1.02791392,0.03407607,2.36987239
-4.93146573,4.63647489,0.39499630,0.00000000,2.41247775,1.01820587,0.03283417,2.33369677
-4.92546273,4.53298697,0.38166180,0.00000000,2.34373202,1.00418997,0.03145879,2.28871662
-4.91945973,4.41394846,0.36732887,0.00000000,2.26926496,0.98615287,0.02997803,2.23576904
-4.91345673,4.28134809,0.35221967,0.00000000,2.19018903,0.96443358,0.02842064,2.17578893
-4.90745373,4.13729865,0.33655646,0.00000000,2.10761982,0.93941448,0.02681518,2.10978495
-4.90145073,3.98398727,0.32055675,0.00000000,2.02265320,0.91151168,0.02518924,2.03881504
-4.89544772,3.82362695,0.30442898,0.00000000,1.93634492,0.88116513,0.02356873,1.96396236
-4.88944472,3.65841075,0.28836878,0.00000000,1.84969315,0.84882879,0.02197730,1.88631219
-4.88344172,3.49046951,0.27255578,0.00000000,1.76362410,0.81496089,0.02043584,1.80693050
-4.87743872,3.32183416,0.25715119,0.00000000,1.67898083,0.78001486,0.01896212,1.72684442
-4.87143572,3.15440301,0.24229588,0.00000000,1.59651517,0.74443077,0.01757058,1.64702507
-4.86543272,2.98991438,0.22810927,0.00000000,1.51688248,0.70862761,0.01627219,1.56837286
-4.85942971,2.82992496,0.21468866,0.00000000,1.44063910,0.67299660,0.01507452,1.49170540
-4.85342671,2.67579365,0.20210924,0.00000000,1.36824199,0.63789539,0.01398178,1.41774802
-4.84742371,2.52867084,0.19042447,0.00000000,1.30005032,0.60364347,0.01299513,1.34712691
-4.84142071,2.38949304,0.17966694,0.00000000,1.23632864,0.57051869,0.01211288,1.28036476
-4.83541771,2.25898228,0.16984955,0.00000000,1.17725126,0.53875494,0.01133091,1.21787873
-4.82941471,2.13765024,0.16096704,0.00000000,1.12290764,0.50854100,0.01064301,1.15998077
-4.82341171,2.02580639,0.15299767,0.00000000,1.07330852,0.48002058,0.01004134,1.10687997
-4.81740870,1.92356993,0.14590514,0.00000000,1.02839265,0.45329337,0.00951681,1.05868684
-4.81140570,1.83088492,0.13964061,0.00000000,0.98803401,0.42841722,0.00905957,1.01541939
-4.80540270,1.74753820,0.13414485,0.00000000,0.95204937,0.40541113,0.00865932,0.97701068
-4.79939970,1.67317936,0.12935038,0.00000000,0.92020619,0.38425914,0.00830577,0.94331768
-4.79339670,1.60734239,0.12518368,0.00000000,0.89223084,0.36491479,0.00798894,0.91413125
-4.78739370,1.54946831,0.12156731,0.00000000,0.86781697,0.34730613,0.00769948,0.88918689
-4.78139070,1.49892810,0.11842201,0.00000000,0.84663398,0.33134097,0.00742888,0.86817591
-4.77538769,1.45504548,0.11566868,0.00000000,0.82833563,0.31691233,0.00716970,0.85075694
-4.76938469,1.41711875,0.11323020,0.00000000,0.81256849,0.30390372,0.00691573,0.83656722
-4.76338169,1.38444129,0.11103304,0.00000000,0.79898017,0.29219425,0.00666204,0.82523362
-4.75737869,1.35632023,0.10900877,0.00000000,0.78722724,0.28166330,0.00640507,0.81638292
-4.75137569,1.33209284,0.10709520,0.00000000,0.77698265,0.27219470,0.00614261,0.80965132
-4.74537269,1.31114041,0.10523736,0.00000000,0.76794244,0.26368023,0.00587377,0.80469283
-4.73936968,1.29289954,0.10338816,0.00000000,0.75983179,0.25602249,0.00559891,0.80118661
-4.73336668,1.27687070,0.10150880,0.00000000,0.75241016,0.24913699,0.00531954,0.79884301
-4.72736368,1.26262429,0.09956895,0.00000000,0.74547552,0.24295364,0.00503817,0.79740851
-4.72136068,1.24980428,0.09754662,0.00000000,0.73886768,0.23741754,0.00475822,0.79666946
-4.71535768,1.23812986,0.09542789,0.00000000,0.73247058,0.23248922,0.00448384,0.79645479
-4.70935468,1.22739529,0.09320642,0.00000000,0.72621376,0.22814442,0.00421977,0.79663780
-4.70335168,1.21746838,0.09088279,0.00000000,0.72007284,0.22437348,0.00397118,0.79713711
-4.69734867,1.20828793,0.08846377,0.00000000,0.71406917,0.22118048,0.00374354,0.79791697
-4.69134567,1.19986041,0.08596152,0.00000000,0.70826865,0.21858217,0.00354248,0.79898690
-4.68534267,1.19225604,0.08339269,0.00000000,0.70277970,0.21660684,0.00337366,0.80040077
-4.67933967,1.18560448,0.08077758,0.00000000,0.69775050,0.21529308,0.00324265,0.80225534
-4.67333667,1.18009007,0.07813932,0.00000000,0.69336535,0.21468851,0.00315478,0.80468805
-4.66733367,1.17594667,0.07550302,0.00000000,0.68984027,0.21484850,0.00311510,0.80787430
-4.66133067,1.17345192,0.07289505,0.00000000,0.68741775,0.21583479,0.00312822,0.81202370
-4.65532766,1.17292072,0.07034230,0.00000000,0.68636066,0.21771410,0.00319821,0.81737556
-4.64932466,1.17469802,0.06787159,0.00000000,0.68694541,0.22055653,0.00332852,0.82419331
-4.64332166,1.17915051,0.06550902,0.00000000,0.68945436,0.22443392,0.00352184,0.83275789
-4.63731866,1.18665743,0.06327949,0.00000000,0.69416770,0.22941796,0.00377999,0.84336014
-4.63131566,1.19760045,0.06120619,0.00000000,0.70135487,0.23557828,0.00410383,0.85629238
-4.62531266,1.21235290,0.05931015,0.00000000,0.71126601,0.24298031,0.00449316,0.87183933
-4.61930965,1.23126868,0.05760990,0.00000000,0.72412352,0.25168322,0.00494656,0.89026869
-4.61330665,1.25467122,0.05612104,0.00000000,0.74011434,0.26173789,0.00546137,0.91182192
-4.60730365,1.28284323,0.05485605,0.00000000,0.75938326,0.27318503,0.00603359,0.93670551
-4.60130065,1.31601763,0.05382403,0.00000000,0.78202767,0.28605365,0.00665784,0.96508349
-4.59529765,1.35437042,0.05303056,0.00000000,0.80809428,0.30035998,0.00732736,0.99707137
-4.58929465,1.39801595,0.05247767,0.00000000,0.83757794,0.31610682,0.00803404,1.03273227
-4.58329165,1.44700491,0.05216390,0.00000000,0.87042291,0.33328360,0.00876852,1.07207526
-4.57728864,1.50132540,0.05208443,0.00000000,0.90652659,0.35186699,0.00952030,1.11505629
-4.57128564,1.56090697,0.05223139,0.00000000,0.94574563,0.37182211,0.01027796,1.16158158
-4.56528264,1.62562721,0.05259418,0.00000000,0.98790409,0.39310424,0.01102937,1.21151325
-4.55927964,1.69532051,0.05315996,0.00000000,1.03280321,0.41566079,0.01176198,1.26467676
-4.55327664,1.76978811,0.05391417,0.00000000,1.08023216,0.43943350,0.01246315,1.32086956
-4.54727364,1.84880826,0.05484110,0.00000000,1.12997894,0.46436034,0.01312050,1.37987003
-4.54127064,1.93214567,0.05592444,0.00000000,1.18184062,0.49037707,0.01372227,1.44144601
-4.53526763,2.01955878,0.05714789,0.00000000,1.23563206,0.51741812,0.01425769,1.50536187
-4.52926463,2.11080388,0.05849560,0.00000000,1.29119223,0.54541648,0.01471731,1.57138332
-4.52326163,2.20563534,0.05995258,0.00000000,1.34838739,0.57430252,0.01509333,1.63927923
-4.51725863,2.30380108,0.06150500,0.00000000,1.40711071,0.60400159,0.01537985,1.70882006
-4.51125563,2.40503330,0.06314027,0.00000000,1.46727795,0.63443049,0.01557308,1.77977259
-4.50525263,2.50903463,0.06484706,0.00000000,1.52881936,0.66549278,0.01567147,1.85189119
-4.49924962,2.61546045,0.06661508,0.00000000,1.59166790,0.69707351,0.01567572,1.92490610
