energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-3.41870935,9.66022530,0.98479020,0.00000000,2.53311580,0.00000000,6.34381767,6.12750620
-3.41270635,9.72476627,0.99998037,0.00000000,2.57117568,0.00000000,6.42870663,6.13728292
-3.40670335,9.77820549,1.01498672,0.00000000,2.61198494,0.00000000,6.51502986,6.12912631
-3.40070035,9.81910998,1.02950674,0.00000000,2.65476634,0.00000000,6.60036931,6.10302318
-3.39469735,9.84649115,1.04329172,0.00000000,2.69879629,0.00000000,6.68251941,6.05935462
-3.38869435,9.85979338,1.05614869,0.00000000,2.74341364,0.00000000,6.75951963,5.99886215
-3.38269135,9.85886241,1.06793931,0.00000000,2.78802314,0.00000000,6.82967293,5.92260169
-3.37668834,9.84389677,1.07857603,0.00000000,2.83209403,0.00000000,6.89155080,5.83188797
-3.37068534,9.81538594,1.08801575,0.00000000,2.87515448,0.00000000,6.94398654,5.72823278
-3.36468234,9.77403997,1.09625172,0.00000000,2.91678273,0.00000000,6.98605824,5.61328016
-3.35867934,9.72071486,1.10330398,0.00000000,2.95659620,0.00000000,7.01706406,5.48874197
-3.35267634,9.65633856,1.10920926,0.00000000,2.99423951,0.00000000,7.03649203,5.35633675
-3.34667334,9.58184160,1.11401074,0.00000000,3.02937263,0.00000000,7.04398687,5.21773457
-3.34067034,9.49809606,1.11774842,0.00000000,3.06166020,0.00000000,7.03931637,5.07450988
-3.33466733,9.40586573,1.12045062,0.00000000,3.09076284,0.00000000,7.02233932,4.92810395
-3.32866433,9.30576933,1.12212701,0.00000000,3.11633114,0.00000000,6.99297705,4.77979751
-3.32266133,9.19825795,1.12276363,0.00000000,3.13800272,0.00000000,6.95118998,4.63069397
-3.31665833,9.08360646,1.12231997,0.00000000,3.15540253,0.00000000,6.89696013,4.48171263
-3.31065533,8.96191828,1.12072832,0.00000000,3.16814628,0.00000000,6.83028028,4.33359091
-3.30465233,8.83314181,1.11789527,0.00000000,3.17584663,0.00000000,6.75114973,4.18689435
-3.29864932,8.69709630,1.11370510,0.00000000,3.17812168,0.00000000,6.65957641,4.04203255
-3.29264632,8.55350467,1.10802495,0.00000000,3.17460506,0.00000000,6.55558451,3.89927940
