energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.07553777,2.84916170,0.42685509,2.17324072,0.18504704,0.26953485,0.00209192,0.09543319,0.33750908,0.00000000
-5.06953477,2.87488453,0.42899943,2.18566925,0.18962605,0.27668450,0.00217094,0.09764315,0.33761154,0.00000000
-5.06353177,2.89663907,0.43021924,2.19473878,0.19438855,0.28412344,0.00225288,0.09942904,0.33745522,0.00000000
-5.05752876,2.91423868,0.43047073,2.20035831,0.19933626,0.29184786,0.00233729,0.10075984,0.33699755,0.00000000
-5.05152576,2.92754669,0.42972445,2.20246998,0.20446485,0.29985698,0.00242372,0.10161148,0.33619593,0.00000000
-5.04552276,2.93649577,0.42796781,2.20106198,0.20976431,0.30815579,0.00251166,0.10196761,0.33501056,0.00000000
-5.03951976,2.94110619,0.42520719,2.19618112,0.21521965,0.31675746,0.00260063,0.10182030,0.33340707,0.00000000
-5.03351676,2.94150194,0.42146953,2.18794402,0.22081182,0.32568565,0.00269017,0.10117043,0.33135898,0.00000000
-5.02751376,2.93792376,0.41680315,2.17654663,0.22651875,0.33497608,0.00277989,0.10002783,0.32884985,0.00000000
-5.02151076,2.93073829,0.41127811,2.16227124,0.23231665,0.34467756,0.00286946,0.09841118,0.32587502,0.00000000
-5.01550775,2.92044270,0.40498564,2.14549068,0.23818117,0.35485211,0.00295866,0.09634759,0.32244283,0.00000000
-5.00950475,2.90766441,0.39803716,2.12666937,0.24408878,0.36557423,0.00304740,0.09387200,0.31857540,0.00000000
-5.00350175,2.89315552,0.39056244,2.10636091,0.25001789,0.37692912,0.00313568,0.09102629,0.31430889,0.00000000
-4.99749875,2.87778210,0.38270746,2.08520229,0.25594993,0.38900994,0.00322365,0.08785824,0.30969328,0.00000000
-4.99149575,2.86250843,0.37463161,2.06390462,0.26187023,0.40191409,0.00331160,0.08442037,0.30479162,0.00000000
-4.98549275,2.84837649,0.36650464,2.04324064,0.26776865,0.41573862,0.00339993,0.08076857,0.29967891,0.00000000
-4.97948974,2.83648149,0.35850328,2.02402937,0.27363984,0.43057493,0.00348914,0.07696087,0.29444064,0.00000000
-4.97348674,2.82794388,0.35080778,2.00711814,0.27948332,0.44650290,0.00357987,0.07305604,0.28917090,0.00000000
-4.96748374,2.82387892,0.34359820,1.99336264,0.28530315,0.46358475,0.00367281,0.06911235,0.28397035,0.00000000
-4.96148074,2.82536476,0.33705091,1.98360550,0.29110727,0.48185891,0.00376873,0.06518637,0.27894392,0.00000000
-4.95547774,2.83340996,0.33133495,1.97865405,0.29690663,0.50133414,0.00386845,0.06133196,0.27419841,0.00000000
-4.94947474,2.84892178,0.32660871,1.97925801,0.30271397,0.52198431,0.00397279,0.05759934,0.26983998,0.00000000
-4.94347174,2.87267622,0.32301675,1.98608768,0.30854249,0.54374416,0.00408259,0.05403436,0.26597165,0.00000000
-4.93746873,2.90529102,0.32068681,1.99971358,0.31440436,0.56650624,0.00419867,0.05067803,0.26269078,0.00000000
-4.93146573,2.94720264,0.31972728,2.02058803,0.32030930,0.59011947,0.00432179,0.04756606,0.26008671,0.00000000
-4.92546273,2.99864812,0.32022493,2.04902946,0.32626305,0.61438939,0.00445267,0.04472877,0.25823847,0.00000000
-4.91945973,3.05965278,0.32224307,2.08521005,0.33226620,0.63908034,0.00459195,0.04219103,0.25721275,0.00000000
-4.91345673,3.13002416,0.32582022,2.12914713,0.33831313,0.66391955,0.00474017,0.03997236,0.25706206,0.00000000
-4.90745373,3.20935267,0.33096920,2.18069878,0.34439131,0.68860326,0.00489777,0.03808719,0.25782324,0.00000000
-4.90145073,3.29701910,0.33767683,2.23956388,0.35048098,0.71280452,0.00506506,0.03654516,0.25951631,0.00000000
-4.89544772,3.39220878,0.34590413,2.30528657,0.35655525,0.73618259,0.00524224,0.03535153,0.26214369,0.00000000
-4.88944472,3.49393195,0.35558715,2.37726526,0.36258057,0.75839358,0.00542935,0.03450756,0.26568983,0.00000000
-4.88344172,3.60104978,0.36663839,2.45476569,0.36851771,0.77910189,0.00562630,0.03401097,0.27012135,0.00000000
-4.87743872,3.71230496,0.37894875,2.53693782,0.37432304,0.79799201,0.00583283,0.03385636,0.27538753,0.00000000
-4.87143572,3.82635585,0.39239015,2.62283594,0.37995008,0.81478014,0.00604851,0.03403555,0.28142133,0.00000000
-4.86543272,3.94181294,0.40681857,2.71144131,0.38535141,0.82922516,0.00627275,0.03453799,0.28814076,0.00000000
-4.85942971,4.05727632,0.42207760,2.80168665,0.39048060,0.84113845,0.00650477,0.03535095,0.29545066,0.00000000
-4.85342671,4.17137278,0.43800245,2.89248167,0.39529419,0.85039202,0.00674363,0.03645985,0.30324479,0.00000000
-4.84742371,4.28279136,0.45442415,2.98273886,0.39975363,0.85692474,0.00698817,0.03784835,0.31140822,0.00000000
-4.84142071,4.39031617,0.47117406,3.07139877,0.40382701,0.86074622,0.00723707,0.03949847,0.31981988,0.00000000
-4.83541771,4.49285539,0.48808840,3.15745406,0.40749049,0.86193828,0.00748880,0.04139067,0.32835518,0.00000000
-4.82941471,4.58946590,0.50501275,3.23997162,0.41072949,0.86065385,0.00774167,0.04350387,0.33688877,0.00000000
-4.82341171,4.67937269,0.52180638,3.31811242,0.41353932,0.85711342,0.00799378,0.04581544,0.34529716,0.00000000
-4.81740870,4.76198283,0.53834620,3.39114836,0.41592554,0.85159924,0.00824308,0.04830123,0.35346129,0.00000000
-4.81140570,4.83689383,0.55453027,3.45847597,0.41790378,0.84444729,0.00848739,0.05093556,0.36126881,0.00000000
-4.80540270,4.90389627,0.57028067,3.51962663,0.41949917,0.83603766,0.00872437,0.05369126,0.36861628,0.00000000
-4.79939970,4.96297102,0.58554555,3.57427312,0.42074534,0.82678344,0.00895159,0.05653978,0.37541092,0.00000000
-4.79339670,5.01428110,0.60030032,3.62223239,0.42168315,0.81711863,0.00916653,0.05945133,0.38157209,0.00000000
-4.78739370,5.05815864,0.61454784,3.66346448,0.42235906,0.80748554,0.00936665,0.06239505,0.38703249,0.00000000
-4.78139070,5.09508733,0.62831748,3.69806762,0.42282334,0.79832188,0.00954939,0.06533930,0.39173885,0.00000000
-4.77538769,5.12568062,0.64166306,3.72626953,0.42312813,0.79004810,0.00971225,0.06825198,0.39565238,0.00000000
-4.76938469,5.15065634,0.65465962,3.74841505,0.42332543,0.78305526,0.00985282,0.07110093,0.39874874,0.00000000
-4.76338169,5.17080820,0.66739916,3.76495031,0.42346515,0.77769364,0.00996881,0.07385436,0.40101777,0.00000000
-4.75737869,5.18697464,0.67998531,3.77640378,0.42359318,0.77426247,0.01005817,0.07648129,0.40246278,0.00000000
-4.75137569,5.20000603,0.69252718,3.78336450,0.42374971,0.77300096,0.01011905,0.07895207,0.40309958,0.00000000
-4.74537269,5.21073081,0.70513265,3.78645832,0.42396770,0.77408079,0.01014991,0.08123885,0.40295530,0.00000000
-4.73936968,5.21992167,0.71790125,3.78632248,0.42427165,0.77760028,0.01014958,0.08331606,0.40206688,0.00000000
-4.73336668,5.22826295,0.73091706,3.78357988,0.42467666,0.78358048,0.01011724,0.08516083,0.40047950,0.00000000
-4.72736368,5.23632041,0.74424195,3.77881354,0.42518792,0.79196313,0.01005251,0.08675339,0.39824488,0.00000000
-4.72136068,5.24451493,0.75790950,3.77254276,0.42580057,0.80261079,0.00995545,0.08807740,0.39541950,0.00000000
-4.71535768,5.25310128,0.77192005,3.76520186,0.42649995,0.81530921,0.00982658,0.08912018,0.39206291,0.00000000
-4.70935468,5.26215346,0.78623712,3.75712274,0.42726235,0.82977195,0.00966691,0.08987296,0.38823614,0.00000000
-4.70335168,5.27155782,0.80078560,3.74852223,0.42805620,0.84564731,0.00947790,0.09033094,0.38400026,0.00000000
-4.69734867,5.28101463,0.81545188,3.73949520,0.42884367,0.86252756,0.00926145,0.09049337,0.37941516,0.00000000
-4.69134567,5.29004892,0.83008599,3.73001385,0.42958265,0.87996028,0.00901989,0.09036350,0.37453865,0.00000000
-4.68534267,5.29803052,0.84450586,3.71993365,0.43022915,0.89746164,0.00875594,0.08994854,0.36942582,0.00000000
-4.67933967,5.30420292,0.85850358,3.70900569,0.43073984,0.91453130,0.00847264,0.08925948,0.36412872,0.00000000
-4.67333667,5.30771989,0.87185331,3.69689512,0.43107485,0.93066847,0.00817330,0.08831092,0.35869637,0.00000000
-4.66733367,5.30768847,0.88432067,3.68320461,0.43120052,0.94538872,0.00786147,0.08712083,0.35317497,0.00000000
