energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.46173087,0.50570358,0.15040062,0.01269974,0.00116302,0.00858873,0.00968038,0.07090163,0.05613004,0.42296856
1.46773387,0.54140657,0.16291824,0.01402824,0.00129329,0.00953513,0.01143367,0.07864836,0.06177217,0.44479005
1.47373687,0.57900016,0.17637906,0.01547616,0.00142990,0.01052342,0.01342597,0.08684877,0.06768202,0.46732723
1.47973987,0.61822578,0.19073489,0.01704265,0.00157194,0.01154599,0.01566769,0.09545499,0.07381780,0.49034575
1.48574287,0.65877941,0.20592420,0.01872497,0.00171838,0.01259421,0.01816588,0.10441045,0.08013108,0.51358385
1.49174587,0.70031794,0.22187284,0.02051829,0.00186805,0.01365859,0.02092331,0.11365019,0.08656753,0.53676112
1.49774887,0.74246681,0.23849526,0.02241557,0.00201971,0.01472893,0.02393757,0.12310146,0.09306779,0.55958825
1.50375188,0.78482875,0.25569593,0.02440733,0.00217202,0.01579451,0.02720029,0.13268460,0.09956856,0.58177723
1.50975488,0.82699276,0.27337088,0.02648162,0.00232362,0.01684428,0.03069642,0.14231401,0.10600381,0.60305143
1.51575788,0.86854328,0.29140924,0.02862395,0.00247311,0.01786714,0.03440369,0.15189941,0.11230601,0.62315498
1.52176088,0.90906875,0.30969460,0.03081729,0.00261910,0.01885209,0.03829233,0.16134716,0.11840745,0.64186097
1.52776388,0.94816941,0.32810622,0.03304214,0.00276021,0.01978851,0.04232498,0.17056160,0.12424151,0.65897796
1.53376688,0.98546394,0.34651983,0.03527669,0.00289513,0.02066631,0.04645694,0.17944660,0.12974387,0.67435440
1.53976988,1.02059470,0.36480815,0.03749707,0.00302261,0.02147617,0.05063665,0.18790692,0.13485361,0.68788090
1.54577289,1.05323156,0.38284107,0.03967760,0.00314149,0.02220963,0.05480656,0.19584973,0.13951427,0.69949005
1.55177589,1.08307432,0.40048560,0.04179122,0.00325069,0.02285927,0.05890426,0.20318595,0.14367465,0.70915411
1.55777889,1.10985379,0.41760558,0.04380997,0.00334924,0.02341878,0.06286394,0.20983159,0.14728954,0.71688053
1.56378189,1.13333180,0.43406139,0.04570552,0.00343630,0.02388301,0.06661802,0.21570907,0.15032027,0.72270590
1.56978489,1.15330050,0.44970974,0.04744977,0.00351112,0.02424802,0.07009909,0.22074834,0.15273512,0.72668861
1.57578789,1.16958106,0.46440373,0.04901553,0.00357307,0.02451107,0.07324180,0.22488802,0.15450964,0.72890086
1.58179090,1.18202238,0.47799332,0.05037718,0.00362164,0.02467064,0.07598497,0.22807642,0.15562676,0.72942051
1.58779390,1.19049997,0.49032632,0.05151137,0.00365642,0.02472634,0.07827355,0.23027241,0.15607690,0.72832348
1.59379690,1.19491530,0.50125011,0.05239766,0.00367713,0.02467893,0.08006045,0.23144624,0.15585793,0.72567707
1.59979990,1.19519592,0.51061405,0.05301918,0.00368357,0.02453024,0.08130818,0.23158023,0.15497516,0.72153476
1.60580290,1.19129627,0.51827265,0.05336316,0.00367568,0.02428312,0.08199021,0.23066930,0.15344112,0.71593272
1.61180590,1.18319949,0.52408939,0.05342137,0.00365348,0.02394144,0.08209190,0.22872133,0.15127549,0.70888847
1.61780890,1.17091988,0.52794127,0.05319047,0.00361713,0.02351002,0.08161110,0.22575738,0.14850483,0.70040140
1.62381191,1.15450602,0.52972371,0.05267222,0.00356690,0.02299460,0.08055827,0.22181172,0.14516236,0.69045542
1.62981491,1.13404420,0.52935577,0.05187357,0.00350316,0.02240187,0.07895619,0.21693160,0.14128770,0.67902327
1.63581791,1.10966195,0.52678544,0.05080655,0.00342644,0.02173941,0.07683919,0.21117683,0.13692649,0.66607228
1.64182091,1.08153129,0.52199464,0.04948808,0.00333737,0.02101573,0.07425207,0.20461916,0.13213006,0.65157109
1.64782391,1.04987136,0.51500386,0.04793961,0.00323673,0.02024025,0.07124866,0.19734136,0.12695499,0.63549691
1.65382691,1.01495016,0.50587608,0.04618668,0.00312540,0.01942334,0.06789010,0.18943617,0.12146262,0.61784269
1.65982991,0.97708515,0.49471975,0.04425836,0.00300441,0.01857629,0.06424297,0.18100502,0.11571851,0.59862385
1.66583292,0.93664243,0.48169076,0.04218663,0.00287487,0.01771138,0.06037734,0.17215657,0.10979191,0.57788397
