energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.63381691,2.50881517,-2.26625211,0.01070465,-0.01125612,0.50997280,-0.44169483,0.29979614,-0.27768025,0.27948414,-0.20508429,0.85180016,-0.63063355,1.14939902,-1.22384459,0.67451798,-0.61832836,0.00000000,-0.00000000
-5.62781391,2.57204206,-2.26907268,0.01060561,-0.01115119,0.53575848,-0.43932094,0.30012355,-0.28148801,0.28463391,-0.20536909,0.88789098,-0.63896096,1.18159166,-1.21097366,0.67931007,-0.62393152,0.00000000,-0.00000000
-5.62181091,2.63978925,-2.26759123,0.01047312,-0.01104864,0.56436045,-0.43654143,0.30000557,-0.28454389,0.28951171,-0.20553715,0.92656819,-0.64648481,1.21841918,-1.19548680,0.68309905,-0.62805170,0.00000000,-0.00000000
-5.61580790,2.71141659,-2.26294798,0.01030657,-0.01094992,0.59551806,-0.43372626,0.29948039,-0.28685686,0.29401683,-0.20569549,0.96761768,-0.65350013,1.25944799,-1.17823100,0.68584420,-0.63082968,0.00000000,-0.00000000
-5.60980490,2.78610450,-2.25642719,0.01010630,-0.01085633,0.62888405,-0.43127234,0.29858988,-0.28845823,0.29805664,-0.20595449,1.01072067,-0.66036448,1.30410502,-1.16012076,0.68751346,-0.63244893,0.00000000,-0.00000000
-5.60380190,2.86286129,-2.24941674,0.00987365,-0.01076887,0.66402768,-0.42959329,0.29737780,-0.28939951,0.30155002,-0.20642277,1.05545131,-0.66748839,1.35168554,-1.14211268,0.68808336,-0.63312653,0.00000000,-0.00000000
-5.59779890,2.94053752,-2.24336335,0.00961102,-0.01068822,0.70044105,-0.42910826,0.29588834,-0.28974958,0.30443054,-0.20720203,1.10127879,-0.67532322,1.40136585,-1.12517842,0.68753906,-0.63310291,0.00000000,-0.00000000
-5.59179590,3.01784777,-2.23972452,0.00932183,-0.01061463,0.73754862,-0.43023000,0.29416472,-0.28959131,0.30664888,-0.20838216,1.14757439,-0.68434647,1.45222094,-1.11027675,0.68587422,-0.63263070,0.00000000,-0.00000000
-5.58579290,3.09339995,-2.23991832,0.00901050,-0.01054789,0.77472010,-0.43335237,0.29224815,-0.28901760,0.30817480,-0.21003677,1.19362370,-0.69504498,1.50324717,-1.09832527,0.68309118,-0.63196316,0.00000000,-0.00000000
-5.57978989,3.16573188,-2.24527248,0.00868238,-0.01048724,0.81128626,-0.43883746,0.29017711,-0.28812719,0.30899831,-0.21221930,1.23864386,-0.70789622,1.55338936,-1.09017230,0.67920125,-0.63134256,0.00000000,-0.00000000
-5.57378689,3.23335430,-2.25697431,0.00834364,-0.01043141,0.84655754,-0.44700278,0.28798703,-0.28702019,0.30913023,-0.21496000,1.28180537,-0.72334827,1.60157191,-1.08656989,0.67422522,-0.63098906,0.00000000,-0.00000000
-5.56778389,3.29479890,-2.27602285,0.00800111,-0.01037855,0.87984458,-0.45810865,0.28571032,-0.28579365,0.30860199,-0.21826380,1.32225788,-0.74179909,1.64673275,-1.08814838,0.66819421,-0.63109053,0.00000000,-0.00000000
-5.56178089,3.34866959,-2.30318511,0.00766211,-0.01032632,0.91048021,-0.47234634,0.28337672,-0.28453732,0.30746484,-0.22210915,1.35915882,-0.76357578,1.68785899,-1.09539345,0.66115063,-0.63179370,0.00000000,-0.00000000
-5.55577789,3.39369485,-2.33895794,0.00733429,-0.01027192,0.93784175,-0.48982728,0.28101392,-0.28332971,0.30578832,-0.22644802,1.39170361,-0.78891480,1.72402279,-1.10862625,0.65314924,-0.63319704,0.00000000,-0.00000000
-5.54977489,3.42877868,-2.38353720,0.00702538,-0.01021218,0.96137283,-0.51057387,0.27864836,-0.28223476,0.30365816,-0.23120694,1.41915628,-0.81794386,1.75441583,-1.12798752,0.64425827,-0.63534569,0.00000000,-0.00000000
-5.54377189,3.45304747,-2.43679576,0.00674298,-0.01014368,0.98060363,-0.53451234,0.27630603,-0.28129917,0.30117366,-0.23628908,1.44087864,-0.85066662,1.77838075,-1.15342642,0.63456022,-0.63822870,0.00000000,-0.00000000
-5.53776888,3.46589026,-2.49827170,0.00649438,-0.01006287,0.99516857,-0.56146806,0.27401328,-0.28055056,0.29844459,-0.24157737,1.45635684,-0.88695091,1.79543788,-1.18469463,0.62415246,-0.64177867,0.00000000,-0.00000000
-5.53176588,3.46699014,-2.56716780,0.00628628,-0.00996625,1.00482047,-0.59116398,0.27179737,-0.27999653,0.29558764,-0.24693837,1.46522365,-0.92652151,1.80530593,-1.22134652,0.61314719,-0.64587392,0.00000000,-0.00000000
-5.52576288,3.45634455,-2.64236307,0.00612461,-0.00985051,1.00944055,-0.62322221,0.26968679,-0.27962479,0.29272261,-0.25222697,1.46727539,-0.96895798,1.80791522,-1.26274570,0.60167086,-0.65034294,0.00000000,-0.00000000
-5.51975988,3.43427320,-2.72243664,0.00601433,-0.00971268,1.00904353,-0.65716934,0.26771133,-0.27940417,0.28996842,-0.25729151,1.46248247,-1.01369821,1.80341281,-1.30807823,0.58986286,-0.65497126,0.00000000,-0.00000000
-5.51375688,3.40141275,-2.80570387,0.00595925,-0.00955032,1.00377755,-0.69244545,0.26590159,-0.27928668,0.28743901,-0.26197929,1.45099294,-1.06004801,1.79215871,-1.35637251,0.57787335,-0.65951009,0.00000000,-0.00000000
-5.50775388,3.35869803,-2.89026401,0.00596187,-0.00936166,0.99391884,-0.72841686,0.26428833,-0.27921035,0.28523929,-0.26614220,1.43312869,-1.10719657,1.77471349,-1.40652572,0.56586047,-0.66368677,0.00000000,-0.00000000
-5.50175088,3.30733054,-2.97405823,0.00602328,-0.00914568,0.97986124,-0.76439234,0.26290135,-0.27910293,0.28346132,-0.26964222,1.40937461,-1.15423777,1.75181731,-1.45733596,0.55398688,-0.66721628,0.00000000,-0.00000000
-5.49574787,3.24873544,-3.05493614,0.00614308,-0.00890226,0.96210109,-0.79964257,0.26176820,-0.27888610,0.28218089,-0.27235669,1.38036097,-1.20019661,1.72436151,-1.50753958,0.54241575,-0.66981352,0.00000000,-0.00000000
-5.48974487,3.18450915,-3.13072866,0.00631928,-0.00863222,0.94121811,-0.83342200,0.26091276,-0.27848005,0.28145449,-0.27418299,1.34684014,-1.24405990,1.69335381,-1.55585225,0.53130662,-0.67120577,0.00000000,-0.00000000
-5.48374187,3.11636014,-3.19932450,0.00654838,-0.00833737,0.91785312,-0.86499263,0.26035379,-0.27780827,0.28131713,-0.27504268,1.30965858,-1.28481020,1.65987882,-1.60101248,0.52081110,-0.67114486,0.00000000,-0.00000000
-5.47773887,3.04604561,-3.25874732,0.00682537,-0.00802050,0.89268374,-0.89364865,0.26010369,-0.27680226,0.28178075,-0.27488473,1.26972569,-1.32146155,1.62505555,-1.64182597,0.51106902,-0.66941851,0.00000000,-0.00000000
-5.47173587,2.97530756,-3.30723024,0.00714379,-0.00768532,0.86639912,-0.91874092,0.26016753,-0.27540593,0.28283379,-0.27368791,1.22798094,-1.35309548,1.58999405,-1.67720891,0.50220502,-0.66586031,0.00000000,-0.00000000
-5.46573287,2.90581111,-3.34328472,0.00749593,-0.00733646,0.83967484,-0.93970042,0.26054253,-0.27357948,0.28444155,-0.27146208,1.18536097,-1.37889574,1.55575312,-1.70622845,0.49432606,-0.66035806,0.00000000,-0.00000000
-5.45972986,2.83908831,-3.36576052,0.00787296,-0.00697929,0.81314921,-0.95605934,0.26121815,-0.27130255,0.28654774,-0.26824860,1.14276807,-1.39818023,1.52330107,-1.72813849,0.48751988,-0.65286000,0.00000000,-0.00000000
-5.45372686,2.77649004,-3.37389398,0.00826518,-0.00661985,0.78740192,-0.96746902,0.26217671,-0.26857654,0.28907699,-0.26411951,1.10104172,-1.41042847,1.49348127,-1.74240919,0.48185481,-0.64337872,0.00000000,-0.00000000
-5.44772386,2.71914810,-3.36734250,0.00866225,-0.00626472,0.76293597,-0.97371375,0.26339475,-0.26542583,0.29193836,-0.25917583,1.06093412,-1.41530333,1.46698407,-1.74874860,0.47738069,-0.63199265,0.00000000,-0.00000000
-5.44172086,2.66794921,-3.34620311,0.00905348,-0.00592079,0.74016364,-0.97471974,0.26484503,-0.26189799,0.29502969,-0.25354488,1.02309086,-1.41266612,1.44432623,-1.74711548,0.47413112,-0.61884497,0.00000000,-0.00000000
-5.43571786,2.62352158,-3.31101439,0.00942815,-0.00559518,0.71939688,-0.97055872,0.26649900,-0.25806287,0.29824261,-0.24737668,0.98803733,-1.40258391,1.42583862,-1.73772240,0.47212679,-0.60414012,0.00000000,-0.00000000
-5.42971486,2.58623435,-3.26274128,0.00977579,-0.00529500,0.70084247,-0.96144605,0.26832980,-0.25401061,0.30146803,-0.24083973,0.95617110,-1.38532906,1.41166261,-1.72102884,0.47137972,-0.58813802,0.00000000,-0.00000000
-5.42371186,2.55620918,-3.20274330,0.01008652,-0.00502721,0.68460190,-0.94773310,0.27031549,-0.24984868,0.30460173,-0.23411610,0.92776039,-1.36137065,1.40175489,-1.69772458,0.47189805,-0.57114628,0.00000000,-0.00000000
