energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-5.18959480,0.86624143,0.20822171,0.59925076,0.01075688,0.02381050,0.15722134,0.00000000
-5.18359180,0.90754280,0.22769695,0.62319017,0.01183255,0.02680571,0.16641058,0.00000000
-5.17758879,0.95371205,0.24990596,0.65021436,0.01301201,0.03016280,0.17642036,0.00000000
-5.17158579,1.00491635,0.27501173,0.68040752,0.01429479,0.03391876,0.18726251,0.00000000
-5.16558279,1.06137082,0.30319069,0.71388184,0.01567955,0.03811280,0.19896121,0.00000000
-5.15957979,1.12333325,0.33462692,0.75077437,0.01716374,0.04278570,0.21155252,0.00000000
-5.15357679,1.19109488,0.36950489,0.79124157,0.01874339,0.04797874,0.22508310,0.00000000
-5.14757379,1.26496715,0.40800092,0.83545124,0.02041282,0.05373255,0.23960813,0.00000000
-5.14157079,1.34526408,0.45027331,0.88357195,0.02216434,0.06008559,0.25518811,0.00000000
-5.13556778,1.43228066,0.49645151,0.93576003,0.02398809,0.06707243,0.27188492,0.00000000
-5.12956478,1.52626776,0.54662452,0.99214438,0.02587178,0.07472197,0.28975689,0.00000000
-5.12356178,1.62740414,0.60082905,1.05280971,0.02780069,0.08305536,0.30885322,0.00000000
-5.11755878,1.73576683,0.65903779,1.11777864,0.02975754,0.09208403,0.32920791,0.00000000
-5.11155578,1.85130106,0.72114841,1.18699376,0.03172265,0.10180765,0.35083335,0.00000000
-5.10555278,1.97379131,0.78697393,1.26030028,0.03367409,0.11221227,0.37371408,0.00000000
-5.09954977,2.10283509,0.85623500,1.33743049,0.03558800,0.12326872,0.39780085,0.00000000
-5.09354677,2.23782125,0.92855473,1.41799090,0.03743904,0.13493130,0.42300549,0.00000000
-5.08754377,2.37791428,1.00345669,1.50145322,0.03920093,0.14713694,0.44919690,0.00000000
-5.08154077,2.52204636,1.08036641,1.58714989,0.04084709,0.15980493,0.47619844,0.00000000
-5.07553777,2.66891811,1.15861689,1.67427503,0.04235142,0.17283724,0.50378713,0.00000000
-5.06953477,2.81700916,1.23745825,1.76189118,0.04368902,0.18611955,0.53169475,0.00000000
-5.06353177,2.96459899,1.31607143,1.84894236,0.04483709,0.19952296,0.55961106,0.00000000
-5.05752876,3.10979782,1.39358594,1.93427301,0.04577571,0.21290645,0.58718911,0.00000000
-5.05152576,3.25058726,1.46910112,2.01665284,0.04648859,0.22611998,0.61405263,0.00000000
-5.04552276,3.38486952,1.54171017,2.09480664,0.04696376,0.23900822,0.63980523,0.00000000
-5.03951976,3.51052355,1.61052646,2.16744828,0.04719412,0.25141478,0.66404124,0.00000000
-5.03351676,3.62546620,1.67471069,2.23331755,0.04717786,0.26318669,0.68635762,0.00000000
-5.02751376,3.72771584,1.73349802,2.29121834,0.04691867,0.27417914,0.70636661,0.00000000
-5.02151076,3.81545593,1.78622389,2.34005680,0.04642576,0.28426013,0.72370850,0.00000000
-5.01550775,3.88709556,1.83234718,2.37887758,0.04571373,0.29331484,0.73806396,0.00000000
-5.00950475,3.94132440,1.87146949,2.40689660,0.04480215,0.30124955,0.74916542,0.00000000
-5.00350175,3.97715916,1.90334962,2.42352887,0.04371503,0.30799483,0.75680678,0.00000000
-4.99749875,3.99397955,1.92791200,2.42840990,0.04248007,0.31350787,0.76085121,0.00000000
-4.99149575,3.99155168,1.94524867,2.42140975,0.04112784,0.31777379,0.76123640,0.00000000
-4.98549275,3.97003762,1.95561437,2.40263883,0.03969079,0.32080576,0.75797717,0.00000000
-4.97948974,3.92999067,1.95941456,2.37244522,0.03820220,0.32264401,0.75116511,0.00000000
-4.97348674,3.87233614,1.95718697,2.33140345,0.03669521,0.32335358,0.74096545,0.00000000
-4.96748374,3.79833866,1.94957723,2.28029528,0.03520175,0.32302105,0.72761106,0.00000000
-4.96148074,3.70955731,1.93730963,2.22008324,0.03375164,0.32175026,0.71139412,0.00000000
-4.95547774,3.60779077,1.92115447,2.15187822,0.03237171,0.31965737,0.69265559,0.00000000
-4.94947474,3.49501494,1.90189365,2.07690252,0.03108518,0.31686534,0.67177326,0.00000000
-4.94347174,3.37331619,1.88028600,1.99645017,0.02991109,0.31349820,0.64914877,0.00000000
-4.93746873,3.24482306,1.85703451,1.91184617,0.02886397,0.30967552,0.62519431,0.00000000
-4.93146573,3.11163996,1.83275690,1.82440668,0.02795374,0.30550715,0.60031965,0.00000000
-4.92546273,2.97578548,1.80796136,1.73540170,0.02718572,0.30108868,0.57492002,0.00000000
-4.91945973,2.83913830,1.78302862,1.64602199,0.02656095,0.29649792,0.54936546,0.00000000
-4.91345673,2.70339272,1.75820141,1.55735137,0.02607656,0.29179237,0.52399208,0.00000000
-4.90745373,2.57002545,1.73358183,1.47034548,0.02572639,0.28700801,0.49909543,0.00000000
-4.90145073,2.44027471,1.70913675,1.38581749,0.02550165,0.28215945,0.47492633,0.00000000
-4.89544772,2.31513164,1.68471083,1.30443106,0.02539176,0.27724123,0.45168909,0.00000000
-4.88944472,2.19534382,1.66004641,1.22670022,0.02538514,0.27223042,0.42954205,0.00000000
-4.88344172,2.08142956,1.63480890,1.15299575,0.02547006,0.26709018,0.40860022,0.00000000
-4.87743872,1.97370139,1.60861627,1.08355698,0.02563542,0.26177405,0.38893966,0.00000000
-4.87143572,1.87229673,1.58107075,1.01850807,0.02587152,0.25623082,0.37060326,0.00000000
-4.86543272,1.77721311,1.55179087,0.95787734,0.02617061,0.25040950,0.35360727,0.00000000
-4.85942971,1.68834573,1.52044198,0.90161828,0.02652740,0.24426426,0.33794827,0.00000000
-4.85342671,1.60552460,1.48676338,0.84963087,0.02693932,0.23775886,0.32361002,0.00000000
-4.84742371,1.52854918,1.45059062,0.80178192,0.02740663,0.23087053,0.31056960,0.00000000
-4.84142071,1.45721836,1.41187172,0.75792324,0.02793235,0.22359283,0.29880273,0.00000000
-4.83541771,1.39135439,1.37067639,0.71790676,0.02852193,0.21593757,0.28828774,0.00000000
-4.82941471,1.33081952,1.32719805,0.68159595,0.02918281,0.20793554,0.27900810,0.00000000
-4.82341171,1.27552492,1.28174849,0.64887315,0.02992381,0.19963616,0.27095339,0.00000000
-4.81740870,1.22543191,1.23474579,0.61964270,0.03075429,0.19110592,0.26411883,0.00000000
-4.81140570,1.18054589,1.18669636,0.59383012,0.03168335,0.18242605,0.25850334,0.00000000
-4.80540270,1.14090411,1.13817223,0.57137777,0.03271893,0.17368916,0.25410650,0.00000000
-4.79939970,1.10655839,1.08978505,0.55223759,0.03386681,0.16499552,0.25092460,0.00000000
-4.79339670,1.07755458,1.04215830,0.53636179,0.03512982,0.15644880,0.24894625,0.00000000
-4.78739370,1.05391040,0.99589951,0.52369240,0.03650700,0.14815183,0.24814776,0.00000000
-4.78139070,1.03559344,0.95157371,0.51415046,0.03799299,0.14020249,0.24848882,0.00000000
-4.77538769,1.02250100,0.90967979,0.50762596,0.03957754,0.13268991,0.24990873,0.00000000
-4.76938469,1.01444345,0.87063083,0.50396926,0.04124526,0.12569126,0.25232357,0.00000000
-4.76338169,1.01113210,0.83473925,0.50298460,0.04297561,0.11926923,0.25562449,0.00000000
-4.75737869,1.01217274,0.80220747,0.50442643,0.04474312,0.11347034,0.25967734,0.00000000
