energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-2.63231616,3.98797557,0.72550054,2.13393572,0.01756938,0.03139029,0.50651390,1.67756813,0.24928160,0.00000000
-2.62631316,4.00305501,0.73374242,2.14043716,0.01849240,0.03261944,0.51905863,1.68139893,0.25277244,0.00000000
-2.62031016,4.01948361,0.74240872,2.14812521,0.01947348,0.03385334,0.53151216,1.68590086,0.25608304,0.00000000
-2.61430715,4.03731354,0.75152742,2.15709477,0.02050180,0.03507546,0.54378875,1.69104087,0.25920553,0.00000000
-2.60830415,4.05659971,0.76112633,2.16745794,0.02156534,0.03626914,0.55579682,1.69677308,0.26213029,0.00000000
-2.60230115,4.07738395,0.77123082,2.17933921,0.02265111,0.03741774,0.56743790,1.70302998,0.26484476,0.00000000
-2.59629815,4.09967964,0.78186136,2.19286919,0.02374524,0.03850476,0.57860618,1.70971509,0.26733241,0.00000000
-2.59029515,4.12345755,0.79303077,2.20817707,0.02483313,0.03951410,0.58918857,1.71669747,0.26957211,0.00000000
-2.58429215,4.14863398,0.80474168,2.22538228,0.02589974,0.04043024,0.59906558,1.72380860,0.27153792,0.00000000
-2.57828914,4.17506176,0.81698394,2.24458553,0.02692974,0.04123857,0.60811294,1.73084178,0.27319921,0.00000000
-2.57228614,4.20252479,0.82973254,2.26585983,0.02790784,0.04192566,0.61620396,1.73755421,0.27452135,0.00000000
-2.56628314,4.23073633,0.84294590,2.28924188,0.02881907,0.04247962,0.62321265,1.74367177,0.27546674,0.00000000
-2.56028014,4.25934137,0.85656470,2.31472425,0.02964907,0.04289043,0.62901739,1.74889608,0.27599625,0.00000000
-2.55427714,4.28792272,0.87051151,2.34224886,0.03038444,0.04315029,0.63350510,1.75291363,0.27607094,0.00000000
-2.54827414,4.31601086,0.88469103,2.37170210,0.03101301,0.04325391,0.63657563,1.75540643,0.27565408,0.00000000
-2.54227114,4.34309675,0.89899119,2.40291200,0.03152422,0.04319882,0.63814620,1.75606355,0.27471315,0.00000000
-2.53626813,4.36864730,0.91328497,2.43564771,0.03190932,0.04298555,0.63815570,1.75459291,0.27322193,0.00000000
-2.53026513,4.39212249,0.92743307,2.46962149,0.03216168,0.04261777,0.63656859,1.75073284,0.27116239,0.00000000
-2.52426213,4.41299362,0.94128713,2.50449331,0.03227701,0.04210239,0.63337821,1.74426247,0.26852643,0.00000000
-2.51825913,4.43076176,0.95469366,2.53987799,0.03225346,0.04144942,0.62860930,1.73501075,0.26531717,0.00000000
-2.51225613,4.44497558,0.96749842,2.57535482,0.03209177,0.04067192,0.62231962,1.72286344,0.26154985,0.00000000
-2.50625313,4.45524797,0.97955113,2.61047922,0.03179527,0.03978568,0.61460056,1.70776784,0.25725229,0.00000000
-2.50025013,4.46127067,0.99071033,2.64479620,0.03136991,0.03880887,0.60557663,1.68973504,0.25246480,0.00000000
-2.49424712,4.46282635,1.00084829,2.67785491,0.03082406,0.03776166,0.59540390,1.66883969,0.24723954,0.00000000
-2.48824412,4.45979767,1.00985568,2.70922380,0.03016843,0.03666565,0.58426736,1.64521736,0.24163941,0.00000000
-2.48224112,4.45217305,1.01764573,2.73850552,0.02941583,0.03554333,0.57237728,1.61905981,0.23573649,0.00000000
-2.47623812,4.44004876,1.02415792,2.76535099,0.02858085,0.03441746,0.55996470,1.59060826,0.22961010,0.00000000
-2.47023512,4.42362718,1.02936070,2.78947164,0.02767959,0.03331047,0.54727619,1.56014537,0.22334451,0.00000000
-2.46423212,4.40321142,1.03325326,2.81064936,0.02672927,0.03224387,0.53456798,1.52798606,0.21702650,0.00000000
-2.45822911,4.37919605,1.03586608,2.82874332,0.02574788,0.03123760,0.52209975,1.49446783,0.21074282,0.00000000
-2.45222611,4.35205455,1.03726027,2.84369331,0.02475381,0.03030956,0.51012814,1.45994089,0.20457764,0.00000000
-2.44622311,4.32232341,1.03752551,2.85551920,0.02376543,0.02947512,0.49890025,1.42475863,0.19861008,0.00000000
-2.44022011,4.29058376,1.03677669,2.86431643,0.02280078,0.02874677,0.48864735,1.38926856,0.19291200,0.00000000
-2.43421711,4.25744084,1.03514937,2.87024771,0.02187723,0.02813378,0.47957886,1.35380429,0.18754606,0.00000000
-2.42821411,4.22350224,1.03279407,2.87353120,0.02101116,0.02764207,0.47187691,1.31867849,0.18256411,0.00000000
-2.42221111,4.18935567,1.02986976,2.87442593,0.02021773,0.02727414,0.46569163,1.28417726,0.17800601,0.00000000
-2.41620810,4.15554722,1.02653684,2.87321501,0.01951068,0.02702906,0.46113718,1.25055572,0.17389886,0.00000000
