energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.46073037,1.14995876,0.44339354,0.00824730,0.55121952,0.29988942,0.01247987,0.50098931
-3.45472736,1.14078573,0.42925395,0.00811110,0.55290062,0.29131892,0.01290839,0.51108667
-3.44872436,1.13082953,0.41511036,0.00794856,0.55417342,0.28276952,0.01337826,0.51998815
-3.44272136,1.12004400,0.40107524,0.00776257,0.55483083,0.27427292,0.01387824,0.52756028
-3.43671836,1.10835396,0.38724369,0.00755615,0.55465905,0.26585471,0.01439575,0.53366932
-3.43071536,1.09565898,0.37369189,0.00733239,0.55344604,0.25753492,0.01491719,0.53818429
-3.42471236,1.08183878,0.36047633,0.00709428,0.55099026,0.24932886,0.01542830,0.54098061
-3.41870935,1.06676032,0.34763405,0.00684475,0.54710908,0.24124813,0.01591458,0.54194428
-3.41270635,1.05028634,0.33518377,0.00658650,0.54164680,0.23330190,0.01636173,0.54097635
-3.40670335,1.03228508,0.32312794,0.00632204,0.53448171,0.22549848,0.01675602,0.53799749
-3.40070035,1.01264068,0.31145572,0.00605363,0.52553209,0.21784703,0.01708474,0.53295257
-3.39469735,0.99126401,0.30014659,0.00578328,0.51476086,0.21035947,0.01733661,0.52581475
-3.38869435,0.96810306,0.28917452,0.00551279,0.50217864,0.20305250,0.01750206,0.51658915
-3.38269135,0.94315267,0.27851245,0.00524371,0.48784519,0.19594953,0.01757358,0.50531552
-3.37668834,0.91646279,0.26813683,0.00497747,0.47186908,0.18908252,0.01754595,0.49207000
-3.37068534,0.88814483,0.25803192,0.00471532,0.45440573,0.18249360,0.01741632,0.47696566
-3.36468234,0.85837579,0.24819367,0.00445845,0.43565386,0.17623626,0.01718437,0.46015175
-3.35867934,0.82739965,0.23863296,0.00420799,0.41585047,0.17037607,0.01685224,0.44181171
-3.35267634,0.79552602,0.22937798,0.00396503,0.39526476,0.16499090,0.01642442,0.42215984
-3.34667334,0.76312592,0.22047559,0.00373071,0.37419099,0.16017037,0.01590763,0.40143690
-3.34067034,0.73062477,0.21199172,0.00350617,0.35294089,0.15601477,0.01531050,0.37990472
-3.33466733,0.69849298,0.20401066,0.00329256,0.33183571,0.15263319,0.01464333,0.35784004
