energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.98149075,2.13098618,-3.66202736,0.03200530,-0.01933486,0.10109442,-0.15032398,0.51378328,-1.03002367,0.83034473,-1.71244235,0.73996663,-0.92610997,1.04741479,-1.44297023,0.19312085,-0.39273001,0.00000000,-0.00000000
0.98749375,2.05844117,-3.62515286,0.03336032,-0.01928852,0.09925503,-0.15194814,0.49238501,-1.02031706,0.81403042,-1.70230354,0.69784734,-0.90374424,0.99266835,-1.41382292,0.19182852,-0.38679596,0.00000000,-0.00000000
0.99349675,1.99024563,-3.59038088,0.03491687,-0.01933982,0.09728174,-0.15306619,0.47174560,-1.01006326,0.80079964,-1.69186659,0.65606983,-0.88500376,0.93810574,-1.38819592,0.19140482,-0.37967592,0.00000000,-0.00000000
0.99949975,1.92686046,-3.55756200,0.03667315,-0.01948869,0.09516523,-0.15367588,0.45195180,-0.99928461,0.79064823,-1.68104674,0.61508536,-0.86975806,0.88423363,-1.36609321,0.19186039,-0.37144380,0.00000000,-0.00000000
1.00550275,1.86873619,-3.52643683,0.03862211,-0.01973283,0.09290355,-0.15378310,0.43310517,-0.98800517,0.78355271,-1.66972109,0.57533878,-0.85779366,0.83156991,-1.34743067,0.19320670,-0.36219251,0.00000000,-0.00000000
1.01150575,1.81631005,-3.49665277,0.04075143,-0.02006764,0.09050262,-0.15340161,0.41532160,-0.97625117,0.77947282,-1.65773523,0.53726183,-0.84882705,0.78063477,-1.33204511,0.19545692,-0.35203255,0.00000000,-0.00000000
1.01750875,1.77000246,-3.46778411,0.04304356,-0.02048627,0.08797639,-0.15255252,0.39873012,-0.96405120,0.77835393,-1.64491152,0.50126709,-0.84251920,0.73194186,-1.31970549,0.19862640,-0.34109004,0.00000000,-0.00000000
1.02351176,1.73021315,-3.43935499,0.04547600,-0.02097975,0.08534671,-0.15126362,0.38347152,-0.95143657,0.78012943,-1.63105896,0.46774311,-0.83849102,0.68598995,-1.31012597,0.20273255,-0.32950438,0.00000000,-0.00000000
1.02951476,1.69731729,-3.41086434,0.04802174,-0.02153712,0.08264281,-0.14956866,0.36969648,-0.93844170,0.78472292,-1.61598401,0.43705063,-0.83633925,0.64325534,-1.30298030,0.20779432,-0.31742546,0.00000000,-0.00000000
1.03551776,1.67166146,-3.38181206,0.05064979,-0.02214580,0.07990055,-0.14750651,0.35756349,-0.92510463,0.79205033,-1.59950214,0.40952001,-0.83565209,0.60418519,-1.29791708,0.21383105,-0.30501072,0.00000000,-0.00000000
