energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-5.03951976,2.40406576,0.25592151,0.00000000,1.27596444,1.07143627,0.96112290,0.00000000
-5.03351676,2.47079947,0.26471495,0.00000000,1.30480720,1.10923897,0.98412924,0.00000000
-5.02751376,2.55131348,0.27675485,0.00000000,1.33649371,1.15706923,1.01011888,0.00000000
-5.02151076,2.64521401,0.29200833,0.00000000,1.37081412,1.21477130,1.03891771,0.00000000
-5.01550775,2.75185236,0.31037667,0.00000000,1.40750650,1.28198833,1.07030697,0.00000000
-5.00950475,2.87030845,0.33169461,0.00000000,1.44624924,1.35815690,1.10401488,0.00000000
-5.00350175,2.99937839,0.35573082,0.00000000,1.48665376,1.44250495,1.13970890,0.00000000
-4.99749875,3.13756769,0.38218953,0.00000000,1.52825865,1.53405385,1.17698929,0.00000000
-4.99149575,3.28309190,0.41071362,0.00000000,1.57052599,1.63162516,1.21538479,0.00000000
-4.98549275,3.43388610,0.44088916,0.00000000,1.61284056,1.73385266,1.25435116,0.00000000
-4.97948974,3.58762458,0.47225144,0.00000000,1.65451285,1.83920014,1.29327313,0.00000000
-4.97348674,3.74175151,0.50429261,0.00000000,1.69478617,1.94598499,1.33147026,0.00000000
-4.96748374,3.89352293,0.53647085,0.00000000,1.73284819,2.05240771,1.36820690,0.00000000
-4.96148074,4.04005962,0.56822090,0.00000000,1.76784695,2.15658700,1.40270623,0.00000000
-4.95547774,4.17840995,0.59896587,0.00000000,1.79891084,2.25659971,1.43416802,0.00000000
-4.94947474,4.30562095,0.62813008,0.00000000,1.82517202,2.35052470,1.46178968,0.00000000
-4.94347174,4.41881533,0.65515244,0.00000000,1.84579239,2.43648953,1.48478955,0.00000000
-4.93746873,4.51527157,0.67950021,0.00000000,1.85999099,2.51271826,1.50243172,0.00000000
-4.93146573,4.59250409,0.70068256,0.00000000,1.86707144,2.57757894,1.51405094,0.00000000
-4.92546273,4.64833995,0.71826345,0.00000000,1.86644837,2.62962888,1.51907667,0.00000000
-4.91945973,4.68098887,0.73187357,0.00000000,1.85767127,2.66765604,1.51705482,0.00000000
-4.91345673,4.68910336,0.74122065,0.00000000,1.84044470,2.69071486,1.50766629,0.00000000
-4.90745373,4.67182638,0.74609795,0.00000000,1.81464394,2.69815514,1.49074118,0.00000000
-4.90145073,4.62882417,0.74639055,0.00000000,1.78032512,2.68964268,1.46626802,0.00000000
-4.89544772,4.56030301,0.74207914,0.00000000,1.73772964,2.66517096,1.43439752,0.00000000
-4.88944472,4.46700920,0.73324141,0.00000000,1.68728259,2.62506348,1.39544071,0.00000000
-4.88344172,4.35021236,0.72005078,0.00000000,1.62958546,2.56996657,1.34986151,0.00000000
-4.87743872,4.21167324,0.70277276,0.00000000,1.56540372,2.50083340,1.29826420,0.00000000
-4.87143572,4.05359760,0.68175912,0.00000000,1.49565003,2.41889977,1.24137649,0.00000000
-4.86543272,3.87857873,0.65744017,0.00000000,1.42136406,2.32565316,1.18002902,0.00000000
-4.85942971,3.68953138,0.63031561,0.00000000,1.34369027,2.22279622,1.11513238,0.00000000
-4.85342671,3.48962032,0.60094433,0.00000000,1.26385470,2.11220681,1.04765270,0.00000000
-4.84742371,3.28218685,0.56993371,0.00000000,1.18314208,1.99589594,0.97858704,0.00000000
-4.84142071,3.07067643,0.53792891,0.00000000,1.10287435,1.87596582,0.90893962,0.00000000
-4.83541771,2.85857037,0.50560246,0.00000000,1.02439155,1.75456928,0.83969984,0.00000000
-4.82941471,2.64932404,0.47364476,0.00000000,0.94903578,1.63387243,0.77182293,0.00000000
-4.82341171,2.44631346,0.44275548,0.00000000,0.87813858,1.51602128,0.70621378,0.00000000
-4.81740870,2.25279153,0.41363630,0.00000000,0.81301188,1.40311346,0.64371436,0.00000000
-4.81140570,2.07185420,0.38698476,0.00000000,0.75494233,1.29717517,0.58509483,0.00000000
-4.80540270,1.90641647,0.36348941,0.00000000,0.70518828,1.20014332,0.53104821,0.00000000
-4.79939970,1.75919696,0.34382566,0.00000000,0.66497875,1.11385248,0.48218825,0.00000000
-4.79339670,1.63270955,0.32865237,0.00000000,0.63551317,1.04002563,0.43905005,0.00000000
-4.78739370,1.52925991,0.31860840,0.00000000,0.61796074,0.98026754,0.40209277,0.00000000
-4.78139070,1.45094433,0.31430877,0.00000000,0.61345795,0.93605951,0.37170353,0.00000000
-4.77538769,1.39964833,0.31633994,0.00000000,0.62310296,0.90875367,0.34820194,0.00000000
-4.76938469,1.37704237,0.32525350,0.00000000,0.64794564,0.89956563,0.33184430,0.00000000
-4.76338169,1.38457226,0.34155806,0.00000000,0.68897220,0.90956383,0.32282682,0.00000000
-4.75737869,1.42344257,0.36570881,0.00000000,0.74708366,0.93965471,0.32128731,0.00000000
-4.75137569,1.49459156,0.39809478,0.00000000,0.82306796,0.99056279,0.32730489,0.00000000
-4.74537269,1.59865746,0.43902363,0.00000000,0.91756576,1.06280551,0.34089746,0.00000000
-4.73936968,1.73593617,0.48870451,0.00000000,1.03103071,1.15666322,0.36201694,0.00000000
-4.73336668,1.90633216,0.54722923,0.00000000,1.16368542,1.27214504,0.39054253,0.00000000
-4.72736368,2.10930458,0.61455272,0.00000000,1.31547500,1.40895233,0.42627229,0.00000000
-4.72136068,2.34381192,0.69047367,0.00000000,1.48602036,1.56644168,0.46891389,0.00000000
-4.71535768,2.60825907,0.77461652,0.00000000,1.67457413,1.74359000,0.51807510,0.00000000
-4.70935468,2.90045123,0.86641623,0.00000000,1.87998219,1.93896464,0.57325503,0.00000000
-4.70335168,3.21755927,0.96510694,0.00000000,2.10065384,2.15070143,0.63383725,0.00000000
-4.69734867,3.55610132,1.06971612,0.00000000,2.33454387,2.37649377,0.69908555,0.00000000
-4.69134567,3.91194458,1.17906530,0.00000000,2.57914924,2.61359541,0.76814341,0.00000000
-4.68534267,4.28033129,1.29177828,0.00000000,2.83152274,2.85883928,0.84003798,0.00000000
-4.67933967,4.65593096,1.40629767,0.00000000,3.08830530,3.10867386,0.91368914,0.00000000
-4.67333667,5.03292050,1.52090995,0.00000000,3.34577775,3.35921801,0.98792399,0.00000000
-4.66733367,5.40509174,1.63377885,0.00000000,3.59993192,3.60633378,1.06149672,0.00000000
-4.66133067,5.76598462,1.74298656,0.00000000,3.84655974,3.84571615,1.13311383,0.00000000
-4.65532766,6.10904251,1.84658154,0.00000000,4.08135813,4.07299710,1.20146378,0.00000000
-4.64932466,6.42778472,1.94263128,0.00000000,4.30004618,4.28386074,1.26525035,0.00000000
-4.64332166,6.71598979,2.02927832,0.00000000,4.49849049,4.47416524,1.32322847,0.00000000
-4.63731866,6.96788213,2.10479697,0.00000000,4.67283369,4.64006652,1.37424095,0.00000000
-4.63131566,7.17831421,2.16764849,0.00000000,4.81962056,4.77813849,1.41725480,0.00000000
-4.62531266,7.34293575,2.21653210,0.00000000,4.93591642,4.88548428,1.45139524,0.00000000
-4.61930965,7.45834234,2.25042959,0.00000000,5.01941211,4.95983331,1.47597604,0.00000000
-4.61330665,7.52219605,2.26864127,0.00000000,5.06851080,4.99961940,1.49052451,0.00000000
-4.60730365,7.53331222,2.27081150,0.00000000,5.08239231,5.00403612,1.49480014,0.00000000
-4.60130065,7.49170797,2.25694263,0.00000000,5.06105187,4.97306654,1.48880569,0.00000000
-4.59529765,7.39860991,2.22739644,0.00000000,5.00531126,4.90748576,1.47279041,0.00000000
-4.58929465,7.25642040,2.18288318,0.00000000,4.91680183,4.80883603,1.44724489,0.00000000
-4.58329165,7.06864395,2.12443858,0.00000000,4.79791995,4.67937554,1.41288796,0.00000000
-4.57728864,6.83977692,2.05338992,0.00000000,4.65175693,4.52200337,1.37064603,0.00000000
-4.57128564,6.57516561,1.97131280,0.00000000,4.48200657,4.34016392,1.32162586,0.00000000
-4.56528264,6.28083917,1.87998055,0.00000000,4.29285432,4.13773537,1.26708183,0.00000000
-4.55927964,5.96332444,1.78130857,0.00000000,4.08885275,3.91890715,1.20837912,0.00000000
-4.55327664,5.62945071,1.67729598,0.00000000,3.87478855,3.68805171,1.14695423,0.00000000
-4.54727364,5.28615214,1.56996711,0.00000000,3.65554604,3.44959592,1.08427440,0.00000000
-4.54127064,4.94027533,1.46131487,0.00000000,3.43597240,3.20789718,1.02179725,0.00000000
-4.53526763,4.59839872,1.35324833,0.00000000,3.22074902,2.96712870,0.96093214,0.00000000
-4.52926463,4.26666961,1.24754602,0.00000000,3.01427296,2.73117777,0.90300421,0.00000000
-4.52326163,3.95066321,1.14581629,0.00000000,2.82055179,2.50355974,0.84922224,0.00000000
-4.51725863,3.65526670,1.04946574,0.00000000,2.64311403,2.28734983,0.80065089,0.00000000
-4.51125563,3.38459036,0.95967592,0.00000000,2.48493687,2.08513351,0.75818786,0.00000000
-4.50525263,3.14190603,0.87738867,0.00000000,2.34839190,1.89897566,0.72254630,0.00000000
-4.49924962,2.92961254,0.80329947,0.00000000,2.23520895,1.73040770,0.69424249,0.00000000
-4.49324662,2.74922655,0.73785843,0.00000000,2.14645772,1.58043124,0.67358879,0.00000000
-4.48724362,2.60139678,0.68127800,0.00000000,2.08254617,1.44953648,0.66069163,0.00000000
-4.48124062,2.48593894,0.63354648,0.00000000,2.04323480,1.33773308,0.65545444,0.00000000
-4.47523762,2.40188880,0.59444629,0.00000000,2.02766530,1.24459117,0.65758497,0.00000000
-4.46923462,2.34757038,0.56357593,0.00000000,2.03440238,1.16929017,0.66660704,0.00000000
-4.46323162,2.32067663,0.54037473,0.00000000,2.06148729,1.11067313,0.68187605,0.00000000
-4.45722861,2.31835998,0.52414943,0.00000000,2.10650177,1.06730463,0.70259810,0.00000000
-4.45122561,2.33733029,0.51410174,0.00000000,2.16664079,1.03753034,0.72785232,0.00000000
-4.44522261,2.37395813,0.50935626,0.00000000,2.23879296,1.01953675,0.75661589,0.00000000
-4.43921961,2.42438107,0.50898812,0.00000000,2.31962670,1.01140976,0.78779142,0.00000000
-4.43321661,2.48461121,0.51204983,0.00000000,2.40568084,1.01119109,0.82023605,0.00000000
-4.42721361,2.55064172,0.51759684,0.00000000,2.49345742,1.01693165,0.85279165,0.00000000
-4.42121061,2.61855055,0.52471158,0.00000000,2.57951500,1.02674106,0.88431550,0.00000000
-4.41520760,2.68459921,0.53252549,0.00000000,2.66055983,1.03883284,0.91371046,0.00000000
-4.40920460,2.74532447,0.54023873,0.00000000,2.73353286,1.05156455,0.93995402,0.00000000
-4.40320160,2.79762088,0.54713735,0.00000000,2.79568982,1.06347259,0.96212517,0.00000000
-4.39719860,2.83881211,0.55260763,0.00000000,2.84467207,1.07330099,0.97942820,0.00000000
-4.39119560,2.86670919,0.55614726,0.00000000,2.87856588,1.08002395,0.99121282,0.00000000
-4.38519260,2.87965399,0.55737331,0.00000000,2.89594809,1.08286183,0.99698955,0.00000000
-4.37918959,2.87654671,0.55602665,0.00000000,2.89591654,1.08129016,0.99644016,0.00000000
-4.37318659,2.85685653,0.55197307,0.00000000,2.87810417,1.07504185,0.98942244,0.00000000
-4.36718359,2.82061523,0.54520070,0.00000000,2.84267628,1.06410231,0.97596938,0.00000000
-4.36118059,2.76839407,0.53581426,0.00000000,2.79031111,1.04869806,0.95628272,0.00000000
-4.35517759,2.70126493,0.52402608,0.00000000,2.72216458,1.02927880,0.93072120,0.00000000
-4.34917459,2.62074734,0.51014433,0.00000000,2.63982074,1.00649387,0.89978407,0.00000000
-4.34317159,2.52874343,0.49455879,0.00000000,2.54522995,0.98116359,0.86409059,0.00000000
-4.33716858,2.42746340,0.47772477,0.00000000,2.44063749,0.95424647,0.82435650,0.00000000
-4.33116558,2.31934444,0.46014555,0.00000000,2.32850532,0.92680327,0.78136841,0.00000000
-4.32516258,2.20696618,0.44235407,0.00000000,2.21143043,0.89995899,0.73595728,0.00000000
