energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-4.45722861,0.82170800,0.36351201,0.04552106,0.11612888,0.00000000,0.40203729,0.00000000
-4.45122561,0.88914232,0.40123824,0.04889349,0.12694795,0.00000000,0.43344231,0.00000000
-4.44522261,0.95896533,0.44061618,0.05235208,0.13800287,0.00000000,0.46610597,0.00000000
-4.43921961,1.03008109,0.48123880,0.05583473,0.14916029,0.00000000,0.49946250,0.00000000
-4.43321661,1.10133956,0.52264504,0.05927839,0.16027674,0.00000000,0.53292183,0.00000000
-4.42721361,1.17155932,0.56432588,0.06262054,0.17120139,0.00000000,0.56588125,0.00000000
-4.42121061,1.23955253,0.60573256,0.06580077,0.18177913,0.00000000,0.59773803,0.00000000
-4.41520760,1.30415160,0.64628660,0.06876234,0.19185398,0.00000000,0.62790294,0.00000000
-4.40920460,1.36423672,0.68539160,0.07145371,0.20127264,0.00000000,0.65581398,0.00000000
-4.40320160,1.41876318,0.72244640,0.07382992,0.20988819,0.00000000,0.68095015,0.00000000
-4.39719860,1.46678754,0.75685926,0.07585385,0.21756358,0.00000000,0.70284443,0.00000000
-4.39119560,1.50749165,0.78806253,0.07749719,0.22417512,0.00000000,0.72109568,0.00000000
-4.38519260,1.54020330,0.81552743,0.07874118,0.22961546,0.00000000,0.73537882,0.00000000
-4.37918959,1.56441287,0.83877825,0.07957693,0.23379633,0.00000000,0.74545287,0.00000000
-4.37318659,1.57978503,0.85740550,0.08000550,0.23665063,0.00000000,0.75116653,0.00000000
-4.36718359,1.58616505,0.87107750,0.08003751,0.23813406,0.00000000,0.75246087,0.00000000
-4.36118059,1.58357939,0.87954983,0.07969249,0.23822600,0.00000000,0.74936917,0.00000000
-4.35517759,1.57223057,0.88267247,0.07899784,0.23692983,0.00000000,0.74201380,0.00000000
-4.34917459,1.55248644,0.88039399,0.07798754,0.23427256,0.00000000,0.73060022,0.00000000
-4.34317159,1.52486452,0.87276298,0.07670062,0.23030386,0.00000000,0.71540846,0.00000000
