energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.54977489,1.13712017,0.06418110,0.00227649,0.00214236,0.70883467,0.54653269,0.45237909
-5.54377189,1.07935265,0.06069602,0.00229147,0.00223854,0.66133965,0.52006368,0.42471072
-5.53776888,1.02177155,0.05710774,0.00230680,0.00237239,0.61394760,0.49404623,0.39696067
-5.53176588,0.96496712,0.05346301,0.00232246,0.00254699,0.56714167,0.46875056,0.36941254
-5.52576288,0.90948499,0.04980952,0.00233824,0.00276532,0.52137699,0.44441088,0.34233545
-5.51975988,0.85581039,0.04619435,0.00235380,0.00303006,0.47706977,0.42121966,0.31597698
-5.51375688,0.80435551,0.04266250,0.00236859,0.00334352,0.43458832,0.39932368,0.29055736
-5.50775388,0.75545048,0.03925558,0.00238194,0.00370739,0.39424608,0.37882218,0.26626493
-5.50175088,0.70933824,0.03601062,0.00239300,0.00412262,0.35629703,0.35976702,0.24325307
-5.49574787,0.66617333,0.03295923,0.00240083,0.00458921,0.32093331,0.34216471,0.22163865
-5.48974487,0.62602447,0.03012688,0.00240440,0.00510611,0.28828514,0.32598021,0.20150198
-5.48374187,0.58888051,0.02753252,0.00240265,0.00567102,0.25842278,0.31114220,0.18288802
-5.47773887,0.55465928,0.02518842,0.00239457,0.00628035,0.23136036,0.29754947,0.16580894
-5.47173587,0.52321874,0.02310024,0.00237920,0.00692911,0.20706119,0.28507815,0.15024758
-5.46573287,0.49436970,0.02126735,0.00235569,0.00761092,0.18544441,0.27358932,0.13616169
-5.45972986,0.46788945,0.01968332,0.00232337,0.00831804,0.16639239,0.26293672,0.12348877
-5.45372686,0.44353560,0.01833655,0.00228177,0.00904147,0.14975880,0.25297418,0.11215115
-5.44772386,0.42105960,0.01721106,0.00223065,0.00977109,0.13537687,0.24356252,0.10206118
-5.44172086,0.40021931,0.01628732,0.00217002,0.01049589,0.12306765,0.23457576,0.09312629
-5.43571786,0.38079033,0.01554315,0.00210015,0.01120426,0.11264797,0.22590627,0.08525379
-5.42971486,0.36257568,0.01495466,0.00202155,0.01188427,0.10393809,0.21746908,0.07835531
-5.42371186,0.34541387,0.01449712,0.00193499,0.01252409,0.09676857,0.20920500,0.07235074
-5.41770885,0.32918504,0.01414587,0.00184143,0.01311236,0.09098667,0.20108285,0.06717162
-5.41170585,0.31381546,0.01387709,0.00174203,0.01363861,0.08646181,0.19310064,0.06276401
-5.40570285,0.29928034,0.01366858,0.00163809,0.01409366,0.08309036,0.18528596,0.05909082
-5.39969985,0.28560522,0.01350035,0.00153100,0.01447007,0.08079956,0.17769565,0.05613356
-5.39369685,0.27286604,0.01335521,0.00142224,0.01476246,0.07955060,0.17041481,0.05389363
-5.38769385,0.26118814,0.01321918,0.00131326,0.01496784,0.07934080,0.16355540,0.05239300
-5.38169085,0.25074436,0.01308184,0.00120552,0.01508591,0.08020499,0.15725429,0.05167458
-5.37568784,0.24175230,0.01293653,0.00110040,0.01511920,0.08221588,0.15167118,0.05180190
-5.36968484,0.23447091,0.01278047,0.00099920,0.01507322,0.08548345,0.14698599,0.05285845
-5.36368184,0.22919634,0.01261475,0.00090310,0.01495645,0.09015338,0.14339612,0.05494639
-5.35767884,0.22625716,0.01244425,0.00081314,0.01478028,0.09640425,0.14111326,0.05818474
-5.35167584,0.22600871,0.01227748,0.00073025,0.01455885,0.10444366,0.14035985,0.06270693
-5.34567284,0.22882663,0.01212625,0.00065518,0.01430877,0.11450305,0.14136506,0.06865770
-5.33966983,0.23509938,0.01200539,0.00058858,0.01404884,0.12683130,0.14436021,0.07618930
-5.33366683,0.24521968,0.01193230,0.00053096,0.01379957,0.14168696,0.14957361,0.08545693
-5.32766383,0.25957481,0.01192653,0.00048270,0.01358277,0.15932930,0.15722477,0.09661349
-5.32166083,0.27853567,0.01200921,0.00044410,0.01342097,0.18000824,0.16751787,0.10980366
-5.31565783,0.30244479,0.01220253,0.00041537,0.01333686,0.20395323,0.18063476,0.12515733
-5.30965483,0.33160332,0.01252917,0.00039664,0.01335270,0.23136147,0.19672735,0.14278266
-5.30365183,0.36625730,0.01301163,0.00038801,0.01348967,0.26238567,0.21590970,0.16275872
-5.29764882,0.40658357,0.01367164,0.00038952,0.01376721,0.29712189,0.23825011,0.18512829
-5.29164582,0.45267571,0.01452953,0.00040119,0.01420247,0.33559770,0.26376322,0.20989075
-5.28564282,0.50453062,0.01560351,0.00042298,0.01480962,0.37776149,0.29240285,0.23699563
-5.27963982,0.56203634,0.01690912,0.00045486,0.01559932,0.42347318,0.32405568,0.26633707
-5.27363682,0.62496168,0.01845853,0.00049673,0.01657822,0.47249709,0.35853623,0.29774955
-5.26763382,0.69294849,0.02026000,0.00054847,0.01774848,0.52449740,0.39558368,0.33100529
-5.26163082,0.76550696,0.02231732,0.00060990,0.01910742,0.57903674,0.43486069,0.36581351
-5.25562781,0.84201473,0.02462931,0.00068076,0.02064729,0.63557821,0.47595467,0.40182186
-5.24962481,0.92172015,0.02718947,0.00076072,0.02235511,0.69349111,0.51838169,0.43862028
-5.24362181,1.00374990,0.02998563,0.00084933,0.02421272,0.75206051,0.56159314,0.47574709
-5.23761881,1.08712124,0.03299976,0.00094604,0.02619692,0.81050052,0.60498512,0.51269756
-5.23161581,1.17075864,0.03620801,0.00105014,0.02827980,0.86797104,0.64791044,0.54893459
-5.22561281,1.25351454,0.03958070,0.00116079,0.03042923,0.92359742,0.68969296,0.58390128
-5.21960980,1.33419375,0.04308266,0.00127700,0.03260948,0.97649262,0.72964381,0.61703495
-5.21360680,1.41158062,0.04667364,0.00139760,0.03478209,1.02578081,0.76707901,0.64778220
