energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.72386193,2.63258590,0.00518502,0.19582024,0.50002514,1.37394907,0.03230594,0.91752448
-5.71785893,2.62917868,0.00517981,0.18309608,0.48012268,1.38130559,0.03213713,0.92355871
-5.71185593,2.64110790,0.00520830,0.17241262,0.46408760,1.39664350,0.03214046,0.93390914
-5.70585293,2.66780420,0.00527252,0.16376641,0.45175784,1.41958766,0.03230717,0.94841952
-5.69984992,2.70832920,0.00537364,0.15712878,0.44292418,1.44956389,0.03262464,0.96680158
-5.69384692,2.76139898,0.00551198,0.15244687,0.43733317,1.48581264,0.03307672,0.98864374
-5.68784392,2.82542069,0.00568708,0.14964520,0.43469220,1.52740949,0.03364420,1.01342472
-5.68184092,2.89854020,0.00589773,0.14862756,0.43467630,1.57329147,0.03430546,1.04053149
-5.67583792,2.97869852,0.00614209,0.14927912,0.43693639,1.62228802,0.03503712,1.06928055
-5.66983492,3.06369434,0.00641777,0.15146874,0.44110835,1.67315521,0.03581490,1.09894170
-5.66383192,3.15125005,0.00672194,0.15505117,0.44682275,1.72461172,0.03661434,1.12876306
-5.65782891,3.23907840,0.00705150,0.15986940,0.45371446,1.77537521,0.03741167,1.15799642
-5.65182591,3.32494753,0.00740318,0.16575684,0.46143206,1.82419761,0.03818458,1.18592180
-5.64582291,3.40674186,0.00777370,0.17253960,0.46964653,1.86989824,0.03891292,1.21187043
-5.63981991,3.48251716,0.00815990,0.18003871,0.47805910,1.91139360,0.03957933,1.23524526
-5.63381691,3.55054843,0.00855887,0.18807246,0.48640785,1.94772314,0.04016980,1.25553842
-5.62781391,3.60936933,0.00896809,0.19645881,0.49447325,1.97807046,0.04067408,1.27234527
-5.62181091,3.65780299,0.00938552,0.20501800,0.50208219,2.00177954,0.04108597,1.28537473
-5.61580790,3.69498369,0.00980974,0.21357530,0.50911085,2.01836610,0.04140352,1.29445576
-5.60980490,3.72036985,0.01024001,0.22196399,0.51548614,2.02752405,0.04162910,1.29954013
-5.60380190,3.73374862,0.01067633,0.23002843,0.52118591,2.02912746,0.04176933,1.30070168
-5.59779890,3.73523268,0.01111947,0.23762728,0.52623792,2.02322837,0.04183498,1.29813221
-5.59179590,3.72524994,0.01157097,0.24463662,0.53071767,2.01005083,0.04184068,1.29213447
-5.58579290,3.70452694,0.01203309,0.25095301,0.53474502,1.98998184,0.04180464,1.28311247
-5.57978989,3.67406635,0.01250878,0.25649624,0.53847983,1.96355937,0.04174821,1.27155963
-5.57378689,3.63511952,0.01300150,0.26121162,0.54211650,1.93145814,0.04169545,1.25804494
-5.56778389,3.58915435,0.01351510,0.26507167,0.54587757,1.89447329,0.04167257,1.24319762
-5.56178089,3.53781908,0.01405363,0.26807710,0.55000635,1.85350233,0.04170734,1.22769044
-5.55577789,3.48290251,0.01462108,0.27025695,0.55475881,1.80952573,0.04182849,1.21222217
-5.54977489,3.42629115,0.01522115,0.27166774,0.56039469,1.76358612,0.04206501,1.19749932
-5.54377189,3.36992387,0.01585695,0.27239174,0.56716813,1.71676666,0.04244543,1.18421761
-5.53776888,3.31574484,0.01653073,0.27253427,0.57531805,1.67016865,0.04299712,1.17304342
-5.53176588,3.26565581,0.01724362,0.27222014,0.58505850,1.62488876,0.04374553,1.16459569
