energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.25162581,2.12998777,0.89982706,0.39618037,0.54959530,0.11080132,0.00932999,0.51419642,0.04013405,0.69947741
-1.24562281,2.20073013,0.90562283,0.40497415,0.57091228,0.11527630,0.00822629,0.53990315,0.04246254,0.71800768
-1.23961981,2.27385103,0.91467229,0.41455583,0.59198702,0.11990657,0.00723121,0.56435748,0.04485214,0.73846737
-1.23361681,2.34829570,0.92664544,0.42474864,0.61252598,0.12463569,0.00634503,0.58722637,0.04729909,0.76055524
-1.22761381,2.42290547,0.94112384,0.43534486,0.63222796,0.12940228,0.00556593,0.60819775,0.04979885,0.78390699
-1.22161081,2.49644378,0.95761351,0.44611109,0.65079074,0.13414110,0.00489036,0.62698784,0.05234557,0.80810344
-1.21560780,2.56762482,0.97555981,0.45679437,0.66791791,0.13878425,0.00431331,0.64334783,0.05493145,0.83268046
-1.20960480,2.63514384,0.99436378,0.46712892,0.68332569,0.14326238,0.00382870,0.65706953,0.05754615,0.85714021
-1.20360180,2.69770812,1.01339936,0.47684332,0.69674947,0.14750609,0.00342962,0.66798996,0.06017631,0.88096340
-1.19759880,2.75406802,1.03203082,0.48566790,0.70794995,0.15144720,0.00310868,0.67599455,0.06280513,0.90362226
-1.19159580,2.80304684,1.04962992,0.49334209,0.71671858,0.15502022,0.00285823,0.68101898,0.06541216,0.92459385
-1.18559280,2.84356911,1.06559228,0.49962156,0.72288240,0.15816358,0.00267058,0.68304950,0.06797329,0.94337328
-1.17958979,2.87468625,1.07935236,0.50428494,0.72630793,0.16082097,0.00253823,0.68212193,0.07046083,0.95948661
-1.17358679,2.89559923,1.09039690,0.50713985,0.72690413,0.16294252,0.00245395,0.67831920,0.07284401,0.97250297
-1.16758379,2.90567752,1.09827640,0.50802822,0.72462448,0.16448582,0.00241101,0.67176785,0.07508949,0.98204560
-1.16158079,2.90447403,1.10261438,0.50683056,0.71946796,0.16541687,0.00240319,0.66263345,0.07716222,0.98780154
-1.15557779,2.89173572,1.10311448,0.50346928,0.71147918,0.16571085,0.00242497,0.65111537,0.07902642,0.98952972
