energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-4.62531266,1.01860053,0.00463231,0.00000000,0.00394078,0.83663964,0.68224352,0.41810096
-4.61930965,1.04429703,0.00504383,0.00000000,0.00422368,0.85574484,0.70322685,0.42515881
-4.61330665,1.07637898,0.00548376,0.00000000,0.00450802,0.88025141,0.72736398,0.43555525
-4.60730365,1.11420596,0.00594880,0.00000000,0.00478899,0.90966728,0.75413295,0.44914314
-4.60130065,1.15697124,0.00643553,0.00000000,0.00506191,0.94335593,0.78294057,0.46567416
-4.59529765,1.20372163,0.00694059,0.00000000,0.00532237,0.98055206,0.81313856,0.48480482
-4.58929465,1.25338302,0.00746098,0.00000000,0.00556636,1.02038200,0.84404246,0.50610565
-4.58329165,1.30479102,0.00799430,0.00000000,0.00579040,1.06188836,0.87495284,0.52907330
-4.57728864,1.35672580,0.00853911,0.00000000,0.00599168,1.10405842,0.90517820,0.55314527
-4.57128564,1.40795004,0.00909518,0.00000000,0.00616815,1.14585513,0.93405864,0.57771685
-4.56528264,1.45724882,0.00966384,0.00000000,0.00631863,1.18624999,0.96098966,0.60215983
-4.55927964,1.50347003,0.01024821,0.00000000,0.00644285,1.22425658,0.98544517,0.62584231
-4.55327664,1.54556389,0.01085352,0.00000000,0.00654148,1.25896351,1.00699878,0.64814896
-4.54727364,1.58262006,0.01148718,0.00000000,0.00661614,1.28956573,1.02534252,0.66850112
-4.54127064,1.61390086,0.01215896,0.00000000,0.00666936,1.31539285,1.04030221,0.68637590
-4.53526763,1.63886920,0.01288098,0.00000000,0.00670447,1.33593340,1.05184870,0.70132360
-4.52926463,1.65720995,0.01366759,0.00000000,0.00672554,1.35085390,1.06010434,0.71298278
-4.52326163,1.66884376,0.01453514,0.00000000,0.00673716,1.36001192,1.06534418,0.72109223
-4.51725863,1.67393237,0.01550166,0.00000000,0.00674433,1.36346245,1.06799161,0.72549954
-4.51125563,1.67287513,0.01658640,0.00000000,0.00675224,1.36145700,1.06860830,0.72616565
-4.50525263,1.66629640,0.01780916,0.00000000,0.00676603,1.35443547,1.06787841,0.72316528
-4.49924962,1.65502412,0.01918967,0.00000000,0.00679064,1.34301079,1.06658752,0.71668314
-4.49324662,1.64006012,0.02074670,0.00000000,0.00683055,1.32794669,1.06559661,0.70700604
-4.48724362,1.62254323,0.02249723,0.00000000,0.00688956,1.31012962,1.06581203,0.69451122
-4.48124062,1.60370633,0.02445548,0.00000000,0.00697071,1.29053542,1.06815214,0.67965128
-4.47523762,1.58482905,0.02663201,0.00000000,0.00707601,1.27019245,1.07351203,0.66293654
-4.46923462,1.56718798,0.02903276,0.00000000,0.00720644,1.25014221,1.08272737,0.64491534
-4.46323162,1.55200627,0.03165822,0.00000000,0.00736182,1.23139939,1.09653890,0.62615329
-4.45722861,1.54040491,0.03450271,0.00000000,0.00754079,1.21491272,1.11555913,0.60721228
-4.45122561,1.53335758,0.03755381,0.00000000,0.00774088,1.20152856,1.14024244,0.58863021
-4.44522261,1.53165126,0.04079196,0.00000000,0.00795855,1.19195859,1.17086039,0.57090223
-4.43921961,1.53585422,0.04419032,0.00000000,0.00818929,1.18675314,1.20748324,0.55446428
-4.43321661,1.54629308,0.04771495,0.00000000,0.00842784,1.18628146,1.24996901,0.53967976
-4.42721361,1.56303999,0.05132517,0.00000000,0.00866832,1.19071965,1.29796079,0.52682957
-4.42121061,1.58591078,0.05497428,0.00000000,0.00890450,1.20004716,1.35089299,0.51610620
-4.41520760,1.61447428,0.05861060,0.00000000,0.00912999,1.21405182,1.40800665,0.50761182
-4.40920460,1.64807264,0.06217875,0.00000000,0.00933855,1.23234346,1.46837352,0.50136046
-4.40320160,1.68585190,0.06562117,0.00000000,0.00952427,1.25437547,1.53092837,0.49728404
-4.39719860,1.72680156,0.06887988,0.00000000,0.00968186,1.27947347,1.59450835,0.49524195
-4.39119560,1.76980150,0.07189837,0.00000000,0.00980685,1.30686962,1.65789792,0.49503353
-4.38519260,1.81367415,0.07462359,0.00000000,0.00989578,1.33574128,1.71987760,0.49641285
-4.37918959,1.85723955,0.07700793,0.00000000,0.00994638,1.36525198,1.77927422,0.49910502
-4.37318659,1.89937071,0.07901116,0.00000000,0.00995767,1.39459278,1.83501060,0.50282317
-4.36718359,1.93904666,0.08060218,0.00000000,0.00993008,1.42302211,1.88615205,0.50728526
-4.36118059,1.97540047,0.08176061,0.00000000,0.00986542,1.44990197,1.93194747,0.51222984
-4.35517759,2.00776007,0.08247798,0.00000000,0.00976696,1.47472868,1.97186282,0.51743001
-4.34917459,2.03567945,0.08275869,0.00000000,0.00963929,1.49715668,2.00560519,0.52270489
-4.34317159,2.05895887,0.08262046,0.00000000,0.00948829,1.51701390,2.03313592,0.52792802
-4.33716858,2.07765281,0.08209438,0.00000000,0.00932096,1.53430805,2.05467188,0.53303230
-4.33116558,2.09206510,0.08122452,0.00000000,0.00914528,1.54922321,2.07067457,0.53801120
-4.32516258,2.10273143,0.08006705,0.00000000,0.00896996,1.56210698,2.08182737,0.54291630
