energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.28564282,4.06353378,2.05983251,0.60533762,0.00180954,0.90949030,0.01206013,1.95297084,0.84216563,0.69370672
-5.27963982,4.07134224,2.06413216,0.60871547,0.00182269,0.92038339,0.01146206,1.95039306,0.84634968,0.69282052
-5.27363682,4.08618554,2.07780431,0.61352293,0.00184690,0.93556987,0.01094432,1.94821065,0.85190198,0.69130724
-5.26763382,4.10875453,2.10119696,0.61980698,0.00188270,0.95514706,0.01051098,1.94689046,0.85902930,0.68930339
-5.26163082,4.13979683,2.13462468,0.62762936,0.00193045,0.97921940,0.01016468,1.94692877,0.86793773,0.68696794
-5.25562781,4.18007990,2.17834996,0.63706199,0.00199028,1.00789059,0.00990655,1.94883025,0.87882365,0.68447543
-5.24962481,4.23034425,2.23255941,0.64818044,0.00206201,1.04125223,0.00973624,1.95308399,0.89186314,0.68200777
-5.24362181,4.29124890,2.29733572,0.66105578,0.00214516,1.07936941,0.00965191,1.96013741,0.90720057,0.67974516
-5.23761881,4.36331151,2.37262677,0.67574517,0.00223889,1.12226390,0.00965022,1.97036938,0.92493671,0.67785646
-5.23161581,4.44684637,2.45821350,0.69228163,0.00234202,1.16989579,0.00972645,1.98406401,0.94511697,0.67648973
-5.22561281,4.54190362,2.55367871,0.71066367,0.00245299,1.22214459,0.00987450,2.00138637,0.96772055,0.67576317
-5.21960980,4.64821352,2.65837878,0.73084532,0.00256989,1.27879105,0.01008706,2.02236169,0.99265088,0.67575713
-5.21360680,4.76513914,2.77142060,0.75272721,0.00269053,1.33950087,0.01035567,2.04685916,1.01972836,0.67650764
-5.20760380,4.89164101,2.89164577,0.77614928,0.00281245,1.40381149,0.01067090,2.07458155,1.04868559,0.67800173
-5.20160080,5.02625667,3.01762407,0.80088573,0.00293300,1.47112326,0.01102252,2.10506143,1.07916588,0.68017497
-5.19559780,5.16709734,3.14765745,0.82664269,0.00304939,1.54069574,0.01139966,2.13766457,1.11072517,0.68291127
-5.18959480,5.31186325,3.27979588,0.85305885,0.00315882,1.61165013,0.01179107,2.17160065,1.14283772,0.68604524
-5.18359180,5.45787839,3.41186523,0.87970934,0.00325852,1.68297815,0.01218530,2.20594127,1.17490550,0.68936677
-5.17758879,5.60214412,3.54150719,0.90611288,0.00334586,1.75355759,0.01257096,2.23964449,1.20627112,0.69262792
-5.17158579,5.74141049,3.66623030,0.93174204,0.00341843,1.82217439,0.01293695,2.27158539,1.23623399,0.69555164
-5.16558279,5.87226290,3.78347065,0.95603634,0.00347411,1.88755052,0.01327270,2.30059120,1.26406926,0.69784217
-5.15957979,5.99122097,3.89066017,0.97841769,0.00351114,1.94837704,0.01356843,2.32547978,1.28904877,0.69919636
-5.15357679,6.09484593,3.98529992,0.99830761,0.00352821,2.00335089,0.01381532,2.34509984,1.31046327,0.69931571
-5.14757379,6.17985200,4.06503557,1.01514556,0.00352443,2.05121410,0.01400576,2.35837127,1.32764508,0.69791846
-5.14157079,6.24321727,4.12773173,1.02840756,0.00349943,2.09079380,0.01413348,2.36432392,1.33999030,0.69475118
-5.13556778,6.28228927,4.17154215,1.03762424,0.00345330,2.12104123,0.01419373,2.36213321,1.34697952,0.68959945
-5.12956478,6.29488074,4.19497244,1.04239772,0.00338661,2.14106806,0.01418335,2.35115118,1.34819639,0.68229715
-5.12356178,6.27935141,4.19693276,1.04241632,0.00330039,2.15017842,0.01410085,2.33093165,1.34334301,0.67273395
-5.11755878,6.23467229,4.17677785,1.03746667,0.00319608,2.14789508,0.01394644,2.30124860,1.33225176,0.66086077
-5.11155578,6.16046963,4.13433272,1.02744247,0.00307544,2.13397859,0.01372201,2.26210704,1.31489283,0.64669299
-5.10555278,6.05704667,4.06990270,1.01234973,0.00294056,2.10843857,0.01343107,2.21374606,1.29137727,0.63031128
-5.09954977,5.92538239,3.98426749,0.99230801,0.00279372,2.07153642,0.01307867,2.15663391,1.26195540,0.61186018
-5.09354677,5.76710717,3.87865935,0.96754786,0.00263735,2.02377946,0.01267124,2.09145558,1.22701058,0.59154430
-5.08754377,5.58445670,3.75472635,0.93840441,0.00247393,1.96590670,0.01221647,2.01909331,1.18704872,0.56962258
-5.08154077,5.38020596,3.61448241,0.90530741,0.00230597,1.89886685,0.01172310,1.94060091,1.14268380,0.54640070
-5.07553777,5.15758607,3.46024607,0.86876828,0.00213588,1.82378945,0.01120074,1.85717294,1.09462014,0.52222194
-5.06953477,4.92018762,3.29457079,0.82936459,0.00196595,1.74195059,0.01065965,1.77010987,1.04363194,0.49745697
