energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
1.91195598,4.46973811,-2.12256180,0.74438846,-0.22712050,1.48671144,-1.35815720,0.67915153,-0.31020231,1.02599306,-0.21852248,0.06444595,-0.02519923,0.38723057,-0.11395523,0.11994796,-0.07638658,1.31057190,-0.31926315
1.91795898,4.35224682,-2.10496924,0.73063181,-0.22838851,1.45226050,-1.35384494,0.66001808,-0.30993030,0.99603128,-0.21501010,0.06471034,-0.02703240,0.38070059,-0.10827848,0.11688037,-0.07364421,1.25887776,-0.31537978
1.92396198,4.22527461,-2.10363774,0.71597670,-0.23161042,1.41436339,-1.35998852,0.64006401,-0.31161155,0.96372704,-0.21302011,0.06478983,-0.02928809,0.37364595,-0.10367743,0.11360864,-0.07153903,1.20458002,-0.31357617
1.92996498,4.09014976,-2.11932511,0.70054496,-0.23687837,1.37338983,-1.37706416,0.61946004,-0.31543928,0.92945157,-0.21260163,0.06465613,-0.03198089,0.36613019,-0.10020082,0.11015446,-0.07011642,1.14837139,-0.31394345
1.93596798,3.94828131,-2.15248129,0.68446611,-0.24424966,1.32975807,-1.40535576,0.59838529,-0.32156380,0.89358101,-0.21377207,0.06428646,-0.03511960,0.35822813,-0.09787706,0.10654412,-0.06941051,1.09093554,-0.31652666
1.94197099,3.80113655,-2.20321041,0.66787815,-0.25374128,1.28392663,-1.44492676,0.57702360,-0.33008470,0.85649078,-0.21651534,0.06366442,-0.03870590,0.35002512,-0.09671340,0.10280832,-0.06944276,1.03293455,-0.32132122
1.94797399,3.65021922,-2.27124176,0.65092818,-0.26532517,1.23638573,-1.49559789,0.55555995,-0.34104444,0.81855064,-0.22078108,0.06278061,-0.04273324,0.34161613,-0.09669555,0.09898177,-0.07022090,0.97499813,-0.32827083
1.95397699,3.49704850,-2.35591123,0.63377267,-0.27892480,1.18764851,-1.55693181,0.53417704,-0.35442342,0.78012047,-0.22648491,0.06163297,-0.04718577,0.33310445,-0.09778757,0.09510270,-0.07173811,0.91771489,-0.33726701
1.95997999,3.34313899,-2.45615403,0.61657720,-0.29441292,1.13824237,-1.62822544,0.51305211,-0.37013700,0.74154678,-0.23350971,0.06022689,-0.05203750,0.32460011,-0.09993235,0.09121214,-0.07397252,0.86162555,-0.34815022
1.96598299,3.18998153,-2.57050956,0.59951545,-0.31161084,1.08870028,-1.70851068,0.49235405,-0.38803436,0.70315979,-0.24170789,0.05857487,-0.05725174,0.31621803,-0.10305234,0.08735304,-0.07688720,0.80721818,-0.36071259
1.97198599,3.03902496,-2.69713855,0.58276751,-0.33028931,1.03955242,-1.79656378,0.47224079,-0.40789960,0.66527110,-0.25090452,0.05669600,-0.06278084,0.30807579,-0.10705086,0.08356926,-0.08043038,0.75492513,-0.37470220
1.97798899,2.89165866,-2.83385262,0.56651735,-0.35017109,0.99131804,-1.89092345,0.45285715,-0.42945488,0.62817178,-0.26090131,0.05461519,-0.06856625,0.30029109,-0.11181375,0.07990453,-0.08453618,0.70512172,-0.38982875
1.98399200,2.74919601,-2.97815545,0.55094944,-0.37093512,0.94449764,-1.98991745,0.43433290,-0.45236570,0.59213087,-0.27148117,0.05236209,-0.07453901,0.29297909,-0.11721150,0.07640125,-0.08912574,0.65812629,-0.40577037
1.98999500,2.61285868,-3.12729491,0.53624473,-0.39222250,0.89956556,-2.09169701,0.41678133,-0.47624820,0.55739419,-0.28241329,0.04996995,-0.08062066,0.28624941,-0.12310182,0.07309936,-0.09410864,0.61420139,-0.42218152
1.99599800,2.48376181,-3.27832467,0.52257591,-0.41364386,0.85696298,-2.19427839,0.40029803,-0.50067816,0.52418335,-0.29345863,0.04747432,-0.08672453,0.28020313,-0.12933253,0.07003516,-0.09938483,0.57355592,-0.43870154
2.00200100,2.36290028,-3.42817374,0.51010233,-0.43478825,0.81709132,-2.29559020,0.38496005,-0.52520162,0.49269498,-0.30437552,0.04491174,-0.09275746,0.27492973,-0.13574491,0.06724028,-0.10484672,0.53634795,-0.45496370
2.00800400,2.25113614,-3.57372182,0.49896463,-0.45523309,0.78030624,-2.39352531,0.37082536,-0.54934661,0.46310014,-0.31492532,0.04231849,-0.09862185,0.27050415,-0.14217724,0.06474068,-0.11038165,0.50268791,-0.47060443
2.01400700,2.14918742,-3.71187835,0.48927943,-0.47455505,0.74691207,-2.48599556,0.35793256,-0.57263579,0.43554375,-0.32487792,0.03972935,-0.10421806,0.26698404,-0.14846854,0.06255593,-0.11587455,0.47264207,-0.48527239
2.02001001,2.05761861,-3.83966268,0.48113430,-0.49234137,0.71715697,-2.57098759,0.34630086,-0.59459939,0.41014429,-0.33401706,0.03717657,-0.10944700,0.26440733,-0.15446251,0.06069849,-0.12121064,0.44623601,-0.49863732
2.02601301,1.97683289,-3.95428292,0.47458321,-0.50820145,0.69122866,-2.64661792,0.33593028,-0.61478818,0.38699348,-0.34214516,0.03468896,-0.11421288,0.26279026,-0.16001138,0.05917340,-0.12627829,0.42345807,-0.51039811
2.03201601,1.90706654,-4.05321078,0.46964288,-0.52177799,0.66925105,-2.71118531,0.32680209,-0.63278595,0.36615614,-0.34908771,0.03229127,-0.11842601,0.26212591,-0.16497964,0.05797803,-0.13097175,0.40426249,-0.52029021
2.03801901,1.84838563,-4.13425006,0.46629001,-0.53275763,0.65128161,-2.76321873,0.31887945,-0.64822105,0.34767017,-0.35469706,0.03000368,-0.12200547,0.26238336,-0.16924759,0.05710214,-0.13519378,0.38857237,-0.52809190
2.04402201,1.80068521,-4.19559638,0.46445989,-0.54088029,0.63730980,-2.80151904,0.31210830,-0.66077663,0.33154665,-0.35885556,0.02784161,-0.12488166,0.26350752,-0.17271447,0.05652822,-0.13885805,0.37628226,-0.53362953
2.05002501,1.76369124,-4.23588624,0.46404619,-0.54594729,0.62725657,-2.82519305,0.30641841,-0.67019929,0.31777012,-0.36147801,0.02581571,-0.12699850,0.26541970,-0.17530109,0.05623189,-0.14189123,0.36726043,-0.53678148
2.05602801,1.73696528,-4.25423365,0.46490225,-0.54782744,0.62097494,-2.83367861,0.30172464,-0.67630571,0.30629903,-0.36251340,0.02393202,-0.12831527,0.26801889,-0.17695194,0.05618269,-0.14423475,0.36135083,-0.53748081
2.06203102,1.71991214,-4.25025332,0.46684387,-0.54646129,0.61825195,-2.82675995,0.29792850,-0.67898722,0.29706640,-0.36194584,0.02219232,-0.12880792,0.27118383,-0.17763659,0.05634489,-0.14584604,0.35837480,-0.53571664
2.06803402,1.71179039,-4.22406949,0.46965339,-0.54186307,0.61881190,-2.80457266,0.29491976,-0.67821210,0.28998066,-0.35979491,0.02059467,-0.12846989,0.27477565,-0.17735037,0.05667858,-0.14669943,0.35813262,-0.53153425
