energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-4.85942971,3.31228063,0.01430205,0.81955560,1.02407079,0.00000000,1.84356932,0.65055042
-4.85342671,3.20153521,0.01475533,0.79263053,0.99033672,0.00000000,1.77664222,0.63112839
-4.84742371,3.09435697,0.01515299,0.76688304,0.95689129,0.00000000,1.71204885,0.61277282
-4.84142071,2.99062739,0.01549077,0.74234591,0.92361680,0.00000000,1.64979647,0.59550038
-4.83541771,2.89024157,0.01576653,0.71905081,0.89040497,0.00000000,1.58986907,0.57933776
-4.82941471,2.79315160,0.01598049,0.69703956,0.85716963,0.00000000,1.53225693,0.56432908
-4.82341171,2.69940333,0.01613518,0.67637350,0.82385801,0.00000000,1.47698292,0.55054149
-4.81740870,2.60916390,0.01623545,0.65714037,0.79045963,0.00000000,1.42412369,0.53806859
-4.81140570,2.52273835,0.01628831,0.63945804,0.75701252,0.00000000,1.37382467,0.52703116
-4.80540270,2.44057399,0.01630268,0.62347503,0.72360626,0.00000000,1.32630806,0.51757523
-4.79939970,2.36325243,0.01628902,0.60936755,0.69038171,0.00000000,1.28187347,0.50986732
-4.79339670,2.29146966,0.01625893,0.59733335,0.65752757,0.00000000,1.24089141,0.50408718
-4.78739370,2.22600560,0.01622469,0.58758276,0.62527403,0.00000000,1.20379036,0.50041842
-4.78139070,2.16768513,0.01619866,0.58032741,0.59388399,0.00000000,1.17103831,0.49903740
-4.77538769,2.11733320,0.01619286,0.57576754,0.56364237,0.00000000,1.14312032,0.50010128
-4.76938469,2.07572689,0.01621834,0.57407857,0.53484435,0.00000000,1.12051351,0.50373587
-4.76338169,2.04354778,0.01628478,0.57539796,0.50778318,0.00000000,1.10366127,0.51002406
-4.75737869,2.02133747,0.01640005,0.57981318,0.48273835,0.00000000,1.09294843,0.51899568
-4.75137569,2.00945952,0.01656990,0.58735166,0.45996482,0.00000000,1.08867888,0.53061960
-4.74537269,2.00807014,0.01679771,0.59797355,0.43968381,0.00000000,1.09105722,0.54479855
-4.73936968,2.01709973,0.01708445,0.61156768,0.42207583,0.00000000,1.10017539,0.56136732
-4.73336668,2.03624670,0.01742865,0.62795130,0.40727609,0.00000000,1.11600533,0.58009460
-4.72736368,2.06498414,0.01782664,0.64687371,0.39537253,0.00000000,1.13839793,0.60068853
-4.72136068,2.10257916,0.01827274,0.66802361,0.38640653,0.00000000,1.16708841,0.62280593
-4.71535768,2.14812417,0.01875973,0.69104018,0.38037607,0.00000000,1.20170782,0.64606484
-4.70935468,2.20057825,0.01927927,0.71552696,0.37724110,0.00000000,1.24179985,0.67005979
-4.70335168,2.25881658,0.01982248,0.74106823,0.37693071,0.00000000,1.28684210,0.69437917
-4.69734867,2.32168502,0.02038050,0.76724677,0.37935157,0.00000000,1.33627042,0.71862370
-4.69134567,2.38805681,0.02094506,0.79366214,0.38439711,0.00000000,1.38950479,0.74242509
-4.68534267,2.45688810,0.02150906,0.81994836,0.39195679,0.00000000,1.44597538,0.76546380
-4.67933967,2.52726909,0.02206701,0.84579014,0.40192496,0.00000000,1.50514690,0.78748488
-4.67333667,2.59846757,0.02261550,0.87093645,0.41420860,0.00000000,1.56653999,0.80831100
-4.66733367,2.66996226,0.02315339,0.89521079,0.42873359,0.00000000,1.62974802,0.82785167
-4.66133067,2.74146380,0.02368203,0.91851735,0.44544892,0.00000000,1.69444835,0.84610813
-4.65532766,2.81292169,0.02420522,0.94084272,0.46432866,0.00000000,1.76040714,0.86317350
-4.64932466,2.88451664,0.02472908,0.96225284,0.48537141,0.00000000,1.82747719,0.87922785
-4.64332166,2.95663821,0.02526174,0.98288526,0.50859722,0.00000000,1.89558884,0.89452848
-4.63731866,3.02984872,0.02581290,1.00293714,0.53404194,0.00000000,1.96473425,0.90939570
-4.63131566,3.10483504,0.02639330,1.02264941,0.56174940,0.00000000,2.03494574,0.92419473
-4.62531266,3.18235081,0.02701404,1.04228805,0.59176159,0.00000000,2.10626945,0.93931460
-4.61930965,3.26315183,0.02768594,1.06212338,0.62410738,0.00000000,2.17873578,0.95514517
-4.61330665,3.34792841,0.02841877,1.08240862,0.65879043,0.00000000,2.25232833,0.97205330
-4.60730365,3.43723809,0.02922059,1.10335874,0.69577674,0.00000000,2.32695329,0.99035957
-4.60130065,3.53144275,0.03009706,1.12513099,0.73498287,0.00000000,2.40241132,1.01031666
-4.59529765,3.63065359,0.03105090,1.14780811,0.77626516,0.00000000,2.47837377,1.03209055
-4.58929465,3.73468740,0.03208146,1.17138527,0.81941105,0.00000000,2.55436520,1.05574568
-4.58329165,3.84303685,0.03318440,1.19576162,0.86413287,0.00000000,2.62975353,1.08123471
-4.57728864,3.95485684,0.03435152,1.22073682,0.91006480,0.00000000,2.70374914,1.10839357
-4.57128564,4.06896819,0.03557085,1.24601308,0.95676348,0.00000000,2.77541343,1.13694208
