energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
0.80140070,1.74004067,-1.74054031,0.29385742,-0.29399670,0.05111750,-0.05112746,0.33143083,-0.33147313,0.77171501,-0.77190618,0.00883873,-0.00884817,0.17305822,-0.17321578,0.02177922,-0.02179631,0.75770177,-0.75780424
0.80740370,1.72118880,-1.72170330,0.28318762,-0.28333190,0.05119288,-0.05120308,0.33552291,-0.33556785,0.76372698,-0.76392469,0.00812677,-0.00813617,0.16106450,-0.16122375,0.02029341,-0.02031086,0.76336093,-0.76347020
0.81340670,1.69972317,-1.70024533,0.27209622,-0.27224319,0.05119266,-0.05120295,0.33895677,-0.33900378,0.75465514,-0.75485661,0.00742075,-0.00743000,0.14891934,-0.14907806,0.01879825,-0.01881576,0.76752132,-0.76763603
0.81940970,1.67554727,-1.67607027,0.26072768,-0.26087511,0.05110593,-0.05111618,0.34159084,-0.34163937,0.74440935,-0.74461197,0.00673031,-0.00673930,0.13680971,-0.13696582,0.01731998,-0.01733726,0.76990068,-0.77001949
0.82541271,1.64856784,-1.64908536,0.24922586,-0.24937161,0.05092278,-0.05093285,0.34328783,-0.34333738,0.73290349,-0.73310481,0.00606406,-0.00607269,0.12491125,-0.12506287,0.01588386,-0.01590066,0.77022836,-0.77035001
0.83141571,1.61871091,-1.61921721,0.23773274,-0.23787484,0.05063513,-0.05064490,0.34392059,-0.34397070,0.72006327,-0.72026108,0.00542948,-0.00543767,0.11338546,-0.11353092,0.01451392,-0.01452999,0.76825682,-0.76838011
0.83741871,1.58593954,-1.58642948,0.22638794,-0.22652456,0.05023767,-0.05024703,0.34337799,-0.34342824,0.70583458,-0.70602690,0.00483289,-0.00484057,0.10237771,-0.10251558,0.01323279,-0.01324792,0.76377295,-0.76389677
0.84342171,1.55027223,-1.55074131,0.21532894,-0.21545847,0.04972873,-0.04973756,0.34157059,-0.34162059,0.69019178,-0.69037687,0.00427945,-0.00428658,0.09201612,-0.09214523,0.01206164,-0.01207564,0.75660898,-0.75673231
0.84942471,1.51180091,-1.51224522,0.20469202,-0.20481302,0.04911107,-0.04911925,0.33843573,-0.33848513,0.67314561,-0.67332194,0.00377324,-0.00377978,0.08241135,-0.08253075,0.01102027,-0.01103299,0.74665225,-0.74677416
0.85542771,1.47070742,-1.47112362,0.19461367,-0.19472490,0.04839259,-0.04840003,0.33394186,-0.33399035,0.65475005,-0.65491632,0.00331734,-0.00332328,0.07365707,-0.07376606,0.01012727,-0.01013856,0.73385332,-0.73397294
0.86143072,1.42727735,-1.42766258,0.18523240,-0.18533279,0.04758694,-0.04759352,0.32809190,-0.32813917,0.63510792,-0.63526299,0.00291398,-0.00291931,0.06583121,-0.06592930,0.00940022,-0.00940997,0.71823206,-0.71834861
0.86743372,1.38191041,-1.38226223,0.17669067,-0.17677932,0.04671383,-0.04671944,0.32092527,-0.32097103,0.61437462,-0.61451751,0.00256467,-0.00256940,0.05899760,-0.05908449,0.00885600,-0.00886411,0.69988138,-0.69999412
0.87343672,1.33512641,-1.33544274,0.16913683,-0.16921298,0.04579927,-0.04580380,0.31251870,-0.31256266,0.59276003,-0.59288989,0.00227040,-0.00227454,0.05320811,-0.05328366,0.00851103,-0.00851743,0.67896823,-0.67907646
