energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-4.05502751,2.61083693,0.12354482,0.41142218,1.48997376,0.37413246,0.13341794,0.10334554,0.91136382
-4.04902451,2.55533876,0.12619375,0.39533973,1.43984781,0.35776059,0.13263948,0.10763943,0.90700291
-4.04302151,2.50368293,0.12890272,0.37931341,1.39048595,0.34209173,0.13208763,0.11226530,0.90455995
-4.03701851,2.45547154,0.13161769,0.36343550,1.34206351,0.32713305,0.13165908,0.11713959,0.90363281
-4.03101551,2.41016447,0.13427489,0.34777936,1.29468131,0.31287277,0.13126297,0.12216513,0.90377348
-4.02501251,2.36712210,0.13680313,0.33240284,1.24838156,0.29928543,0.13082484,0.12723389,0.90450860
-4.01900950,2.32565114,0.13912653,0.31735220,1.20316581,0.28633727,0.13028983,0.13223036,0.90536071
-4.01300650,2.28505145,0.14116767,0.30266622,1.15901364,0.27399154,0.12962484,0.13703541,0.90586947
-4.00700350,2.24466150,0.14285088,0.28838025,1.11590088,0.26221335,0.12881980,0.14153052,0.90561197
-4.00100050,2.20390052,0.14410563,0.27452975,1.07381640,0.25097386,0.12788784,0.14560211,0.90422135
-3.99499750,2.16230513,0.14486986,0.26115328,1.03277624,0.24025369,0.12686449,0.14914602,0.90140292
-3.98899450,2.11955904,0.14509300,0.24829458,0.99283460,0.23004525,0.12580585,0.15207164,0.89694714
-3.98299150,2.07551433,0.14473867,0.23600375,0.95409086,0.22035410,0.12478597,0.15430577,0.89073894
-3.97698849,2.03020359,0.14378687,0.22433732,0.91669252,0.21119908,0.12389334,0.15579590,0.88276305
-3.97098549,1.98384237,0.14223551,0.21335746,0.88083393,0.20261152,0.12322679,0.15651272,0.87310488
-3.96498249,1.93682206,0.14010132,0.20313010,0.84675095,0.19463332,0.12289093,0.15645188,0.86194725
-3.95897949,1.88969366,0.13742001,0.19372242,0.81471209,0.18731432,0.12299121,0.15563471,0.84956281
-3.95297649,1.84314333,0.13424562,0.18519965,0.78500658,0.18070893,0.12362891,0.15410801,0.83630267
-3.94697349,1.79796102,0.13064928,0.17762151,0.75793019,0.17487237,0.12489615,0.15194285,0.82258152
-3.94097049,1.75500379,0.12671717,0.17103849,0.73376967,0.16985658,0.12687125,0.14923239,0.80886016
-3.93496748,1.71515548,0.12254796,0.16548821,0.71278658,0.16570628,0.12961443,0.14608875,0.79562586
-3.92896448,1.67928485,0.11824970,0.16099213,0.69520154,0.16245512,0.13316422,0.14263929,0.78337162
-3.92296148,1.64820397,0.11393641,0.15755272,0.68117970,0.16012238,0.13753461,0.13902210,0.77257513
-3.91695848,1.62262884,0.10972436,0.15515134,0.67081814,0.15871018,0.14271313,0.13538116,0.76367831
-3.91095548,1.60314418,0.10572829,0.15374702,0.66413607,0.15820162,0.14865993,0.13186123,0.75706831
-3.90495248,1.59017365,0.10205765,0.15327609,0.66106804,0.15855967,0.15530796,0.12860271,0.75306076
-3.89894947,1.58395712,0.09881306,0.15365286,0.66146082,0.15972712,0.16256425,0.12573664,0.75188599
-3.89294647,1.58453578,0.09608300,0.15477120,0.66507399,0.16162747,0.17031226,0.12338009,0.75367877
-3.88694347,1.59174570,0.09394106,0.15650716,0.67158422,0.16416679,0.17841531,0.12163206,0.75847193
-3.88094047,1.60522023,0.09244359,0.15872229,0.68059321,0.16723649,0.18672082,0.12057006,0.76619416
-3.87493747,1.62440085,0.09162800,0.16126780,0.69163886,0.17071686,0.19506549,0.12024755,0.77667211
-3.86893447,1.64855610,0.09151179,0.16398912,0.70420919,0.17448118,0.20328088,0.12069220,0.78963645
-3.86293147,1.67680765,0.09209216,0.16673089,0.71775852,0.17840036,0.21119946,0.12190517,0.80473190
-3.85692846,1.70816233,0.09334645,0.16934200,0.73172512,0.18234772,0.21866075,0.12386139,0.82153047
-3.85092546,1.74154867,0.09523316,0.17168061,0.74554957,0.18620381,0.22551727,0.12651077,0.83954763
-3.84492246,1.77585633,0.09769368,0.17361876,0.75869315,0.18986100,0.23164012,0.12978030,0.85826043
-3.83891946,1.80997674,0.10065462,0.17504652,0.77065535,0.19322761,0.23692390,0.13357706,0.87712694
-3.83291646,1.84284314,0.10403054,0.17587550,0.78098985,0.19623139,0.24129065,0.13779185,0.89560622
-3.82691346,1.87346826,0.10772711,0.17604138,0.78931823,0.19882212,0.24469281,0.14230340,0.91317777
-3.82091046,1.90097809,0.11164457,0.17550563,0.79534094,0.20097332,0.24711484,0.14698300,0.92935992
-3.81490745,1.92464028,0.11568117,0.17425616,0.79884500,0.20268281,0.24857353,0.15169924,0.94372611
-3.80890445,1.94388602,0.11973670,0.17230695,0.79970821,0.20397216,0.24911695,0.15632281,0.95591860
-3.80290145,1.95832448,0.12371576,0.16969669,0.79789973,0.20488504,0.24882202,0.16073105,0.96565899
-3.79689845,1.96774929,0.12753070,0.16648654,0.79347702,0.20548446,0.24779082,0.16481213,0.97275508
-3.79089545,1.97213692,0.13110421,0.16275704,0.78657944,0.20584917,0.24614584,0.16846861,0.97710388
-3.78489245,1.97163714,0.13437122,0.15860443,0.77741880,0.20606912,0.24402428,0.17162033,0.97869080
-3.77888944,1.96655619,0.13728026,0.15413652,0.76626732,0.20624051,0.24157174,0.17420640,0.97758497
-3.77288644,1.95733343,0.13979413,0.14946821,0.75344370,0.20646031,0.23893555,0.17618629,0.97393110
-3.76688344,1.94451300,0.14188983,0.14471711,0.73929791,0.20682084,0.23625809,0.17754005,0.96793830
-3.76088044,1.92871163,0.14355791,0.13999914,0.72419539,0.20740444,0.23367029,0.17826749,0.95986658
-3.75487744,1.91058455,0.14480115,0.13542458,0.70850157,0.20827861,0.23128580,0.17838658,0.95001156
-3.74887444,1.89079105,0.14563277,0.13109461,0.69256718,0.20949180,0.22919589,0.17793107,0.93868838
-3.74287144,1.86996153,0.14607425,0.12709843,0.67671526,0.21107016,0.22746553,0.17694751,0.92621562
-3.73686843,1.84866784,0.14615288,0.12351116,0.66123028,0.21301529,0.22613069,0.17549188,0.91289996
-3.73086543,1.82739813,0.14589927,0.12039258,0.64634991,0.21530324,0.22519693,0.17362594,0.89902256
-3.72486243,1.80653779,0.14534491,0.11778668,0.63225968,0.21788476,0.22463960,0.17141360,0.88482766
-3.71885943,1.78635716,0.14451990,0.11572195,0.61909078,0.22068683,0.22440529,0.16891740,0.87051413
-3.71285643,1.76700667,0.14345110,0.11421256,0.60692102,0.22361539,0.22441475,0.16619545,0.85623025
-3.70685343,1.74851957,0.14216067,0.11326009,0.59577862,0.22655914,0.22456693,0.16329879,0.84207195
-3.70085043,1.73082192,0.14066517,0.11285584,0.58564882,0.22939433,0.22474404,0.16026944,0.82808463
-3.69484742,1.71374914,0.13897519,0.11298356,0.57648262,0.23199014,0.22481737,0.15713910,0.81426818
-3.68884442,1.69706822,0.13709558,0.11362240,0.56820724,0.23421458,0.22465354,0.15392869,0.80058498
