energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
0.82541271,2.26364661,0.43642398,0.00000000,0.02361037,0.15873543,0.67394493,2.04979825
0.83141571,2.22459544,0.42140732,0.00000000,0.02270203,0.15494367,0.64966369,2.02494213
0.83741871,2.18280695,0.40657806,0.00000000,0.02176806,0.15146074,0.62611807,1.99739053
0.84342171,2.13913098,0.39208426,0.00000000,0.02082046,0.14834821,0.60365257,1.96786190
0.84942471,2.09444302,0.37807021,0.00000000,0.01987032,0.14565312,0.58257700,1.93710710
0.85542771,2.04962172,0.36467542,0.00000000,0.01892765,0.14340765,0.56316322,1.90588676
0.86143072,2.00552855,0.35203394,0.00000000,0.01800128,0.14162921,0.54564364,1.87495051
0.86743372,1.96299050,0.34027391,0.00000000,0.01709884,0.14032124,0.53021161,1.84501932
0.87343672,1.92278671,0.32951743,0.00000000,0.01622673,0.13947448,0.51702338,1.81677165
0.87943972,1.88563934,0.31988071,0.00000000,0.01539017,0.13906879,0.50620172,1.79083406
0.88544272,1.85220890,0.31147433,0.00000000,0.01459326,0.13907528,0.49784058,1.76777635
0.89144572,1.82309379,0.30440376,0.00000000,0.01383907,0.13945881,0.49201069,1.74811108
0.89744872,1.79883345,0.29876988,0.00000000,0.01312983,0.14018066,0.48876566,1.73229698
0.90345173,1.77991432,0.29466939,0.00000000,0.01246702,0.14120122,0.48814799,1.72074521
0.90945473,1.76677745,0.29219513,0.00000000,0.01185159,0.14248263,0.49019468,1.71382760
0.91545773,1.75982660,0.29143609,0.00000000,0.01128412,0.14399119,0.49494199,1.71188529
0.92146073,1.75943538,0.29247700,0.00000000,0.01076502,0.14569945,0.50242886,1.71523665
0.92746373,1.76595240,0.29539741,0.00000000,0.01029468,0.14758779,0.51269879,1.72418311
0.93346673,1.77970314,0.30027027,0.00000000,0.00987367,0.14964551,0.52579986,1.73901165
0.93946973,1.80098784,0.30715989,0.00000000,0.00950288,0.15187133,0.54178278,1.75999333
0.94547274,1.83007488,0.31611933,0.00000000,0.00918361,0.15427316,0.56069708,1.78737701
0.95147574,1.86718962,0.32718743,0.00000000,0.00891768,0.15686738,0.58258550,1.82137847
0.95747874,1.91249899,0.34038530,0.00000000,0.00870745,0.15967740,0.60747687,1.86216501
0.96348174,1.96609262,0.35571286,0.00000000,0.00855586,0.16273183,0.63537796,1.90983649
0.96948474,2.02796173,0.37314525,0.00000000,0.00846635,0.16606214,0.66626468,1.96440381
0.97548774,2.09797718,0.39262962,0.00000000,0.00844278,0.16970013,0.70007342,2.02576647
0.98149075,2.17586832,0.41408242,0.00000000,0.00848931,0.17367523,0.73669281,2.09369085
0.98749375,2.26120459,0.43738745,0.00000000,0.00861026,0.17801185,0.77595687,2.16779106
0.99349675,2.35338144,0.46239493,0.00000000,0.00880984,0.18272687,0.81763979,2.24751416
0.99949975,2.45161223,0.48892165,0.00000000,0.00909199,0.18782751,0.86145302,2.33213147
1.00550275,2.55492742,0.51675240,0.00000000,0.00946007,0.19330956,0.90704492,2.42073717
1.01150575,2.66218188,0.54564269,0.00000000,0.00991667,0.19915621,0.95400319,2.51225534
1.01750875,2.77207092,0.57532270,0.00000000,0.01046328,0.20533741,1.00186018,2.60545579
1.02351176,2.88315475,0.60550235,0.00000000,0.01110009,0.21180992,1.05010095,2.69897875
