energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-2.87843922,0.85639965,0.00014392,0.06883513,0.10201025,0.55653117,0.01110286,0.20317222,0.14622934,0.00266897
-2.87243622,0.87094464,0.00017185,0.06881772,0.10338840,0.57563672,0.01117296,0.19991441,0.14768764,0.00259919
-2.86643322,0.88753616,0.00020391,0.06873686,0.10530627,0.59667342,0.01121529,0.19702833,0.14939473,0.00252916
-2.86043022,0.90702038,0.00024040,0.06863821,0.10791066,0.62017330,0.01123542,0.19476652,0.15148941,0.00246180
-2.85442721,0.93024589,0.00028161,0.06856753,0.11134632,0.64667411,0.01123957,0.19337549,0.15410976,0.00239996
-2.84842421,0.95803612,0.00032778,0.06856904,0.11575189,0.67670064,0.01123448,0.19308888,0.15738860,0.00234640
-2.84242121,0.99116077,0.00037908,0.06868372,0.12125574,0.71074456,0.01122712,0.19412094,0.16144888,0.00230365
-2.83641821,1.03030705,0.00043563,0.06894778,0.12797189,0.74924373,0.01122450,0.19666041,0.16639900,0.00227399
-2.83041521,1.07605170,0.00049745,0.06939115,0.13599596,0.79256154,0.01123336,0.20086497,0.17232846,0.00225937
-2.82441221,1.12883491,0.00056447,0.07003634,0.14540142,0.84096721,0.01125996,0.20685644,0.17930382,0.00226134
-2.81840920,1.18893690,0.00063651,0.07089743,0.15623600,0.89461784,0.01130987,0.21471673,0.18736512,0.00228107
-2.81240620,1.25645849,0.00071329,0.07197946,0.16851864,0.95354302,0.01138771,0.22448474,0.19652305,0.00231925
-2.80640320,1.33130612,0.00079439,0.07327815,0.18223687,1.01763290,0.01149705,0.23615424,0.20675686,0.00237611
-2.80040020,1.41318251,0.00087927,0.07477995,0.19734480,1.08663025,0.01164027,0.24967276,0.21801310,0.00245142
-2.79439720,1.50158324,0.00096729,0.07646251,0.21376181,1.16012713,0.01181845,0.26494162,0.23020545,0.00254445
-2.78839420,1.59579980,0.00105766,0.07829544,0.23137207,1.23756670,0.01203144,0.28181699,0.24321543,0.00265403
-2.78239120,1.69492934,0.00114951,0.08024147,0.25002489,1.31825004,0.01227783,0.30011211,0.25689424,0.00277857
-2.77638819,1.79789087,0.00124186,0.08225776,0.26953597,1.40134834,0.01255508,0.31960057,0.27106558,0.00291607
-2.77038519,1.90344778,0.00133367,0.08429756,0.28968966,1.48591994,0.01285968,0.34002062,0.28552933,0.00306419
-2.76438219,2.01023593,0.00142382,0.08631187,0.31024215,1.57093177,0.01318736,0.36108046,0.30006620,0.00322027
-2.75837919,2.11679659,0.00151119,0.08825123,0.33092564,1.65528472,0.01353334,0.38246437,0.31444301,0.00338145
-2.75237619,2.22161311,0.00159464,0.09006746,0.35145339,1.73784176,0.01389261,0.40383961,0.32841853,0.00354469
-2.74637319,2.32315016,0.00167307,0.09171533,0.37152557,1.81745807,0.01426021,0.42486386,0.34174968,0.00370686
-2.74037019,2.41989415,0.00174543,0.09315399,0.39083579,1.89301187,0.01463164,0.44519307,0.35419790,0.00386480
-2.73436718,2.51039339,0.00181079,0.09434821,0.40907816,1.96343495,0.01500310,0.46448948,0.36553545,0.00401543
-2.72836418,2.59329661,0.00186831,0.09526933,0.42595461,2.02774156,0.01537184,0.48242960,0.37555147,0.00415580
-2.72236118,2.66738849,0.00191732,0.09589593,0.44118237,2.08505470,0.01573646,0.49871187,0.38405750,0.00428317
-2.71635818,2.73162079,0.00195732,0.09621406,0.45450127,2.13462878,0.01609716,0.51306391,0.39089244,0.00439509
-2.71035518,2.78513817,0.00198802,0.09621731,0.46568062,2.17586783,0.01645593,0.52524890,0.39592659,0.00448943
-2.70435218,2.82729777,0.00200935,0.09590649,0.47452549,2.20833856,0.01681673,0.53507108,0.39906481,0.00456448
-2.69834917,2.85768184,0.00202145,0.09528904,0.48088208,2.23177807,0.01718550,0.54238009,0.40024860,0.00461893
-2.69234617,2.87610330,0.00202469,0.09437828,0.48464198,2.24609576,0.01757022,0.54707407,0.39945707,0.00465196
-2.68634317,2.88260394,0.00201967,0.09319249,0.48574525,2.25136983,0.01798074,0.54910135,0.39670684,0.00466321
-2.68034017,2.87744574,0.00200722,0.09175384,0.48418197,2.24783849,0.01842860,0.54846073,0.39205079,0.00465281
-2.67433717,2.86109571,0.00198831,0.09008738,0.47999250,2.23588643,0.01892675,0.54520036,0.38557591,0.00462135
-2.66833417,2.83420498,0.00196413,0.08821994,0.47326613,2.21602743,0.01948908,0.53941530,0.37740008,0.00456983
-2.66233117,2.79758326,0.00193597,0.08617920,0.46413837,2.18888364,0.02013000,0.53124378,0.36766823,0.00449968
-2.65632816,2.75216957,0.00190520,0.08399274,0.45278689,2.15516284,0.02086379,0.52086245,0.35654781,0.00441265
-2.65032516,2.69900062,0.00187324,0.08168736,0.43942636,2.11563431,0.02170396,0.50848072,0.34422384,0.00431078
-2.64432216,2.63917795,0.00184151,0.07928842,0.42430223,2.07110453,0.02266258,0.49433448,0.33089372,0.00419631
