energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-5.67583792,5.20688467,2.04178554,1.75479499,0.21697582,0.00324937,0.04305998,3.42143903
-5.66983492,5.10214529,1.98628814,1.73408648,0.21033893,0.00320192,0.04253089,3.35652997
-5.66383192,4.98614606,1.93086235,1.70974472,0.20339314,0.00314524,0.04195915,3.28427095
-5.65782891,4.85969974,1.87597123,1.68196142,0.19618488,0.00307905,0.04134774,3.20519493
-5.65182591,4.72374999,1.82202123,1.65097397,0.18875938,0.00300325,0.04069857,3.11992821
-5.64582291,4.57937206,1.76936862,1.61706609,0.18116091,0.00291793,0.04001263,3.02919021
-5.63981991,4.42777049,1.71832901,1.58056804,0.17343298,0.00282343,0.03929020,2.93379136
-5.63381691,4.27027387,1.66918986,1.54185656,0.16561862,0.00272029,0.03853108,2.83462946
-5.62781391,4.10832741,1.62222556,1.50135485,0.15776053,0.00260930,0.03773486,2.73268484
-5.62181091,3.94348362,1.57771458,1.45953259,0.14990122,0.00249143,0.03690120,2.62901470
-5.61580790,3.77739183,1.53595812,1.41690600,0.14208313,0.00236787,0.03603012,2.52474706
-5.60980490,3.61178689,1.49729945,1.37403810,0.13434867,0.00223995,0.03512228,2.42107452
