energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.25562781,8.02637341,0.72789300,1.13513139,0.92767222,5.65408800,0.06040047,0.08101238,0.75122715,0.00000000
-5.24962481,8.07489963,0.74123296,1.12762934,0.95425102,5.69102727,0.06404916,0.08041724,0.76075722,0.00000000
-5.24362181,8.12513107,0.75466865,1.11994739,0.98264226,5.72903853,0.06787778,0.08031251,0.77009923,0.00000000
-5.23761881,8.17653981,0.76824449,1.11210615,1.01279936,5.76751704,0.07186649,0.08069352,0.77934597,0.00000000
-5.23161581,8.22858727,0.78200571,1.10413846,1.04464412,5.80584811,0.07598848,0.08155388,0.78859307,0.00000000
-5.22561281,8.28070830,0.79599439,1.09608416,1.07806224,5.84340448,0.08021004,0.08288485,0.79793275,0.00000000
-5.21960980,8.33229621,0.81024584,1.08798497,1.11290034,5.87954360,0.08449090,0.08467464,0.80744796,0.00000000
-5.21360680,8.38269055,0.82478534,1.07987965,1.14896436,5.91360599,0.08878483,0.08690766,0.81720710,0.00000000
-5.20760380,8.43116915,0.83962561,1.07180006,1.18601993,5.94491539,0.09304061,0.08956377,0.82725977,0.00000000
-5.20160080,8.47694573,0.85476510,1.06376815,1.22379432,5.97278130,0.09720317,0.09261766,0.83763363,0.00000000
-5.19559780,8.51917377,0.87018714,1.05579422,1.26198015,5.99650440,0.10121498,0.09603826,0.84833260,0.00000000
-5.18959480,8.55695712,0.88586025,1.04787660,1.30024072,6.01538496,0.10501769,0.09978836,0.85933651,0.00000000
-5.18359180,8.58936706,0.90173924,1.04000260,1.33821654,6.02873416,0.10855374,0.10382448,0.87060211,0.00000000
-5.17758879,8.61546534,0.91776742,1.03215078,1.37553304,6.03588796,0.11176821,0.10809692,0.88206558,0.00000000
-5.17158579,8.63433199,0.93387955,1.02429440,1.41180891,6.03622294,0.11461048,0.11255009,0.89364614,0.00000000
-5.16558279,8.64509688,0.95000546,1.01640558,1.44666493,6.02917344,0.11703594,0.11712312,0.90525087,0.00000000
-5.15957979,8.64697309,0.96607425,1.00846018,1.47973287,6.01424916,0.11900750,0.12175074,0.91678030,0.00000000
-5.15357679,8.63929085,0.98201864,1.00044277,1.51066432,5.99105240,0.12049688,0.12636440,0.92813458,0.00000000
-5.14757379,8.62153012,0.99777957,0.99235157,1.53913902,5.95929408,0.12148570,0.13089368,0.93922002,0.00000000
-5.14157079,8.59335032,1.01331054,0.98420283,1.56487267,5.91880792,0.12196624,0.13526775,0.94995563,0.00000000
-5.13556778,8.55461604,1.02858171,0.97603454,1.58762405,5.86956197,0.12194189,0.13941720,0.96027938,0.00000000
-5.12956478,8.50541739,1.04358352,0.96790905,1.60720123,5.81166731,0.12142735,0.14327573,0.97015396,0.00000000
-5.12356178,8.44608429,1.05832953,0.95991454,1.62346697,5.74538339,0.12044839,0.14678206,0.97957189,0.00000000
-5.11755878,8.37719420,1.07285862,0.95216517,1.63634308,5.67112000,0.11904145,0.14988168,0.98855949,0.00000000
-5.11155578,8.29957300,1.08723623,0.94479990,1.64581382,5.58943585,0.11725282,0.15252856,0.99717985,0.00000000
-5.10555278,8.21428905,1.10155452,0.93798004,1.65192820,5.50103385,0.11513771,0.15468666,1.00553448,0.00000000
-5.09954977,8.12264055,1.11593167,0.93188558,1.65480111,5.40675338,0.11275902,0.15633121,1.01376352,0.00000000
-5.09354677,8.02613683,1.13050987,0.92671057,1.65461317,5.30755965,0.11018594,0.15744972,1.02204453,0.00000000
-5.08754377,7.92647368,1.14545232,0.92265769,1.65160923,5.20453056,0.10749245,0.15804256,1.03058975,0.00000000
-5.08154077,7.82550370,1.16093906,0.91993213,1.64609534,5.09884126,0.10475574,0.15812323,1.03964184,0.00000000
-5.07553777,7.72520190,1.17716171,0.91873534,1.63843407,4.99174668,0.10205447,0.15771822,1.04946813,0.00000000
-5.06953477,7.62762739,1.19431718,0.91925848,1.62903819,4.88456217,0.09946710,0.15686638,1.06035356,0.00000000
-5.06353177,7.53488182,1.21260038,0.92167606,1.61836242,4.77864267,0.09707015,0.15561797,1.07259227,0.00000000
-5.05752876,7.44906507,1.23219624,0.92613991,1.60689361,4.67536039,0.09493651,0.15403323,1.08647812,0.00000000
-5.05152576,7.37222914,1.25327096,0.93277346,1.59513915,4.57608138,0.09313376,0.15218071,1.10229445,0.00000000
-5.04552276,7.30633087,1.27596304,0.94166670,1.58361398,4.48214120,0.09172260,0.15013527,1.12030307,0.00000000
-5.03951976,7.25318448,1.30037406,0.95287171,1.57282641,4.39482013,0.09075531,0.14797589,1.14073324,0.00000000
-5.03351676,7.21441489,1.32655985,0.96639885,1.56326324,4.31531814,0.09027442,0.14578333,1.16377051,0.00000000
-5.02751376,7.19141294,1.35452214,0.98221383,1.55537462,4.24473027,0.09031144,0.14363784,1.18954630,0.00000000
-5.02151076,7.18529370,1.38420131,1.00023535,1.54955923,4.18402297,0.09088585,0.14161686,1.21812825,0.00000000
-5.01550775,7.19685915,1.41547052,1.02033370,1.54615035,4.13401191,0.09200432,0.13979292,1.24951200,0.00000000
-5.00950475,7.22656655,1.44813166,1.04233014,1.54540356,4.09534206,0.09366011,0.13823173,1.28361477,0.00000000
-5.00350175,7.27450375,1.48191348,1.06599713,1.54748654,4.06847060,0.09583288,0.13699058,1.32027100,0.00000000
-4.99749875,7.34037256,1.51647219,1.09105962,1.55247156,4.05365337,0.09848880,0.13611713,1.35923055,0.00000000
-4.99149575,7.42348134,1.55139474,1.11719719,1.56033113,4.05093529,0.10158100,0.13564850,1.40015956,0.00000000
-4.98549275,7.52274727,1.58620494,1.14404747,1.57093708,4.06014537,0.10505042,0.13561082,1.44264417,0.00000000
-4.97948974,7.63670903,1.62037233,1.17121056,1.58406326,4.08089645,0.10882708,0.13601908,1.48619715,0.00000000
-4.97348674,7.76354980,1.65332382,1.19825472,1.59939178,4.11258982,0.11283166,0.13687736,1.53026733,0.00000000
-4.96748374,7.90113023,1.68445759,1.22472329,1.61652279,4.15442473,0.11697746,0.13817942,1.57425166,0.00000000
-4.96148074,8.04703081,1.71315914,1.25014270,1.63498725,4.20541252,0.12117267,0.13990942,1.61750950,0.00000000
