energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-4.78139070,0.86211791,0.22965787,0.00000000,0.34667183,0.00000000,0.23931059,0.31478780
-4.77538769,0.88066600,0.24659107,0.00000000,0.33858915,0.00000000,0.24117662,0.33318415
-4.76938469,0.89998148,0.26305642,0.00000000,0.33166954,0.00000000,0.24346634,0.35121680
-4.76338169,0.91936147,0.27876104,0.00000000,0.32576937,0.00000000,0.24599822,0.36853127
-4.75737869,0.93805669,0.29341294,0.00000000,0.32070884,0.00000000,0.24857560,0.38476915
-4.75137569,0.95529885,0.30672944,0.00000000,0.31628147,0.00000000,0.25099367,0.39957941
-4.74537269,0.97032971,0.31844587,0.00000000,0.31226453,0.00000000,0.25304699,0.41263004
-4.73936968,0.98243063,0.32832414,0.00000000,0.30842994,0.00000000,0.25453713,0.42361975
-4.73336668,0.99095112,0.33616076,0.00000000,0.30455523,0.00000000,0.25528008,0.43228904
-4.72736368,0.99533504,0.34179402,0.00000000,0.30043379,0.00000000,0.25511317,0.43843006
-4.72136068,0.99514336,0.34510981,0.00000000,0.29588423,0.00000000,0.25390102,0.44189502
-4.71535768,0.99007223,0.34604600,0.00000000,0.29075825,0.00000000,0.25154036,0.44260255
-4.70935468,0.97996577,0.34459500,0.00000000,0.28494681,0.00000000,0.24796351,0.44054168
-4.70335168,0.96482290,0.34080443,0.00000000,0.27838433,0.00000000,0.24314032,0.43577342
-4.69734867,0.94479800,0.33477585,0.00000000,0.27105087,0.00000000,0.23707857,0.42842964
-4.69134567,0.92019550,0.32666156,0.00000000,0.26297222,0.00000000,0.22982288,0.41870943
-4.68534267,0.89145874,0.31665966,0.00000000,0.25421797,0.00000000,0.22145217,0.40687300
-4.67933967,0.85915362,0.30500757,0.00000000,0.24489782,0.00000000,0.21207585,0.39323351
-4.67333667,0.82394800,0.29197430,0.00000000,0.23515626,0.00000000,0.20182904,0.37814697
-4.66733367,0.78658769,0.27785179,0.00000000,0.22516597,0.00000000,0.19086701,0.36200087
-4.66133067,0.74787016,0.26294576,0.00000000,0.21512025,0.00000000,0.17935905,0.34520183
-4.65532766,0.70861718,0.24756631,0.00000000,0.20522489,0.00000000,0.16748236,0.32816286
-4.64932466,0.66964733,0.23201885,0.00000000,0.19568969,0.00000000,0.15541581,0.31129066
-4.64332166,0.63174957,0.21659552,0.00000000,0.18672012,0.00000000,0.14333421,0.29497339
