energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
4.19309655,3.59986623,0.11590271,0.69624010,0.85509551,0.03373506,0.09716565,0.35451104,1.45625261,1.90685045
4.19909955,3.58047693,0.11328371,0.70501127,0.84166850,0.03352624,0.09479245,0.35054073,1.45302863,1.89715115
4.20510255,3.54701050,0.11012527,0.71108744,0.82610330,0.03318380,0.09219444,0.34583311,1.44337908,1.87930191
4.21110555,3.50007324,0.10649905,0.71432761,0.80858456,0.03271485,0.08942543,0.34043489,1.42752824,1.85366872
4.21710855,3.44052220,0.10248621,0.71464713,0.78932742,0.03212845,0.08653955,0.33440227,1.40581000,1.82077569
4.22311156,3.36944671,0.09817534,0.71202135,0.76857483,0.03143534,0.08358998,0.32780049,1.37865802,1.78129317
4.22911456,3.28814336,0.09366029,0.70648726,0.74659406,0.03064761,0.08062788,0.32070293,1.34659342,1.73602190
4.23511756,3.19808529,0.08903780,0.69814312,0.72367221,0.02977839,0.07770132,0.31318992,1.31021017,1.68587326
4.24112056,3.10088651,0.08440525,0.68714587,0.70011098,0.02884144,0.07485449,0.30534721,1.27015899,1.63184637
4.24712356,2.99826233,0.07985833,0.67370662,0.67622072,0.02785086,0.07212697,0.29726422,1.22712997,1.57500259
4.25312656,2.89198709,0.07548896,0.65808420,0.65231415,0.02682073,0.06955320,0.28903218,1.18183485,1.51643826
4.25912956,2.78385032,0.07138323,0.64057715,0.62869961,0.02576480,0.06716215,0.28074200,1.13498920,1.45725625
4.26513257,2.67561279,0.06761971,0.62151431,0.60567436,0.02469622,0.06497703,0.27248231,1.08729534,1.39853743
4.27113557,2.56896341,0.06426786,0.60124459,0.58351793,0.02362730,0.06301529,0.26433737,1.03942621,1.34131265
4.27713857,2.46547853,0.06138675,0.58012609,0.56248579,0.02256928,0.06128857,0.25638515,0.99201079,1.28653618
4.28314157,2.36658442,0.05902405,0.55851524,0.54280350,0.02153222,0.05980287,0.24869548,0.94562146,1.23506133
4.28914457,2.27352435,0.05721520,0.53675610,0.52466160,0.02052488,0.05855876,0.24132853,0.90076333,1.18761898
4.29514757,2.18733080,0.05598296,0.51517052,0.50821122,0.01955462,0.05755168,0.23433337,0.85786602,1.14479968
4.30115058,2.10880390,0.05533704,0.49404922,0.49356082,0.01862741,0.05677227,0.22774693,0.81727775,1.10703975
4.30715358,2.03849655,0.05527415,0.47364432,0.48077388,0.01774781,0.05620686,0.22159323,0.77926204,1.07461200
4.31315658,1.97670672,0.05577810,0.45416348,0.46986802,0.01691905,0.05583790,0.21588301,0.74399671,1.04762122
4.31915958,1.92347728,0.05682030,0.43576580,0.46081525,0.01614311,0.05564456,0.21061367,0.71157533,1.02600470
