energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.85442721,3.50573110,0.14559522,0.00000000,0.65850165,0.00000000,0.93787326,2.86488091
2.86043022,3.53129965,0.14666567,0.00000000,0.66285434,0.00000000,0.95157559,2.88753619
2.86643322,3.55168896,0.14766300,0.00000000,0.66722469,0.00000000,0.96403670,2.90582070
2.87243622,3.56753240,0.14858524,0.00000000,0.67162770,0.00000000,0.97531856,2.92024588
2.87843922,3.57944446,0.14942338,0.00000000,0.67605008,0.00000000,0.98546879,2.93131064
2.88444222,3.58799558,0.15016136,0.00000000,0.68045025,0.00000000,0.99451628,2.93948145
2.89044522,3.59369011,0.15077649,0.00000000,0.68475949,0.00000000,1.00246810,2.94517493
2.89644822,3.59694820,0.15124018,0.00000000,0.68888432,0.00000000,1.00930802,2.94874351
2.90245123,3.59809254,0.15151902,0.00000000,0.69271001,0.00000000,1.01499658,2.95046483
2.90845423,3.59734043,0.15157617,0.00000000,0.69610516,0.00000000,1.01947279,2.95053531
2.91445723,3.59480160,0.15137298,0.00000000,0.69892720,0.00000000,1.02265751,2.94906807
2.92046023,3.59048174,0.15087076,0.00000000,0.70102855,0.00000000,1.02445809,2.94609525
2.92646323,3.58429154,0.15003269,0.00000000,0.70226326,0.00000000,1.02477427,2.94157450
2.93246623,3.57606059,0.14882568,0.00000000,0.70249385,0.00000000,1.02350493,2.93539932
2.93846923,3.56555560,0.14722216,0.00000000,0.70159797,0.00000000,1.02055537,2.92741256
2.94447224,3.55250164,0.14520171,0.00000000,0.69947461,0.00000000,1.01584476,2.91742248
2.95047524,3.53660546,0.14275242,0.00000000,0.69604959,0.00000000,1.00931330,2.90522040
2.95647824,3.51757955,0.13987194,0.00000000,0.69127996,0.00000000,1.00092871,2.89059906
2.96248124,3.49516556,0.13656816,0.00000000,0.68515721,0.00000000,0.99069181,2.87337066
2.96848424,3.46915595,0.13285946,0.00000000,0.67770893,0.00000000,0.97864062,2.85338365
2.97448724,3.43941256,0.12877460,0.00000000,0.66899905,0.00000000,0.96485297,2.83053732
2.98049025,3.40588117,0.12435215,0.00000000,0.65912637,0.00000000,0.94944725,2.80479344
2.98649325,3.36860121,0.11963951,0.00000000,0.64822168,0.00000000,0.93258123,2.77618413
2.99249625,3.32771014,0.11469168,0.00000000,0.63644335,0.00000000,0.91444904,2.74481578
2.99849925,3.28344214,0.10956968,0.00000000,0.62397186,0.00000000,0.89527623,2.71086849
3.00450225,3.23612138,0.10433877,0.00000000,0.61100326,0.00000000,0.87531320,2.67459119
3.01050525,3.18615008,0.09906651,0.00000000,0.59774210,0.00000000,0.85482718,2.63629259
3.01650825,3.13399206,0.09382087,0.00000000,0.58439394,0.00000000,0.83409322,2.59632853
3.02251126,3.08015274,0.08866819,0.00000000,0.57115798,0.00000000,0.81338442,2.55508627
