energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-4.74537269,4.83239303,2.73368219,1.33800409,0.00185923,2.24925542,0.01926791,0.84538285
-4.73936968,4.78245452,2.72632434,1.31744971,0.00177078,2.22358978,0.01920594,0.84106392
-4.73336668,4.71593038,2.70969805,1.29175868,0.00169084,2.18790120,0.01917290,0.83599984
-4.72736368,4.63360968,2.68397339,1.26120784,0.00162022,2.14254786,0.01917323,0.83033669
-4.72136068,4.53657575,2.64952607,1.22615778,0.00155935,2.08807176,0.01921010,0.82422790
-4.71535768,4.42618430,2.60693088,1.18704587,0.00150837,2.02518812,0.01928525,0.81783043
-4.70935468,4.30403058,2.55694659,1.14437641,0.00146711,1.95476864,0.01939895,0.81129991
-4.70335168,4.17190670,2.50049279,1.09870837,0.00143510,1.87781917,0.01954982,0.80478520
-4.69734867,4.03175096,2.43861942,1.05064115,0.00141162,1.79545266,0.01973490,0.79842238
-4.69134567,3.88559132,2.37247079,1.00079893,0.00139574,1.70885855,0.01994963,0.79232888
-4.68534267,3.73548580,2.30324540,0.94981432,0.00138634,1.61926974,0.02018794,0.78659781
-4.67933967,3.58346250,2.23215376,0.89831203,0.00138216,1.52792883,0.02044238,0.78129320
-4.67333667,3.43146216,2.16037618,0.84689325,0.00138185,1.43605469,0.02070435,0.77644634
-4.66733367,3.28128596,2.08902269,0.79612139,0.00138403,1.34481110,0.02096434,0.77205378
-4.66133067,3.13455097,2.01909695,0.74650981,0.00138731,1.25527851,0.02121225,0.76807702
-4.65532766,2.99265523,1.95146600,0.69851200,0.00139034,1.16843007,0.02143769,0.76444431
-4.64932466,2.85675395,1.88683723,0.65251452,0.00139186,1.08511281,0.02163042,0.76105445
-4.64332166,2.72774750,1.82574352,0.60883288,0.00139074,1.00603448,0.02178068,0.75778259
-4.63731866,2.60628149,1.76853729,0.56771044,0.00138597,0.93175635,0.02187960,0.75448782
