energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
1.52776388,4.19138928,0.43428670,0.04061390,0.03366242,0.03869213,0.09872884,0.63948911,0.42763185,3.29095323
1.53376688,3.99755678,0.40970098,0.03886326,0.03293661,0.03724257,0.09641000,0.60799654,0.41244995,3.13576398
1.53976988,3.81130415,0.38554232,0.03716187,0.03220003,0.03607917,0.09408165,0.57849968,0.39824891,2.98632832
1.54577289,3.63583039,0.36217460,0.03554598,0.03148299,0.03522255,0.09182773,0.55154687,0.38533833,2.84509003
1.55177589,3.47419116,0.33994540,0.03405075,0.03081443,0.03469252,0.08972937,0.52765971,0.37400076,2.71438219
1.55777889,3.32920700,0.31917811,0.03270919,0.03022087,0.03450721,0.08786182,0.50732078,0.36448181,2.59635514
1.56378189,3.20338153,0.30016526,0.03155126,0.02972554,0.03468228,0.08629174,0.49096233,0.35698155,2.49291240
1.56978489,3.09883262,0.28316324,0.03060301,0.02934763,0.03523024,0.08507498,0.47895610,0.35164789,2.40565664
1.57578789,3.01723830,0.26838847,0.02988598,0.02910178,0.03615984,0.08425484,0.47160470,0.34857196,2.33584746
1.58179090,2.95979921,0.25601524,0.02941675,0.02899770,0.03747564,0.08386108,0.46913459,0.34778585,2.28437196
1.58779390,2.92721803,0.24617491,0.02920665,0.02904013,0.03917771,0.08390947,0.47169087,0.34926280,2.25172868
1.59379690,2.91969613,0.23895668,0.02926177,0.02922890,0.04126153,0.08440205,0.47933397,0.35291986,2.23802503
1.59979990,2.93694679,0.23440965,0.02958303,0.02955928,0.04371800,0.08532801,0.49203823,0.35862291,2.24298758
1.60580290,2.97822384,0.23254598,0.03016655,0.03002252,0.04653372,0.08666517,0.50969238,0.36619390,2.26598434
1.61180590,3.04236392,0.23334506,0.03100414,0.03060657,0.04969134,0.08838188,0.53210197,0.37542000,2.30605772
1.61780890,3.12784041,0.23675825,0.03208387,0.03129687,0.05317017,0.09043944,0.55899347,0.38606429,2.36196639
1.62381191,3.23282643,0.24271418,0.03339089,0.03207734,0.05694683,0.09279467,0.59002021,0.39787745,2.43223425
1.62981491,3.35526440,0.25112419,0.03490816,0.03293135,0.06099606,0.09540275,0.62476978,0.41061012,2.51520440
1.63581791,3.49293918,0.26188761,0.03661732,0.03384272,0.06529166,0.09821997,0.66277286,0.42402511,2.60909601
1.64182091,3.64355231,0.27489685,0.03849955,0.03479672,0.06980740,0.10120647,0.70351328,0.43790908,2.71206195
1.64782391,3.80479430,0.29004182,0.04053632,0.03578094,0.07451800,0.10432866,0.74643907,0.45208301,2.82224506
1.65382691,3.97441261,0.30721359,0.04271011,0.03678601,0.07940003,0.10756127,0.79097428,0.46641099,2.93783133
1.65982991,4.15027298,0.32630714,0.04500499,0.03780630,0.08443282,0.11088896,0.83653128,0.48080671,3.05709802
1.66583292,4.33041195,0.34722299,0.04740708,0.03884025,0.08959921,0.11430738,0.88252318,0.49523746,3.17845550
1.67183592,4.51307916,0.36986768,0.04990476,0.03989061,0.09488615,0.11782351,0.92837620,0.50972522,3.30048133
1.67783892,4.69676794,0.39415300,0.05248876,0.04096441,0.10028519,0.12145550,0.97354150,0.52434473,3.42194601
1.68384192,4.88023362,0.41999409,0.05515203,0.04207276,0.10579268,0.12523174,1.01750610,0.53921860,3.54182951
1.68984492,5.06249918,0.44730637,0.05788938,0.04323030,0.11140986,0.12918933,1.05980275,0.55450956,3.65932868
1.69584792,5.24284853,0.47600159,0.06069701,0.04445463,0.11714268,0.13337206,1.10001818,0.57041022,3.77385545
1.70185093,5.42080818,0.50598312,0.06357181,0.04576540,0.12300139,0.13782781,1.13779960,0.58713076,3.88502646
1.70785393,5.59611845,0.53714085,0.06651064,0.04718338,0.12899999,0.14260572,1.17285919,0.60488518,3.99264489
1.71385693,5.76869606,0.56934595,0.06950942,0.04872936,0.13515546,0.14775305,1.20497641,0.62387674,4.09667559
1.71985993,5.93859015,0.60244592,0.07256237,0.05042305,0.14148693,0.15331209,1.23399810,0.64428345,4.19721492
1.72586293,6.10593408,0.63626037,0.07566115,0.05228193,0.14801469,0.15931709,1.25983635,0.66624426,4.29445694
1.73186593,6.27089573,0.67057789,0.07879419,0.05432021,0.15475925,0.16579156,1.28246434,0.68984684,4.38865755
1.73786893,6.43362904,0.70515432,0.08194617,0.05654783,0.16174034,0.17274598,1.30191041,0.71511752,4.48009853
1.74387194,6.59422937,0.73971297,0.08509774,0.05896968,0.16897606,0.18017603,1.31825051,0.74201419,4.56905321
1.74987494,6.75269535,0.77394680,0.08822543,0.06158487,0.17648211,0.18806157,1.33159971,0.77042241,4.65575541
1.75587794,6.90889926,0.80752286,0.09130191,0.06438638,0.18427122,0.19636640,1.34210305,0.80015522,4.74037328
1.76188094,7.06256782,0.84008908,0.09429653,0.06736077,0.19235275,0.20503876,1.34992624,0.83095654,4.82298929
1.76788394,7.21327453,0.87128317,0.09717613,0.07048824,0.20073250,0.21401265,1.35524685,0.86250834,4.90358721
1.77388694,7.36044417,0.90074353,0.09990615,0.07374289,0.20941273,0.22320991,1.35824622,0.89444100,4.98204679
1.77988994,7.50336922,0.92812171,0.10245188,0.07709314,0.21839238,0.23254297,1.35910279,0.92634656,5.05814624
1.78589295,7.64123755,0.95309604,0.10478001,0.08050242,0.22766746,0.24191806,1.35798688,0.95779414,5.13157229
1.79189595,7.77316968,0.97538575,0.10686008,0.08393000,0.23723153,0.25123887,1.35505741,0.98834675,5.20193709
1.79789895,7.89826376,0.99476486,0.10866615,0.08733193,0.24707624,0.26041029,1.35046046,1.01757866,5.26880102
1.80390195,8.01564543,1.01107530,0.11017816,0.09066209,0.25719187,0.26934220,1.34432974,1.04509242,5.33170004
1.80990495,8.12451979,1.02423829,0.11138332,0.09387330,0.26756785,0.27795297,1.33678883,1.07053459,5.39017580
