energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.19159580,1.80502115,0.26771083,0.00000000,1.82347982,0.61779667,0.05819871,0.88950986
-1.18559280,1.83084156,0.27027415,0.00000000,1.84653027,0.63123360,0.05961739,0.89779498
-1.17958979,1.86923825,0.27412054,0.00000000,1.87849837,0.64856639,0.06124666,0.91359409
-1.17358679,1.91941994,0.27908739,0.00000000,1.91824230,0.66947945,0.06306864,0.93660903
-1.16758379,1.98038553,0.28498960,0.00000000,1.96446982,0.69358121,0.06505766,0.96643783
-1.16158079,2.05094904,0.29162503,0.00000000,2.01577429,0.72041188,0.06718097,1.00258635
-1.15557779,2.12976694,0.29878023,0.00000000,2.07067206,0.74945242,0.06939965,1.04448046
-1.14957479,2.21536769,0.30623619,0.00000000,2.12764029,0.78013485,0.07166974,1.09147855
-1.14357179,2.30618275,0.31377404,0.00000000,2.18515430,0.81185361,0.07394345,1.14288429
-1.13756878,2.40057901,0.32118055,0.00000000,2.24172368,0.84397784,0.07617054,1.19795947
-1.13156578,2.49689211,0.32825337,0.00000000,2.29592658,0.87586457,0.07829976,1.25593707
-1.12556278,2.59346055,0.33480584,0.00000000,2.34644147,0.90687239,0.08028029,1.31603465
-1.11955978,2.68866025,0.34067138,0.00000000,2.39207626,0.93637575,0.08206324,1.37746794
-1.11355678,2.78093936,0.34570734,0.00000000,2.43179424,0.96377932,0.08360311,1.43946511
-1.10755378,2.86885289,0.34979841,0.00000000,2.46473672,0.98853232,0.08485912,1.50128139
-1.10155078,2.95109682,0.35285937,0.00000000,2.49024228,1.01014248,0.08579658,1.56221441
-1.09554777,3.02654092,0.35483735,0.00000000,2.50786236,1.02818923,0.08638795,1.62161987
-1.08954477,3.09425984,0.35571341,0.00000000,2.51737312,1.04233578,0.08661393,1.67892754
-1.08354177,3.15356135,0.35550358,0.00000000,2.51878335,1.05233959,0.08646422,1.73365715
-1.07753877,3.20401081,0.35425918,0.00000000,2.51233832,1.05806093,0.08593810,1.78543366
-1.07153577,3.24545089,0.35206653,0.00000000,2.49851908,1.05946905,0.08504485,1.83400137
-1.06553277,3.27801529,0.34904588,0.00000000,2.47803728,1.05664561,0.08380376,1.87923610
-1.05952976,3.30213536,0.34534962,0.00000000,2.45182481,1.04978514,0.08224402,1.92115462
-1.05352676,3.31853866,0.34115973,0.00000000,2.42101841,1.03919215,0.08040425,1.95992053
